Time,SpineBaseX,SpineBaseY,SpineBaseZ,SpineBaseTracked,SpineMidX,SpineMidY,SpineMidZ,SpineMidTracked,NeckX,NeckY,NeckZ,NeckTracked,HeadX,HeadY,HeadZ,HeadTracked,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderLeftTracked,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowLeftTracked,WristLeftX,WristLeftY,WristLeftZ,WristLeftTracked,HandLeftX,HandLeftY,HandLeftZ,HandLeftTracked,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ShoulderRightTracked,ElbowRightX,ElbowRightY,ElbowRightZ,ElbowRightTracked,WristRightX,WristRightY,WristRightZ,WristRightTracked,HandRightX,HandRightY,HandRightZ,HandRightTracked,HipLeftX,HipLeftY,HipLeftZ,HipLeftTracked,KneeLeftX,KneeLeftY,KneeLeftZ,KneeLeftTracked,AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleLeftTracked,FootLeftX,FootLeftY,FootLeftZ,FootLeftTracked,HipRightX,HipRightY,HipRightZ,HipRightTracked,KneeRightX,KneeRightY,KneeRightZ,KneeRightTracked,AnkleRightX,AnkleRightY,AnkleRightZ,AnkleRightTracked,FootRightX,FootRightY,FootRightZ,FootRightTracked,SpineShoulderX,SpineShoulderY,SpineShoulderZ,SpineShoulderTracked,HandTipLeftX,HandTipLeftY,HandTipLeftZ,HandTipLeftTracked,ThumbLeftX,ThumbLeftY,ThumbLeftZ,ThumbLeftTracked,HandTipRightX,HandTipRightY,HandTipRightZ,HandTipRightTracked,ThumbRightX,ThumbRightY,ThumbRightZ,ThumbRightTrackedKinect 2: 0.0318912, -0.1393965, -0.4284684, 1.819519, Tracked, -0.1400286, -0.1103519, 1.908903, Tracked, -0.1395609, 0.1961538, 1.981999, Tracked, -0.1037246, 0.3312994, 2.029497, Tracked, -0.3109668, 0.08464572, 1.905911, Tracked, -0.4108877, -0.1221087, 1.843692, Tracked, -0.3421322, -0.2873586, 1.702874, Tracked, -0.4217367, -0.1720939, 1.779563, Tracked, 0.05499384, 0.06241802, 2.014343, Tracked, 0.1148395, -0.1518789, 1.994668, Tracked, 0.08527805, -0.3157552, 1.839349, Tracked, 0.03682226, -0.3613414, 1.793122, Tracked, -0.2167683, -0.4085619, 1.75826, Tracked, -0.2827432, -0.7592635, 1.705586, Tracked, -0.3631622, -1.22979, 1.764551, Inferred, -0.3435952, -1.29283, 1.656111, Inferred, -0.05555371, -0.4311805, 1.806231, Tracked, -0.04055881, -0.7876865, 1.776234, Tracked, -0.005298697, -1.260853, 1.852395, Inferred, 0.03862416, -1.314257, 1.742741, Inferred, -0.139861, 0.1210072, 1.966334, Tracked, -0.4582453, -0.1431863, 1.781438, Tracked, -0.3996055, -0.1401042, 1.766708, Tracked, 0.01795531, -0.4324575, 1.731061, Tracked, -0.00387541, -0.3078311, 1.745758, Tracked,
Kinect 2: 0.0617727, -0.1386683, -0.428414, 1.81942, Tracked, -0.1394568, -0.1101415, 1.908897, Tracked, -0.1391314, 0.196431, 1.98207, Tracked, -0.1034407, 0.3312597, 2.029649, Tracked, -0.3087479, 0.08548355, 1.903991, Tracked, -0.4100505, -0.1200746, 1.839486, Tracked, -0.3289205, -0.2832034, 1.702912, Tracked, -0.2868638, -0.3357257, 1.700462, Tracked, 0.05521872, 0.0619559, 2.014625, Tracked, 0.114474, -0.1525013, 1.99535, Tracked, 0.08514778, -0.3159679, 1.839528, Tracked, 0.03754192, -0.3601528, 1.786344, Tracked, -0.2156178, -0.4081799, 1.757459, Tracked, -0.2831734, -0.7585698, 1.704031, Tracked, -0.2884033, -1.235219, 1.769335, Inferred, -0.2422829, -1.28869, 1.661286, Inferred, -0.05512846, -0.4312425, 1.806389, Tracked, -0.04036627, -0.7878981, 1.77347, Tracked, 0.002256812, -1.25931, 1.855204, Inferred, 0.0498766, -1.312993, 1.750023, Inferred, -0.1393953, 0.1212723, 1.966389, Tracked, -0.2521561, -0.4087002, 1.65939, Tracked, -0.3401889, -0.3798087, 1.724298, Tracked, 0.01992247, -0.431334, 1.727689, Tracked, -0.003271693, -0.3043918, 1.737712, Tracked,
Kinect 2: 0.0940281, -0.138566, -0.428458, 1.819505, Tracked, -0.1394098, -0.1102215, 1.909276, Tracked, -0.1392802, 0.196216, 1.983075, Tracked, -0.1022585, 0.3310761, 2.029474, Tracked, -0.3076809, 0.0865446, 1.902608, Tracked, -0.4095259, -0.1190215, 1.836666, Tracked, -0.3286212, -0.2839978, 1.702347, Tracked, -0.285327, -0.3370035, 1.698795, Tracked, 0.05528048, 0.06184665, 2.014465, Tracked, 0.1141757, -0.1527102, 1.995229, Tracked, 0.08531402, -0.3161456, 1.839283, Tracked, 0.03813102, -0.3588612, 1.785574, Inferred, -0.2154215, -0.4080456, 1.757327, Tracked, -0.2828709, -0.7584511, 1.703154, Tracked, -0.3890947, -1.230033, 1.70053, Inferred, -0.3708225, -1.269411, 1.571074, Inferred, -0.05509881, -0.431554, 1.806817, Tracked, -0.03997152, -0.7882723, 1.771909, Tracked, -0.03806295, -1.266592, 1.825969, Inferred, -0.002746075, -1.317805, 1.711684, Inferred, -0.1394765, 0.1211002, 1.967206, Tracked, -0.2507043, -0.4124193, 1.658331, Tracked, -0.3394787, -0.4048854, 1.7015, Tracked, 0.02045644, -0.4311661, 1.728394, Tracked, -0.003658437, -0.30465, 1.735971, Tracked,
Kinect 2: 0.1300083, -0.1382103, -0.4285258, 1.820218, Tracked, -0.1391094, -0.1101047, 1.90943, Tracked, -0.1387855, 0.1965507, 1.982814, Tracked, -0.1009308, 0.3309075, 2.02971, Tracked, -0.3081431, 0.08595425, 1.903688, Tracked, -0.4091384, -0.1167369, 1.834825, Tracked, -0.3333429, -0.2823419, 1.698223, Tracked, -0.3132751, -0.3221612, 1.70524, Tracked, 0.05546031, 0.06158106, 2.014941, Tracked, 0.1127024, -0.153409, 1.997944, Tracked, 0.08576126, -0.3154754, 1.840132, Tracked, 0.03775267, -0.3575826, 1.790114, Inferred, -0.2150627, -0.4079354, 1.758065, Tracked, -0.2827498, -0.7582776, 1.702625, Tracked, -0.3688876, -1.23399, 1.665392, Inferred, -0.3430615, -1.2594, 1.528684, Inferred, -0.05491628, -0.4316971, 1.807279, Tracked, -0.03991507, -0.7884405, 1.77175, Tracked, -0.04057158, -1.267586, 1.820212, Inferred, -0.00627929, -1.316898, 1.703814, Inferred, -0.1390616, 0.1213566, 1.967086, Tracked, -0.2987845, -0.3881727, 1.684096, Tracked, -0.3409395, -0.3408224, 1.75092, Tracked, 0.02133338, -0.4286002, 1.734406, Tracked, -0.003499942, -0.3042808, 1.738816, Tracked,
Kinect 2: 0.1646077, -0.1359234, -0.4288182, 1.816533, Tracked, -0.1363027, -0.1100703, 1.904927, Tracked, -0.1354714, 0.1967903, 1.977123, Tracked, -0.09853254, 0.3292621, 2.024372, Tracked, -0.3014602, 0.08711565, 1.893817, Tracked, -0.4079334, -0.1152693, 1.82776, Tracked, -0.3201329, -0.2795431, 1.694095, Tracked, -0.275963, -0.3317988, 1.689008, Tracked, 0.05658833, 0.05940002, 2.011608, Tracked, 0.1128978, -0.1557654, 1.997597, Tracked, 0.08645172, -0.3136142, 1.835217, Tracked, 0.04164754, -0.3528503, 1.778804, Tracked, -0.2125243, -0.4077954, 1.753341, Tracked, -0.2832812, -0.7569174, 1.683125, Tracked, -0.4342324, -1.215605, 1.636938, Inferred, -0.4273314, -1.238634, 1.49982, Inferred, -0.05310716, -0.4321792, 1.804211, Tracked, -0.04012485, -0.7892023, 1.751782, Tracked, -0.0495232, -1.143374, 1.774365, Inferred, -0.04984765, -0.9885265, 1.723763, Inferred, -0.1358595, 0.1215599, 1.961703, Tracked, -0.2387595, -0.403916, 1.649104, Tracked, -0.3334489, -0.3695191, 1.722855, Tracked, 0.02126657, -0.4248514, 1.723182, Tracked, 0.0005963311, -0.2992124, 1.7303, Tracked,
Kinect 2: 0.1950622, -0.1356696, -0.4289185, 1.817005, Tracked, -0.1355847, -0.1101261, 1.905261, Tracked, -0.1339774, 0.1967492, 1.977247, Tracked, -0.0978499, 0.3292466, 2.024907, Tracked, -0.301248, 0.08781549, 1.893745, Tracked, -0.4074021, -0.1149332, 1.826761, Tracked, -0.3352928, -0.2834724, 1.691924, Tracked, -0.2943156, -0.3278109, 1.700609, Tracked, 0.05660175, 0.05938155, 2.011657, Tracked, 0.1121177, -0.1559923, 1.997648, Tracked, 0.08673764, -0.3145338, 1.835812, Tracked, 0.03981139, -0.3573746, 1.78961, Tracked, -0.2123201, -0.4076983, 1.753426, Tracked, -0.2799455, -0.7579812, 1.694433, Tracked, -0.2813334, -1.241109, 1.706708, Inferred, -0.22969, -1.273726, 1.5839, Inferred, -0.05292191, -0.4326888, 1.805437, Tracked, -0.03880597, -0.7895172, 1.767392, Tracked, -0.06181597, -1.261055, 1.854223, Inferred, -0.03325698, -1.328306, 1.757252, Inferred, -0.1345884, 0.1215178, 1.961895, Tracked, -0.2705278, -0.4041455, 1.661599, Tracked, -0.3338382, -0.390336, 1.716667, Tracked, 0.02117363, -0.4298002, 1.73458, Tracked, -0.001015278, -0.3046795, 1.739026, Tracked,
Kinect 2: 0.232697, -0.1354951, -0.4291873, 1.81772, Tracked, -0.1351297, -0.1101072, 1.905596, Tracked, -0.1330903, 0.1970452, 1.977328, Tracked, -0.09704015, 0.3292336, 2.025318, Tracked, -0.3040631, 0.0863036, 1.896738, Tracked, -0.4072856, -0.1137163, 1.825996, Tracked, -0.3222319, -0.2828909, 1.700225, Tracked, -0.2800641, -0.3386327, 1.699395, Tracked, 0.0570608, 0.05863716, 2.011845, Tracked, 0.1113944, -0.1570288, 1.997994, Tracked, 0.0878593, -0.3163838, 1.836727, Tracked, 0.04136952, -0.3604182, 1.791747, Tracked, -0.2122742, -0.4077056, 1.753617, Tracked, -0.2799166, -0.757979, 1.694403, Tracked, -0.2471581, -1.241216, 1.683581, Inferred, -0.1895306, -1.259907, 1.555369, Inferred, -0.05267549, -0.4333235, 1.806756, Tracked, -0.03921673, -0.7902148, 1.766686, Tracked, -0.02459703, -1.27388, 1.754277, Inferred, 0.01421396, -1.298984, 1.622368, Inferred, -0.1338301, 0.1217321, 1.962048, Tracked, -0.2435109, -0.4123864, 1.65881, Tracked, -0.3353527, -0.3797021, 1.722515, Tracked, 0.02240563, -0.4340116, 1.741472, Tracked, -0.0002100564, -0.3101978, 1.739799, Tracked,
Kinect 2: 0.2647648, -0.1350391, -0.4293757, 1.818462, Tracked, -0.1347995, -0.1100855, 1.905784, Tracked, -0.1328114, 0.1971777, 1.977213, Tracked, -0.09577105, 0.3293038, 2.025437, Tracked, -0.3053614, 0.08558261, 1.898332, Tracked, -0.4073059, -0.1131817, 1.825554, Tracked, -0.3225504, -0.2829459, 1.700429, Tracked, -0.2788608, -0.3384233, 1.699285, Inferred, 0.05779362, 0.05778921, 2.01251, Tracked, 0.1108357, -0.1581928, 1.998582, Tracked, 0.08789389, -0.3174486, 1.837129, Tracked, 0.04090972, -0.3621805, 1.792389, Tracked, -0.2120142, -0.4077051, 1.753907, Tracked, -0.2798437, -0.7579327, 1.694366, Tracked, -0.3234526, -1.237406, 1.625711, Inferred, -0.284818, -1.249898, 1.485492, Inferred, -0.05215205, -0.4336888, 1.807893, Tracked, -0.03931429, -0.7906264, 1.766275, Tracked, -0.02583323, -1.274348, 1.75151, Inferred, 0.0122702, -1.298887, 1.619114, Inferred, -0.1335516, 0.1218346, 1.962007, Tracked, -0.2435616, -0.4111336, 1.661162, Tracked, -0.3350405, -0.38025, 1.721507, Tracked, 0.02214677, -0.4345295, 1.739641, Tracked, -0.0005137723, -0.3101665, 1.739577, Tracked,
Kinect 2: 0.2977182, -0.1321868, -0.4281406, 1.823663, Tracked, -0.1324583, -0.1085303, 1.912592, Tracked, -0.1315109, 0.1989881, 1.985603, Tracked, -0.09158254, 0.3318195, 2.040172, Tracked, -0.3029907, 0.08779182, 1.89982, Tracked, -0.4069776, -0.112239, 1.826251, Tracked, -0.3226525, -0.282333, 1.7013, Tracked, -0.2794009, -0.3373779, 1.706234, Inferred, 0.05985485, 0.05619677, 2.028284, Tracked, 0.1074369, -0.1610884, 2.008995, Tracked, 0.09069773, -0.3246164, 1.851383, Tracked, 0.042802, -0.3673063, 1.807207, Inferred, -0.2089193, -0.4053307, 1.755983, Tracked, -0.2799071, -0.755142, 1.705016, Tracked, -0.2688296, -1.210542, 1.850228, Inferred, -0.2123075, -1.28258, 1.785825, Inferred, -0.04979976, -0.4339994, 1.81808, Tracked, -0.03979752, -0.7909274, 1.780166, Tracked, -0.05164836, -1.240829, 1.938834, Inferred, -0.02239485, -1.325856, 1.892217, Inferred, -0.131939, 0.1235895, 1.969953, Tracked, -0.2500037, -0.4140018, 1.667522, Tracked, -0.3358855, -0.3748134, 1.731, Tracked, 0.02994768, -0.4438329, 1.757569, Tracked, 0.004424827, -0.3178397, 1.75631, Tracked,
Kinect 2: 0.3296472, -0.1321462, -0.4282904, 1.823604, Tracked, -0.1322019, -0.1085513, 1.912007, Tracked, -0.1307956, 0.1994289, 1.983569, Tracked, -0.0904035, 0.3314176, 2.03679, Tracked, -0.3040062, 0.08697542, 1.900255, Tracked, -0.406346, -0.1115406, 1.823735, Tracked, -0.3218615, -0.2828214, 1.700663, Tracked, -0.2764201, -0.3392374, 1.696759, Tracked, 0.06034875, 0.05500527, 2.026554, Tracked, 0.1077174, -0.1623116, 2.008803, Tracked, 0.09014373, -0.3228303, 1.848022, Tracked, 0.04486381, -0.362637, 1.792928, Tracked, -0.2088681, -0.4054126, 1.755888, Tracked, -0.2795327, -0.7552541, 1.701514, Tracked, -0.2874733, -1.225958, 1.568984, Inferred, -0.2404792, -1.217899, 1.425526, Inferred, -0.04978712, -0.4342179, 1.817846, Tracked, -0.03939749, -0.7912332, 1.775785, Tracked, -0.03046276, -1.273933, 1.722895, Inferred, 0.009126365, -1.287249, 1.585098, Inferred, -0.1313521, 0.1238813, 1.968372, Tracked, -0.2387816, -0.4118249, 1.656475, Tracked, -0.3322676, -0.3933538, 1.7163, Tracked, 0.03125066, -0.4424218, 1.746555, Tracked, 0.003793697, -0.3140869, 1.742472, Tracked,
Kinect 2: 0.3638654, -0.1313208, -0.4288374, 1.821899, Tracked, -0.1309737, -0.1089333, 1.909197, Tracked, -0.129327, 0.1991872, 1.979659, Tracked, -0.08938695, 0.3300701, 2.031391, Tracked, -0.2968371, 0.08879189, 1.890566, Tracked, -0.4049948, -0.1111072, 1.82047, Tracked, -0.3199697, -0.2832691, 1.699132, Tracked, -0.2758706, -0.3387282, 1.691637, Inferred, 0.06048375, 0.05407358, 2.022282, Tracked, 0.1069199, -0.1634038, 2.007421, Tracked, 0.09025853, -0.3209604, 1.843453, Tracked, 0.04613784, -0.3570228, 1.786549, Tracked, -0.2076889, -0.4057315, 1.75392, Tracked, -0.278803, -0.7553689, 1.694912, Tracked, -0.3568759, -1.10823, 1.355205, Inferred, -0.3132409, -1.048743, 1.212381, Inferred, -0.04923517, -0.4348845, 1.815485, Tracked, -0.0397015, -0.7919617, 1.766738, Tracked, -0.07337032, -1.262399, 1.639126, Inferred, -0.04173595, -1.256557, 1.490827, Inferred, -0.1299194, 0.1236196, 1.964715, Tracked, -0.2321397, -0.4116012, 1.650802, Tracked, -0.3334447, -0.3830991, 1.721826, Tracked, 0.03311067, -0.4357128, 1.738677, Tracked, 0.004906872, -0.3087816, 1.733167, Tracked,
Kinect 2: 0.3968981, -0.1309311, -0.4296755, 1.819695, Tracked, -0.1298313, -0.109739, 1.905063, Tracked, -0.1273361, 0.1984234, 1.973263, Tracked, -0.08858911, 0.328287, 2.024318, Tracked, -0.2942894, 0.08900049, 1.885596, Tracked, -0.4027272, -0.111393, 1.815615, Tracked, -0.3172904, -0.2830376, 1.693779, Tracked, -0.2722227, -0.3389483, 1.68877, Tracked, 0.0600699, 0.05336082, 2.015041, Tracked, 0.1062289, -0.1640727, 2.003867, Tracked, 0.0907967, -0.3197457, 1.837873, Tracked, 0.0466089, -0.3558583, 1.781657, Tracked, -0.207113, -0.4064088, 1.751603, Tracked, -0.2789841, -0.7556686, 1.687239, Tracked, -0.689221, -0.9550283, 1.613723, Inferred, -0.7144762, -0.9280254, 1.472137, Inferred, -0.04909851, -0.4357392, 1.812793, Tracked, -0.03954729, -0.7926539, 1.754199, Tracked, -0.02723185, -1.148985, 1.734794, Inferred, -0.01511374, -0.9935396, 1.693391, Inferred, -0.1281414, 0.1228574, 1.958902, Tracked, -0.2326121, -0.4103196, 1.648928, Tracked, -0.3326461, -0.3825614, 1.719665, Tracked, 0.03260569, -0.4320217, 1.732961, Tracked, 0.005292879, -0.307195, 1.729281, Tracked,
