Time,SpineBaseX,SpineBaseY,SpineBaseZ,SpineBaseTracked,SpineMidX,SpineMidY,SpineMidZ,SpineMidTracked,NeckX,NeckY,NeckZ,NeckTracked,HeadX,HeadY,HeadZ,HeadTracked,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderLeftTracked,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowLeftTracked,WristLeftX,WristLeftY,WristLeftZ,WristLeftTracked,HandLeftX,HandLeftY,HandLeftZ,HandLeftTracked,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ShoulderRightTracked,ElbowRightX,ElbowRightY,ElbowRightZ,ElbowRightTracked,WristRightX,WristRightY,WristRightZ,WristRightTracked,HandRightX,HandRightY,HandRightZ,HandRightTracked,HipLeftX,HipLeftY,HipLeftZ,HipLeftTracked,KneeLeftX,KneeLeftY,KneeLeftZ,KneeLeftTracked,AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleLeftTracked,FootLeftX,FootLeftY,FootLeftZ,FootLeftTracked,HipRightX,HipRightY,HipRightZ,HipRightTracked,KneeRightX,KneeRightY,KneeRightZ,KneeRightTracked,AnkleRightX,AnkleRightY,AnkleRightZ,AnkleRightTracked,FootRightX,FootRightY,FootRightZ,FootRightTracked,SpineShoulderX,SpineShoulderY,SpineShoulderZ,SpineShoulderTracked,HandTipLeftX,HandTipLeftY,HandTipLeftZ,HandTipLeftTracked,ThumbLeftX,ThumbLeftY,ThumbLeftZ,ThumbLeftTracked,HandTipRightX,HandTipRightY,HandTipRightZ,HandTipRightTracked,ThumbRightX,ThumbRightY,ThumbRightZ,ThumbRightTrackedKinect 2: 0.0234844, -0.07258292, -0.5027341, 1.968019, Tracked, 0.01799328, -0.1809165, 2.027204, Tracked, 0.1073459, 0.1292947, 2.064356, Tracked, 0.1986206, 0.2287243, 2.111367, Tracked, -0.04448989, 0.05323993, 1.948974, Tracked, -0.2135895, -0.07783107, 1.835529, Tracked, -0.1494299, -0.2494291, 1.776315, Tracked, -0.1269422, -0.3052425, 1.801253, Tracked, 0.2128081, -0.08686656, 2.187226, Tracked, 0.182487, -0.2833699, 2.19828, Tracked, 0.1581152, -0.4080216, 2.048338, Tracked, 0.1587701, -0.4158933, 2.014984, Tracked, -0.1295659, -0.4575226, 1.880245, Tracked, -0.176596, -0.7570778, 1.749775, Tracked, -0.3139158, -1.113086, 1.76475, Inferred, -0.2616957, -1.164554, 1.660437, Inferred, -0.01301297, -0.5276217, 1.976655, Tracked, -0.004855629, -0.7947303, 1.902956, Tracked, -0.1690422, -1.197646, 1.849471, Inferred, -0.13407, -1.220891, 1.736048, Inferred, 0.08500069, 0.05303351, 2.058426, Tracked, -0.1172661, -0.3798528, 1.780969, Tracked, -0.1556381, -0.2693831, 1.75337, Tracked, 0.1369508, -0.4462357, 1.976349, Tracked, 0.1242423, -0.4013369, 1.963632, Tracked,
Kinect 2: 0.0569255, -0.06586229, -0.4991209, 1.963385, Tracked, 0.02180884, -0.17813, 2.024719, Tracked, 0.1084633, 0.1312529, 2.064517, Tracked, 0.1991071, 0.2314885, 2.112844, Tracked, -0.04386571, 0.05481188, 1.948543, Tracked, -0.2110954, -0.07709516, 1.834716, Tracked, -0.1133259, -0.3061658, 1.779527, Tracked, -0.09333897, -0.3845063, 1.799173, Tracked, 0.2130468, -0.08559565, 2.185146, Tracked, 0.1820365, -0.2834591, 2.196593, Tracked, 0.1754114, -0.4033098, 2.040675, Tracked, 0.1564667, -0.4219945, 2.00018, Inferred, -0.1225461, -0.4540704, 1.874375, Tracked, -0.1661623, -0.7537662, 1.745731, Tracked, -0.3125625, -1.104333, 1.782042, Inferred, -0.2645494, -1.162663, 1.68211, Inferred, -0.006886781, -0.5241378, 1.973562, Tracked, 0.002575435, -0.7909901, 1.897039, Tracked, -0.154534, -1.197416, 1.852773, Inferred, -0.1148321, -1.223934, 1.741322, Inferred, 0.0867344, 0.05519534, 2.057967, Tracked, -0.0574045, -0.4521353, 1.781603, Tracked, -0.1464667, -0.4170342, 1.747083, Tracked, 0.1310899, -0.4576112, 1.970207, Tracked, 0.1220522, -0.3946856, 1.9617, Tracked,
Kinect 2: 0.089918, -0.05969812, -0.496609, 1.95503, Tracked, 0.02542281, -0.1749771, 2.020223, Tracked, 0.1095838, 0.1345372, 2.063907, Tracked, 0.1999558, 0.2345526, 2.1125, Tracked, -0.04929182, 0.05447485, 1.946762, Tracked, -0.2054619, -0.07589249, 1.829919, Tracked, -0.1113719, -0.3055288, 1.775847, Tracked, -0.08764325, -0.382162, 1.786562, Tracked, 0.2133511, -0.08552609, 2.18578, Tracked, 0.1816288, -0.2821778, 2.192893, Tracked, 0.1761266, -0.4042994, 2.038844, Tracked, 0.1582728, -0.4169221, 1.991418, Tracked, -0.1184178, -0.4525036, 1.869239, Tracked, -0.1403735, -0.7367519, 1.725353, Tracked, -0.3053244, -1.085998, 1.783561, Inferred, -0.2676165, -1.15528, 1.691766, Inferred, 0.001384588, -0.5205896, 1.961761, Tracked, 0.01462222, -0.7874129, 1.885999, Tracked, -0.1614674, -1.186927, 1.856698, Inferred, -0.1323743, -1.215675, 1.747279, Inferred, 0.08848279, 0.05847732, 2.056421, Tracked, -0.05054721, -0.4487364, 1.771954, Tracked, -0.1414544, -0.4130087, 1.734857, Tracked, 0.1350916, -0.4398473, 1.953999, Tracked, 0.1234185, -0.3855516, 1.9534, Tracked,
Kinect 2: 0.1268193, -0.04851238, -0.49447, 1.946776, Tracked, 0.03113857, -0.1720337, 2.015007, Tracked, 0.1108219, 0.1375581, 2.062417, Tracked, 0.200014, 0.2366296, 2.111893, Tracked, -0.04377803, 0.05793136, 1.941072, Tracked, -0.2024825, -0.07512514, 1.826798, Tracked, -0.1072174, -0.30482, 1.769175, Tracked, -0.0820811, -0.3806923, 1.778262, Tracked, 0.2145479, -0.07717462, 2.177104, Tracked, 0.1823557, -0.2828007, 2.183839, Tracked, 0.1789474, -0.4066143, 2.031206, Tracked, 0.1580492, -0.415645, 1.981445, Tracked, -0.1071472, -0.4509231, 1.860511, Tracked, -0.1344696, -0.7364361, 1.718496, Tracked, -0.2884206, -1.094401, 1.756364, Inferred, -0.2443684, -1.156397, 1.658847, Inferred, 0.01172407, -0.5180775, 1.954586, Tracked, 0.02031626, -0.7852798, 1.880465, Tracked, -0.1561832, -1.184441, 1.844594, Inferred, -0.1205531, -1.213903, 1.733085, Inferred, 0.09074054, 0.06161208, 2.053987, Tracked, -0.04698445, -0.4472735, 1.764151, Tracked, -0.1365609, -0.4121659, 1.724947, Tracked, 0.1299432, -0.4416806, 1.943883, Tracked, 0.1193721, -0.3768741, 1.947187, Tracked,
Kinect 2: 0.1568419, -0.04685059, -0.4921328, 1.944781, Tracked, 0.0327657, -0.1696939, 2.014425, Tracked, 0.1119831, 0.1411121, 2.064301, Tracked, 0.2027745, 0.2413599, 2.116673, Tracked, -0.04091733, 0.06053927, 1.942077, Tracked, -0.2017501, -0.07465491, 1.826447, Tracked, -0.1045061, -0.3031792, 1.767218, Tracked, -0.08200864, -0.3808931, 1.776842, Tracked, 0.2150218, -0.07631002, 2.176634, Tracked, 0.1829034, -0.2814714, 2.182622, Tracked, 0.1849663, -0.4047907, 2.029584, Tracked, 0.1605025, -0.4189243, 1.983204, Tracked, -0.1035471, -0.4442092, 1.853063, Tracked, -0.1230683, -0.7293081, 1.710684, Tracked, -0.265052, -1.089487, 1.766718, Inferred, -0.2192738, -1.154567, 1.674479, Inferred, 0.01225836, -0.5177388, 1.954708, Tracked, 0.02580182, -0.7848867, 1.882058, Tracked, -0.1312356, -1.191379, 1.891305, Inferred, -0.09044554, -1.231655, 1.788466, Inferred, 0.09213957, 0.06467532, 2.054933, Tracked, -0.03909296, -0.448163, 1.763337, Tracked, -0.1385962, -0.4082205, 1.725625, Tracked, 0.1354608, -0.4504161, 1.950583, Tracked, 0.1208046, -0.3810544, 1.945, Tracked,
Kinect 2: 0.1897552, -0.03737494, -0.4874606, 1.929333, Tracked, 0.0386286, -0.1658021, 2.002741, Tracked, 0.1135288, 0.1439284, 2.058025, Tracked, 0.2029352, 0.2431478, 2.112696, Tracked, -0.03911488, 0.06379215, 1.931972, Tracked, -0.1982584, -0.07350806, 1.817919, Tracked, -0.09634657, -0.2992865, 1.753649, Tracked, -0.07193749, -0.3744539, 1.758925, Tracked, 0.2163899, -0.07232975, 2.167567, Tracked, 0.1860802, -0.2767076, 2.172745, Tracked, 0.1858581, -0.3997302, 2.019397, Tracked, 0.1674842, -0.4135568, 1.967507, Tracked, -0.09736165, -0.442319, 1.844371, Tracked, -0.1035296, -0.706355, 1.678277, Tracked, -0.2265662, -1.091233, 1.681131, Inferred, -0.1719913, -1.140951, 1.578253, Inferred, 0.02342476, -0.5117966, 1.935435, Tracked, 0.02682052, -0.7830492, 1.874462, Tracked, -0.09842158, -1.1864, 1.868018, Inferred, -0.04630896, -1.232337, 1.761069, Inferred, 0.09481248, 0.06789145, 2.047171, Tracked, -0.03320394, -0.4424261, 1.74544, Tracked, -0.1303944, -0.4064836, 1.70384, Tracked, 0.1421356, -0.4388075, 1.930547, Tracked, 0.1252032, -0.3731235, 1.929375, Tracked,
Kinect 2: 0.2236632, -0.03234799, -0.482515, 1.927501, Tracked, 0.04256047, -0.1617996, 2.000016, Tracked, 0.1157072, 0.1471326, 2.055077, Tracked, 0.2041999, 0.2469502, 2.1087, Tracked, -0.03828206, 0.06522527, 1.929654, Tracked, -0.1971999, -0.07265136, 1.815494, Tracked, -0.09393299, -0.2879183, 1.747447, Tracked, -0.07105835, -0.3599406, 1.75846, Tracked, 0.2188709, -0.07048147, 2.158272, Tracked, 0.1888926, -0.2756359, 2.163801, Tracked, 0.1996934, -0.4116148, 2.004181, Inferred, 0.1662688, -0.4205264, 1.957881, Tracked, -0.08349305, -0.4244551, 1.819171, Tracked, -0.1011297, -0.7046239, 1.676142, Tracked, -0.2044642, -1.09145, 1.671815, Inferred, -0.1462628, -1.134881, 1.566036, Inferred, 0.0281771, -0.5101721, 1.945568, Tracked, 0.04277899, -0.7766642, 1.865887, Tracked, -0.08570106, -1.19386, 1.838943, Inferred, -0.04101911, -1.223037, 1.731075, Inferred, 0.09757853, 0.07135499, 2.044144, Tracked, -0.03700014, -0.4262893, 1.737044, Tracked, -0.1278875, -0.3955206, 1.706455, Tracked, 0.1383594, -0.4565842, 1.922088, Tracked, 0.1318645, -0.3897613, 1.916375, Tracked,
Kinect 2: 0.2585267, -0.03272557, -0.4748363, 1.922592, Tracked, 0.04255316, -0.1572731, 1.9947, Tracked, 0.1154803, 0.1494902, 2.04932, Tracked, 0.205346, 0.2504113, 2.10256, Tracked, -0.03791983, 0.06683062, 1.927788, Tracked, -0.1965973, -0.07071108, 1.812238, Tracked, -0.09546421, -0.2858828, 1.743072, Tracked, -0.0726864, -0.3596008, 1.743877, Tracked, 0.2206555, -0.0702081, 2.155115, Tracked, 0.1923385, -0.2731481, 2.15384, Tracked, 0.1892821, -0.3966433, 2.000898, Tracked, 0.1729962, -0.4126569, 1.95519, Tracked, -0.08626604, -0.4189697, 1.816357, Tracked, -0.09226947, -0.6844027, 1.663898, Tracked, -0.1693556, -1.087855, 1.648975, Inferred, -0.1069445, -1.126083, 1.542746, Inferred, 0.02767036, -0.5080222, 1.944774, Tracked, 0.04480622, -0.7739209, 1.861169, Tracked, -0.06147496, -1.194795, 1.887955, Inferred, -0.0147676, -1.233388, 1.792819, Inferred, 0.09750374, 0.07420763, 2.038484, Tracked, -0.02793563, -0.4242998, 1.728279, Tracked, -0.131289, -0.3885299, 1.699067, Tracked, 0.1481639, -0.4445291, 1.921824, Tracked, 0.1358677, -0.3751494, 1.913462, Tracked,
Kinect 2: 0.290334, -0.0211056, -0.4711875, 1.910155, Tracked, 0.05060535, -0.1518918, 1.978947, Tracked, 0.1193152, 0.156499, 2.029781, Tracked, 0.2072949, 0.2565629, 2.081572, Tracked, -0.0360281, 0.07127622, 1.904352, Tracked, -0.1942328, -0.07187835, 1.795177, Tracked, -0.09123245, -0.2881139, 1.730692, Tracked, -0.06470302, -0.3602566, 1.733742, Tracked, 0.2234787, -0.06635868, 2.134104, Tracked, 0.1963274, -0.268152, 2.139959, Tracked, 0.1917167, -0.3977574, 1.992601, Tracked, 0.1744042, -0.4093016, 1.940122, Tracked, -0.07776473, -0.41736, 1.802051, Tracked, -0.08956252, -0.682703, 1.653936, Tracked, -0.135607, -1.08722, 1.555521, Inferred, -0.06938215, -1.107471, 1.442004, Inferred, 0.03601544, -0.5051103, 1.939304, Tracked, 0.04416683, -0.7714548, 1.855448, Tracked, -0.05200178, -1.194885, 1.880405, Inferred, 0.001945306, -1.232042, 1.782416, Inferred, 0.102548, 0.0808143, 2.019906, Tracked, -0.02191883, -0.4272493, 1.72257, Tracked, -0.1241057, -0.3929144, 1.677885, Tracked, 0.1481432, -0.4344748, 1.905084, Tracked, 0.1360152, -0.3681274, 1.911667, Tracked,
Kinect 2: 0.3242442, -0.01587022, -0.4694934, 1.897331, Tracked, 0.05409916, -0.1502805, 1.962559, Tracked, 0.1205659, 0.1575767, 2.010333, Tracked, 0.2079971, 0.2586822, 2.064173, Tracked, -0.03552947, 0.07307679, 1.885079, Tracked, -0.1920115, -0.07236113, 1.780825, Tracked, -0.09759572, -0.2711703, 1.714461, Tracked, -0.07211528, -0.3384782, 1.720625, Tracked, 0.2247732, -0.06485736, 2.119769, Tracked, 0.1995615, -0.2672538, 2.123004, Tracked, 0.214197, -0.398652, 1.978224, Tracked, 0.1789609, -0.4090022, 1.926591, Tracked, -0.07346034, -0.4166423, 1.78818, Tracked, -0.08656286, -0.6808206, 1.631396, Tracked, -0.11329, -1.030468, 1.395532, Inferred, -0.04677471, -1.031859, 1.275828, Inferred, 0.04193554, -0.502699, 1.92795, Tracked, 0.04485755, -0.7698286, 1.849238, Tracked, -0.0428565, -1.196975, 1.847556, Inferred, 0.01465145, -1.228051, 1.744446, Inferred, 0.1044024, 0.08206809, 2.001158, Tracked, -0.02778452, -0.4032452, 1.699344, Tracked, -0.1354087, -0.3727469, 1.683429, Tracked, 0.152371, -0.433079, 1.890117, Tracked, 0.1442576, -0.3781953, 1.8876, Tracked,
Kinect 2: 0.3561581, -0.01351774, -0.4678328, 1.881426, Tracked, 0.05433394, -0.1478006, 1.946264, Tracked, 0.1189057, 0.160674, 1.993978, Tracked, 0.207888, 0.2610594, 2.048173, Tracked, -0.03523804, 0.07431827, 1.869007, Tracked, -0.1907613, -0.07472928, 1.767115, Tracked, -0.09844672, -0.2670437, 1.70575, Tracked, -0.07080037, -0.3326455, 1.709194, Tracked, 0.227627, -0.06245301, 2.101534, Tracked, 0.2030137, -0.2601477, 2.110012, Tracked, 0.1918335, -0.3785992, 1.953095, Tracked, 0.1847176, -0.3984731, 1.92302, Tracked, -0.07166948, -0.4161601, 1.774447, Tracked, -0.08550939, -0.6682062, 1.625278, Tracked, -0.1148671, -1.038254, 1.396254, Inferred, -0.04880749, -1.040483, 1.27655, Inferred, 0.04491466, -0.4997015, 1.909918, Tracked, 0.05172147, -0.7663772, 1.827915, Tracked, -0.05292078, -1.188088, 1.850822, Inferred, -0.007796027, -1.225775, 1.757829, Inferred, 0.1031951, 0.08503097, 1.984798, Tracked, -0.02311707, -0.4001757, 1.689703, Tracked, -0.1321852, -0.3692511, 1.671546, Tracked, 0.1849623, -0.4401693, 1.900729, Tracked, 0.1416662, -0.3731263, 1.871778, Tracked,
Kinect 2: 0.391066, -0.01077454, -0.4663672, 1.866959, Tracked, 0.05599205, -0.1462102, 1.928607, Tracked, 0.1193749, 0.1622666, 1.972846, Tracked, 0.2035568, 0.2644507, 2.022958, Tracked, -0.036449, 0.07557332, 1.85229, Tracked, -0.189674, -0.07867202, 1.754103, Tracked, -0.0994966, -0.2661333, 1.692403, Tracked, -0.07290991, -0.3298394, 1.695231, Tracked, 0.2292014, -0.05560477, 2.081, Tracked, 0.206706, -0.2535918, 2.094711, Tracked, 0.2081812, -0.3882941, 1.952285, Tracked, 0.1980903, -0.3827994, 1.938208, Tracked, -0.06985781, -0.4161527, 1.761618, Tracked, -0.08532479, -0.674847, 1.614641, Tracked, -0.1102256, -1.046169, 1.398298, Inferred, -0.04481284, -1.049154, 1.278526, Inferred, 0.04859404, -0.4966323, 1.893817, Tracked, 0.05022869, -0.7646089, 1.822926, Tracked, -0.05476632, -1.188032, 1.819692, Inferred, -0.006251805, -1.22003, 1.715487, Inferred, 0.1039727, 0.08664165, 1.964557, Tracked, -0.02349746, -0.3974631, 1.674974, Tracked, -0.1358146, -0.3684217, 1.66236, Tracked, 0.1726049, -0.4297508, 1.875391, Tracked, 0.1458762, -0.362326, 1.881333, Tracked,
