Time,SpineBaseX,SpineBaseY,SpineBaseZ,SpineBaseTracked,SpineMidX,SpineMidY,SpineMidZ,SpineMidTracked,NeckX,NeckY,NeckZ,NeckTracked,HeadX,HeadY,HeadZ,HeadTracked,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderLeftTracked,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowLeftTracked,WristLeftX,WristLeftY,WristLeftZ,WristLeftTracked,HandLeftX,HandLeftY,HandLeftZ,HandLeftTracked,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ShoulderRightTracked,ElbowRightX,ElbowRightY,ElbowRightZ,ElbowRightTracked,WristRightX,WristRightY,WristRightZ,WristRightTracked,HandRightX,HandRightY,HandRightZ,HandRightTracked,HipLeftX,HipLeftY,HipLeftZ,HipLeftTracked,KneeLeftX,KneeLeftY,KneeLeftZ,KneeLeftTracked,AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleLeftTracked,FootLeftX,FootLeftY,FootLeftZ,FootLeftTracked,HipRightX,HipRightY,HipRightZ,HipRightTracked,KneeRightX,KneeRightY,KneeRightZ,KneeRightTracked,AnkleRightX,AnkleRightY,AnkleRightZ,AnkleRightTracked,FootRightX,FootRightY,FootRightZ,FootRightTracked,SpineShoulderX,SpineShoulderY,SpineShoulderZ,SpineShoulderTracked,HandTipLeftX,HandTipLeftY,HandTipLeftZ,HandTipLeftTracked,ThumbLeftX,ThumbLeftY,ThumbLeftZ,ThumbLeftTracked,HandTipRightX,HandTipRightY,HandTipRightZ,HandTipRightTracked,ThumbRightX,ThumbRightY,ThumbRightZ,ThumbRightTrackedKinect 2: 0.0123102, -0.2320932, -0.3459127, 1.632538, Tracked, -0.2263097, -0.04206285, 1.720971, Tracked, -0.21883, 0.2497948, 1.795798, Tracked, -0.1750085, 0.353225, 1.867708, Tracked, -0.3403881, 0.1495108, 1.632644, Tracked, -0.4219038, -0.05284972, 1.512285, Tracked, -0.4264806, -0.2602834, 1.463349, Tracked, -0.4258339, -0.3352855, 1.469792, Tracked, -0.1072417, 0.05871755, 1.897248, Tracked, -0.08996411, -0.1552982, 1.91154, Tracked, -0.06863569, -0.3544486, 1.724211, Tracked, -0.07040272, -0.3997054, 1.670603, Tracked, -0.2784413, -0.3156801, 1.555774, Tracked, -0.3292541, -0.6228079, 1.464099, Tracked, -0.4218563, -0.9973181, 1.427315, Inferred, -0.3499489, -1.039848, 1.330937, Inferred, -0.1763981, -0.3629948, 1.645108, Tracked, -0.1615142, -0.6831632, 1.612851, Tracked, -0.1879165, -1.063188, 1.617209, Inferred, -0.1060858, -1.09928, 1.529517, Inferred, -0.2207585, 0.1782111, 1.779222, Tracked, -0.4253811, -0.4155672, 1.444242, Tracked, -0.4096283, -0.3868742, 1.395, Tracked, -0.07134437, -0.4516494, 1.629228, Tracked, -0.08495493, -0.3594795, 1.6429, Tracked,
Kinect 2: 0.0472617, -0.2320717, -0.3459305, 1.6326, Tracked, -0.2261095, -0.04212962, 1.721165, Tracked, -0.2183964, 0.2497022, 1.796147, Tracked, -0.1751665, 0.3534781, 1.867893, Tracked, -0.3402164, 0.1495487, 1.632752, Tracked, -0.4218031, -0.05282675, 1.511865, Tracked, -0.4265829, -0.259873, 1.463998, Tracked, -0.4247345, -0.3296849, 1.471575, Tracked, -0.1089571, 0.06031658, 1.898324, Inferred, -0.09271473, -0.1569476, 1.852351, Tracked, -0.07352746, -0.3756201, 1.689103, Tracked, -0.07568779, -0.4420705, 1.639123, Tracked, -0.2783574, -0.3156799, 1.555826, Tracked, -0.3286546, -0.6224868, 1.464062, Tracked, -0.4225145, -0.997197, 1.427783, Inferred, -0.3505737, -1.040253, 1.331818, Inferred, -0.1764469, -0.3630131, 1.64519, Tracked, -0.1614423, -0.683395, 1.612996, Tracked, -0.1879039, -1.06329, 1.617388, Inferred, -0.1057557, -1.099397, 1.530055, Inferred, -0.2204099, 0.1781303, 1.779529, Tracked, -0.4108371, -0.408892, 1.436775, Tracked, -0.401971, -0.2887984, 1.393667, Tracked, -0.07919019, -0.5023472, 1.604783, Tracked, -0.09369542, -0.4148091, 1.597864, Tracked,
Kinect 2: 0.0813625, -0.2320739, -0.3460139, 1.632663, Tracked, -0.2260575, -0.04212554, 1.721242, Tracked, -0.2182701, 0.249867, 1.796285, Tracked, -0.1756634, 0.3538824, 1.86828, Tracked, -0.3401811, 0.1495538, 1.632769, Tracked, -0.4213128, -0.05293537, 1.511526, Tracked, -0.4282629, -0.3195854, 1.469706, Tracked, -0.4280807, -0.3479349, 1.464234, Tracked, -0.110776, 0.06233424, 1.89896, Inferred, -0.09117119, -0.1591528, 1.911924, Tracked, -0.06785501, -0.3536741, 1.719889, Tracked, -0.07682186, -0.4560787, 1.633657, Tracked, -0.2782382, -0.3158889, 1.556144, Tracked, -0.3286048, -0.6228243, 1.46395, Tracked, -0.4240647, -0.9968656, 1.426601, Inferred, -0.3522215, -1.040082, 1.330656, Inferred, -0.1765212, -0.3630452, 1.645143, Tracked, -0.1613835, -0.6836537, 1.613134, Tracked, -0.188029, -1.063314, 1.61763, Inferred, -0.1056614, -1.099471, 1.530612, Inferred, -0.2203151, 0.1782429, 1.779651, Tracked, -0.4211963, -0.4136126, 1.44474, Tracked, -0.411421, -0.3337471, 1.392333, Tracked, -0.08239124, -0.5159532, 1.5997, Tracked, -0.09343061, -0.4238541, 1.597685, Tracked,
Kinect 2: 0.1133613, -0.2321157, -0.3460389, 1.632719, Tracked, -0.2259858, -0.04212576, 1.721325, Tracked, -0.2180008, 0.2499402, 1.79643, Tracked, -0.1758068, 0.3541313, 1.868526, Tracked, -0.3399779, 0.149539, 1.632958, Tracked, -0.4206366, -0.05292845, 1.510885, Tracked, -0.4283317, -0.2988529, 1.471874, Tracked, -0.4234449, -0.3537875, 1.457968, Tracked, -0.1113655, 0.06308483, 1.899252, Inferred, -0.09490585, -0.1570126, 1.85195, Tracked, -0.07502254, -0.3741613, 1.686675, Tracked, -0.07835738, -0.4433362, 1.637151, Tracked, -0.2782433, -0.3158956, 1.556177, Tracked, -0.3284867, -0.6229663, 1.464064, Tracked, -0.4234445, -0.9971201, 1.426334, Inferred, -0.3513346, -1.040147, 1.33043, Inferred, -0.17664, -0.3630672, 1.645205, Tracked, -0.1612465, -0.6839216, 1.613362, Tracked, -0.1889083, -1.063349, 1.617763, Inferred, -0.1065954, -1.099735, 1.530792, Inferred, -0.2201176, 0.1782948, 1.779781, Tracked, -0.4175291, -0.4252928, 1.426468, Tracked, -0.4132031, -0.3618531, 1.398333, Tracked, -0.0836726, -0.5010582, 1.602954, Tracked, -0.09518713, -0.4138641, 1.596282, Tracked,
Kinect 2: 0.1475984, -0.2320821, -0.3466304, 1.632825, Tracked, -0.2258302, -0.0423937, 1.721491, Tracked, -0.2177984, 0.2498814, 1.796633, Tracked, -0.1758954, 0.3541185, 1.869053, Tracked, -0.3398268, 0.1495019, 1.633114, Tracked, -0.4205536, -0.05187877, 1.510861, Tracked, -0.4291875, -0.2982272, 1.472092, Tracked, -0.4270432, -0.3562662, 1.460788, Tracked, -0.1118364, 0.06342612, 1.899569, Inferred, -0.09252789, -0.1624144, 1.913351, Tracked, -0.06859787, -0.3539583, 1.718317, Tracked, -0.07867596, -0.4561052, 1.634167, Tracked, -0.2780391, -0.3169478, 1.556948, Tracked, -0.3283972, -0.6227407, 1.46389, Tracked, -0.4247111, -0.9977564, 1.427473, Inferred, -0.3528202, -1.041478, 1.331903, Inferred, -0.1767341, -0.3634324, 1.644892, Tracked, -0.161268, -0.6839382, 1.613482, Tracked, -0.1886507, -1.063809, 1.617749, Inferred, -0.1061849, -1.100104, 1.530846, Inferred, -0.2199404, 0.1781965, 1.779972, Tracked, -0.4116015, -0.4288093, 1.406199, Tracked, -0.4229734, -0.3600838, 1.401333, Tracked, -0.08547902, -0.5154546, 1.599129, Tracked, -0.09631556, -0.4263809, 1.594655, Tracked,
Kinect 2: 0.1863733, -0.2321147, -0.3467606, 1.632809, Tracked, -0.2257509, -0.04243563, 1.721523, Tracked, -0.217518, 0.2499532, 1.79675, Tracked, -0.1758993, 0.3543614, 1.869066, Tracked, -0.3397655, 0.1494788, 1.633038, Tracked, -0.4194572, -0.05215706, 1.509574, Tracked, -0.4240583, -0.2926852, 1.45961, Tracked, -0.4266483, -0.3602512, 1.459395, Tracked, -0.1120934, 0.06386052, 1.89972, Inferred, -0.09315054, -0.1656819, 1.91074, Tracked, -0.07116292, -0.3579356, 1.716194, Tracked, -0.07190158, -0.406695, 1.666488, Tracked, -0.2780385, -0.3170159, 1.556946, Tracked, -0.3282222, -0.6227893, 1.46382, Tracked, -0.4251834, -0.9977399, 1.427873, Inferred, -0.3534024, -1.041747, 1.332417, Inferred, -0.1768325, -0.363572, 1.644819, Tracked, -0.1612376, -0.6843226, 1.613597, Tracked, -0.1896752, -1.06391, 1.617637, Inferred, -0.1073244, -1.100411, 1.530718, Inferred, -0.2197333, 0.1782296, 1.780064, Tracked, -0.4208124, -0.4383636, 1.432393, Tracked, -0.4164859, -0.379337, 1.4096, Tracked, -0.072641, -0.463416, 1.623259, Tracked, -0.08634106, -0.3667104, 1.635522, Tracked,
Kinect 2: 0.2136024, -0.2321122, -0.3466128, 1.633046, Tracked, -0.2256236, -0.04236997, 1.721786, Tracked, -0.2173186, 0.2499603, 1.797023, Tracked, -0.1759462, 0.3545398, 1.869158, Tracked, -0.3397103, 0.1495206, 1.633092, Tracked, -0.4193764, -0.05230604, 1.509374, Tracked, -0.423685, -0.2564726, 1.463093, Tracked, -0.4248982, -0.3273331, 1.473152, Tracked, -0.1124349, 0.06419595, 1.900076, Inferred, -0.09345302, -0.1660635, 1.910586, Tracked, -0.0731324, -0.358999, 1.716541, Tracked, -0.07240982, -0.4073029, 1.667795, Tracked, -0.2779396, -0.3167704, 1.556983, Tracked, -0.3281778, -0.6227651, 1.463818, Tracked, -0.4260487, -0.997346, 1.427891, Inferred, -0.3543985, -1.041605, 1.332461, Inferred, -0.1770201, -0.3634285, 1.64541, Tracked, -0.1612313, -0.6845529, 1.613991, Tracked, -0.1909547, -1.063773, 1.617877, Inferred, -0.108716, -1.100564, 1.530974, Inferred, -0.2195545, 0.178256, 1.780341, Tracked, -0.4209996, -0.3961955, 1.458302, Tracked, -0.4206719, -0.3385118, 1.404, Tracked, -0.0708384, -0.4651254, 1.62831, Tracked, -0.08647118, -0.3668837, 1.635811, Tracked,
Kinect 2: 0.2485647, -0.2322087, -0.3469454, 1.632963, Tracked, -0.2254951, -0.04266225, 1.721843, Tracked, -0.2169533, 0.2496519, 1.797235, Tracked, -0.1759992, 0.3545042, 1.869095, Tracked, -0.3390106, 0.1497435, 1.633246, Tracked, -0.4191206, -0.05218844, 1.509252, Tracked, -0.4256052, -0.2897571, 1.467494, Tracked, -0.4319198, -0.3489524, 1.463872, Tracked, -0.1125046, 0.06417779, 1.900171, Inferred, -0.0938135, -0.1670872, 1.910073, Tracked, -0.07329795, -0.360284, 1.716299, Tracked, -0.07186837, -0.4071067, 1.668083, Tracked, -0.2779429, -0.3172128, 1.557238, Tracked, -0.327542, -0.6214895, 1.463123, Tracked, -0.4275464, -0.9972582, 1.428743, Inferred, -0.3563189, -1.042483, 1.333729, Inferred, -0.1773419, -0.3637961, 1.644721, Tracked, -0.1612099, -0.6846374, 1.61408, Tracked, -0.1971266, -1.063903, 1.610462, Inferred, -0.1159161, -1.100708, 1.52215, Inferred, -0.2192668, 0.1779614, 1.78051, Tracked, -0.4259644, -0.4292812, 1.464237, Tracked, -0.4222725, -0.362429, 1.419714, Tracked, -0.07177411, -0.4651302, 1.627795, Tracked, -0.08637363, -0.3683752, 1.635217, Tracked,
Kinect 2: 0.2853218, -0.2322087, -0.3471623, 1.633035, Tracked, -0.2253747, -0.04274829, 1.721909, Tracked, -0.2167042, 0.2496891, 1.797299, Tracked, -0.1760987, 0.3547006, 1.869183, Tracked, -0.3389186, 0.14976, 1.633209, Tracked, -0.4187322, -0.05258459, 1.508984, Tracked, -0.4262152, -0.2899044, 1.477654, Tracked, -0.4140571, -0.3672368, 1.483469, Tracked, -0.1125749, 0.06436115, 1.900227, Inferred, -0.09437624, -0.1667952, 1.911182, Tracked, -0.07348353, -0.3594022, 1.716814, Tracked, -0.07202721, -0.4060258, 1.6681, Tracked, -0.2778756, -0.3175678, 1.557564, Tracked, -0.3273256, -0.6214249, 1.463167, Tracked, -0.4282048, -0.9973592, 1.428047, Inferred, -0.3571117, -1.042598, 1.332887, Inferred, -0.1773829, -0.3638988, 1.644635, Tracked, -0.1611877, -0.6847522, 1.614171, Tracked, -0.1951861, -1.064043, 1.615528, Inferred, -0.113541, -1.101369, 1.528192, Inferred, -0.2190633, 0.1779648, 1.780577, Tracked, -0.4247294, -0.408276, 1.467908, Tracked, -0.4257383, -0.3577699, 1.434572, Tracked, -0.0708919, -0.4641115, 1.624993, Tracked, -0.08642972, -0.3659795, 1.637044, Tracked,
Kinect 2: 0.313701, -0.2321762, -0.3471097, 1.633164, Tracked, -0.2252671, -0.04270925, 1.722043, Tracked, -0.2165724, 0.2497319, 1.797405, Tracked, -0.1763124, 0.3548616, 1.869439, Tracked, -0.3383732, 0.1500735, 1.633453, Tracked, -0.4183368, -0.05271178, 1.508777, Tracked, -0.4301118, -0.3042222, 1.478479, Tracked, -0.4148405, -0.3798313, 1.480015, Tracked, -0.1127364, 0.06459589, 1.90037, Inferred, -0.09470706, -0.1689416, 1.910339, Tracked, -0.07313758, -0.3617141, 1.716189, Tracked, -0.07267497, -0.4070646, 1.668956, Tracked, -0.2777512, -0.3174139, 1.557592, Tracked, -0.3273396, -0.6215166, 1.463033, Tracked, -0.4339322, -0.9957431, 1.431461, Inferred, -0.3644654, -1.043368, 1.336864, Inferred, -0.1774574, -0.3638729, 1.644931, Tracked, -0.1612415, -0.685306, 1.614455, Tracked, -0.1947671, -1.06408, 1.616801, Inferred, -0.1129149, -1.101487, 1.529762, Inferred, -0.2189358, 0.1780096, 1.780695, Tracked, -0.4226417, -0.450382, 1.457445, Tracked, -0.4200048, -0.3308592, 1.42425, Tracked, -0.07241774, -0.4653788, 1.625821, Tracked, -0.08686312, -0.3681439, 1.635433, Tracked,
Kinect 2: 0.3472284, -0.2321538, -0.3472326, 1.63314, Tracked, -0.2252227, -0.04276198, 1.722053, Tracked, -0.2165376, 0.2497302, 1.797426, Tracked, -0.176454, 0.3549087, 1.869571, Tracked, -0.3383631, 0.1500455, 1.633269, Tracked, -0.4176654, -0.05305961, 1.50825, Tracked, -0.4307184, -0.2537757, 1.482264, Tracked, -0.4253518, -0.3192637, 1.475272, Tracked, -0.1129232, 0.06473015, 1.900416, Inferred, -0.09497733, -0.1691722, 1.910044, Tracked, -0.07317971, -0.3619387, 1.715876, Tracked, -0.07242019, -0.4081351, 1.669002, Tracked, -0.277687, -0.3175227, 1.557628, Tracked, -0.3272301, -0.6224985, 1.462851, Tracked, -0.457439, -0.9881455, 1.430919, Inferred, -0.3953737, -1.041568, 1.335354, Inferred, -0.1774866, -0.3639916, 1.644788, Tracked, -0.1612154, -0.685587, 1.614641, Tracked, -0.1948719, -1.064235, 1.617595, Inferred, -0.1129611, -1.1018, 1.530707, Inferred, -0.2189011, 0.1779994, 1.780715, Tracked, -0.4175397, -0.3879336, 1.446312, Tracked, -0.4056886, -0.3027157, 1.40125, Tracked, -0.07356736, -0.4642172, 1.623208, Tracked, -0.08676215, -0.3662957, 1.636811, Tracked,
Kinect 2: 0.3793639, -0.2322337, -0.3474006, 1.633232, Tracked, -0.2252144, -0.04280269, 1.722122, Tracked, -0.2164969, 0.2497703, 1.797497, Tracked, -0.1769785, 0.3551429, 1.869861, Tracked, -0.3383136, 0.149914, 1.633222, Tracked, -0.4175161, -0.0530712, 1.508168, Tracked, -0.4312828, -0.2870537, 1.487779, Tracked, -0.426435, -0.3416098, 1.474771, Tracked, -0.1131622, 0.06497151, 1.900552, Inferred, -0.09744898, -0.1597335, 1.852771, Tracked, -0.07777317, -0.376022, 1.686076, Tracked, -0.08044917, -0.4480618, 1.637076, Tracked, -0.2777306, -0.3177028, 1.557791, Tracked, -0.3272237, -0.6225004, 1.462767, Tracked, -0.4549968, -0.9892443, 1.430383, Inferred, -0.391954, -1.041939, 1.334846, Inferred, -0.1775877, -0.3640867, 1.644787, Tracked, -0.1611754, -0.6856452, 1.614747, Tracked, -0.1985573, -1.064277, 1.612278, Inferred, -0.117287, -1.101682, 1.524329, Inferred, -0.2188708, 0.1780188, 1.780783, Tracked, -0.4205492, -0.4172602, 1.459265, Tracked, -0.4182918, -0.3781337, 1.421445, Tracked, -0.08545939, -0.5058184, 1.604169, Tracked, -0.09772047, -0.4059475, 1.601222, Tracked,
