Time,SpineBaseX,SpineBaseY,SpineBaseZ,SpineBaseTracked,SpineMidX,SpineMidY,SpineMidZ,SpineMidTracked,NeckX,NeckY,NeckZ,NeckTracked,HeadX,HeadY,HeadZ,HeadTracked,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderLeftTracked,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowLeftTracked,WristLeftX,WristLeftY,WristLeftZ,WristLeftTracked,HandLeftX,HandLeftY,HandLeftZ,HandLeftTracked,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ShoulderRightTracked,ElbowRightX,ElbowRightY,ElbowRightZ,ElbowRightTracked,WristRightX,WristRightY,WristRightZ,WristRightTracked,HandRightX,HandRightY,HandRightZ,HandRightTracked,HipLeftX,HipLeftY,HipLeftZ,HipLeftTracked,KneeLeftX,KneeLeftY,KneeLeftZ,KneeLeftTracked,AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleLeftTracked,FootLeftX,FootLeftY,FootLeftZ,FootLeftTracked,HipRightX,HipRightY,HipRightZ,HipRightTracked,KneeRightX,KneeRightY,KneeRightZ,KneeRightTracked,AnkleRightX,AnkleRightY,AnkleRightZ,AnkleRightTracked,FootRightX,FootRightY,FootRightZ,FootRightTracked,SpineShoulderX,SpineShoulderY,SpineShoulderZ,SpineShoulderTracked,HandTipLeftX,HandTipLeftY,HandTipLeftZ,HandTipLeftTracked,ThumbLeftX,ThumbLeftY,ThumbLeftZ,ThumbLeftTracked,HandTipRightX,HandTipRightY,HandTipRightZ,HandTipRightTracked,ThumbRightX,ThumbRightY,ThumbRightZ,ThumbRightTrackedKinect 2: 8.375137, -0.2053612, -0.3433003, 1.358129, Tracked, -0.2038283, -0.01282973, 1.41456, Tracked, -0.2002517, 0.3001227, 1.453226, Tracked, -0.2029108, 0.4518956, 1.493909, Tracked, -0.3714736, 0.1707457, 1.381211, Tracked, -0.4577344, -0.02694585, 1.306952, Inferred, -0.4096654, -0.1487118, 1.142381, Inferred, -0.3706875, -0.1981592, 1.042819, Inferred, -0.01093341, 0.1703645, 1.457365, Tracked, 0.07218619, -0.06817933, 1.493559, Inferred, 0.09817079, -0.2506462, 1.382841, Inferred, 0.1021634, -0.313776, 1.336798, Inferred, -0.2833544, -0.3338888, 1.306467, Tracked, -0.310021, -0.6256053, 1.27144, Tracked, -0.3524663, -1.003282, 1.268277, Inferred, -0.33494, -1.01807, 1.164269, Inferred, -0.1161563, -0.3339429, 1.335536, Tracked, -0.08811346, -0.574482, 1.188548, Tracked, -0.04927662, -0.9557768, 1.011298, Inferred, -0.03015073, -0.9405203, 0.9019583, Inferred, -0.2014444, 0.2241291, 1.446091, Tracked, -0.3457406, -0.2344336, 0.9987896, Tracked, -0.3325311, -0.1700994, 1.048133, Tracked, 0.1028873, -0.3830006, 1.294513, Tracked, 0.1310479, -0.3079683, 1.302091, Tracked,
Kinect 2: 8.4099919, -0.2092671, -0.343036, 1.366673, Tracked, -0.2083097, -0.01334859, 1.421106, Tracked, -0.2052626, 0.2990945, 1.458301, Tracked, -0.2112466, 0.4522225, 1.498506, Tracked, -0.3790203, 0.1683967, 1.390142, Tracked, -0.4600872, -0.02907595, 1.310109, Inferred, -0.4152468, -0.1550918, 1.147928, Inferred, -0.3749548, -0.2046936, 1.04868, Inferred, -0.01617002, 0.1715886, 1.467615, Tracked, 0.06388567, -0.0669857, 1.511185, Inferred, 0.08088571, -0.2510716, 1.388681, Inferred, 0.07041321, -0.3090484, 1.348277, Inferred, -0.2873262, -0.3344543, 1.316279, Tracked, -0.3119284, -0.626556, 1.277274, Tracked, -0.3519102, -1.005738, 1.268891, Inferred, -0.3319952, -1.026178, 1.149938, Inferred, -0.119874, -0.3330907, 1.343043, Tracked, -0.09180234, -0.5768764, 1.194499, Tracked, -0.05373194, -0.9557183, 1.017917, Inferred, -0.0311911, -0.9428139, 0.8928995, Inferred, -0.206324, 0.2232057, 1.451495, Tracked, -0.3548208, -0.2420444, 1.007599, Tracked, -0.3253357, -0.206459, 1.028167, Tracked, 0.06586311, -0.3744936, 1.274188, Tracked, 0.09990396, -0.3095753, 1.30175, Tracked,
Kinect 2: 8.442074, -0.216936, -0.3429715, 1.385121, Tracked, -0.2180353, -0.01386808, 1.438059, Tracked, -0.2168512, 0.2982759, 1.47377, Tracked, -0.2277088, 0.4528719, 1.51063, Tracked, -0.3910127, 0.1646895, 1.40597, Tracked, -0.4846752, -0.05156823, 1.295909, Tracked, -0.4118193, -0.1807511, 1.141812, Tracked, -0.3899571, -0.2128955, 1.065373, Tracked, -0.02762313, 0.1744198, 1.487802, Tracked, 0.04995891, -0.05723578, 1.540907, Inferred, 0.05775964, -0.2465826, 1.404838, Inferred, 0.02711506, -0.2949127, 1.374341, Inferred, -0.2946146, -0.3359756, 1.334471, Tracked, -0.3141322, -0.628094, 1.289505, Tracked, -0.3531716, -1.064815, 1.272502, Inferred, -0.3319558, -1.081139, 1.156189, Inferred, -0.1276682, -0.3316353, 1.361748, Tracked, -0.09518322, -0.588201, 1.206869, Tracked, -0.04861601, -1.004736, 1.012246, Inferred, -0.02598857, -0.9906493, 0.8911076, Inferred, -0.2174764, 0.2224264, 1.46734, Tracked, -0.372128, -0.2498419, 1.019443, Tracked, -0.3443303, -0.1984139, 1.065097, Tracked, 0.001870453, -0.3800867, 1.321205, Tracked, 0.07451402, -0.2940667, 1.309542, Tracked,
Kinect 2: 8.4750297, -0.2206557, -0.3413457, 1.402224, Tracked, -0.2256551, -0.01329556, 1.454604, Tracked, -0.2286483, 0.2980188, 1.490296, Tracked, -0.2398127, 0.4525317, 1.521435, Tracked, -0.3969725, 0.1630292, 1.417681, Tracked, -0.4869751, -0.05538132, 1.31137, Tracked, -0.4220117, -0.1996898, 1.165132, Tracked, -0.4096169, -0.2265568, 1.089007, Tracked, -0.03832737, 0.179732, 1.510569, Tracked, 0.04319438, -0.0561808, 1.553734, Inferred, 0.047173, -0.2358532, 1.418869, Inferred, 0.008890672, -0.2816786, 1.38917, Inferred, -0.2978718, -0.3360232, 1.350395, Tracked, -0.3146428, -0.6291941, 1.300127, Tracked, -0.3488415, -1.05802, 1.275449, Inferred, -0.3236251, -1.075289, 1.153548, Inferred, -0.1318293, -0.3285201, 1.380121, Tracked, -0.09858055, -0.5910579, 1.226958, Tracked, -0.05289887, -0.9984366, 1.042859, Inferred, -0.02637747, -0.9861292, 0.9162149, Inferred, -0.2282035, 0.2223477, 1.483839, Tracked, -0.3894266, -0.2681444, 1.035853, Tracked, -0.3806638, -0.1991529, 1.066113, Tracked, -0.01736793, -0.3646038, 1.332127, Tracked, 0.05705664, -0.2751758, 1.320857, Tracked,
Kinect 2: 8.5081071, -0.222499, -0.3406594, 1.415825, Tracked, -0.2305529, -0.01298795, 1.467658, Tracked, -0.2363065, 0.2981474, 1.502778, Tracked, -0.2479708, 0.4524943, 1.533569, Tracked, -0.4000426, 0.1627224, 1.423706, Tracked, -0.4883789, -0.05507321, 1.347786, Tracked, -0.4368725, -0.1921414, 1.189038, Tracked, -0.4250612, -0.2478273, 1.106098, Tracked, -0.04499038, 0.1825128, 1.53034, Tracked, 0.03281146, -0.05408416, 1.573472, Inferred, 0.03792486, -0.2255658, 1.433877, Inferred, 0.0004635596, -0.270326, 1.403912, Inferred, -0.299025, -0.3361689, 1.362184, Tracked, -0.3154715, -0.6287882, 1.310864, Tracked, -0.3489376, -1.05427, 1.284702, Inferred, -0.319514, -1.073017, 1.160254, Inferred, -0.1344436, -0.3271778, 1.395554, Tracked, -0.09791476, -0.5979571, 1.241755, Tracked, -0.04995094, -0.9951702, 1.065923, Inferred, -0.01902365, -0.9840119, 0.9366423, Inferred, -0.2352152, 0.2224937, 1.496475, Tracked, -0.4049543, -0.3019658, 1.053436, Tracked, -0.4762792, -0.3050827, 1.112167, Tracked, -0.02377559, -0.3512766, 1.348689, Tracked, 0.05415498, -0.2572656, 1.386286, Tracked,
Kinect 2: 8.5441613, -0.2241163, -0.3407353, 1.430562, Tracked, -0.2348824, -0.0134348, 1.484191, Tracked, -0.2433267, 0.2974921, 1.521042, Tracked, -0.2554511, 0.4523473, 1.54967, Tracked, -0.407748, 0.1625071, 1.441332, Tracked, -0.4873564, -0.05470298, 1.360641, Tracked, -0.4511044, -0.2084738, 1.214354, Tracked, -0.4416695, -0.2675991, 1.134219, Tracked, -0.05125041, 0.1837093, 1.54847, Tracked, 0.02772994, -0.04894886, 1.599198, Inferred, 0.03276275, -0.2220695, 1.440408, Inferred, -0.00365797, -0.2601929, 1.414704, Inferred, -0.3003956, -0.3367279, 1.376982, Tracked, -0.3155316, -0.6303906, 1.321749, Tracked, -0.3466425, -1.052054, 1.290161, Inferred, -0.3167034, -1.070299, 1.163196, Inferred, -0.1362794, -0.327029, 1.410044, Tracked, -0.09583521, -0.6054266, 1.259678, Tracked, -0.04444921, -0.9966624, 1.095423, Inferred, -0.01261478, -0.9865719, 0.9640378, Inferred, -0.2415824, 0.2218609, 1.514315, Tracked, -0.4297247, -0.3192017, 1.089599, Tracked, -0.5048094, -0.31422, 1.147778, Tracked, -0.01694608, -0.3435022, 1.359858, Tracked, 0.003827357, -0.2672801, 1.344545, Tracked,
Kinect 2: 8.5752933, -0.2250945, -0.3419387, 1.446354, Tracked, -0.2375354, -0.01455419, 1.499449, Tracked, -0.2472749, 0.2966514, 1.535711, Tracked, -0.2596115, 0.4497082, 1.564653, Tracked, -0.4116742, 0.1611708, 1.453952, Tracked, -0.4908228, -0.05653856, 1.374832, Tracked, -0.4610993, -0.220948, 1.239868, Tracked, -0.4577566, -0.2878202, 1.164966, Tracked, -0.05719936, 0.1841971, 1.566976, Tracked, 0.02420833, -0.05009805, 1.611366, Inferred, 0.02678743, -0.2083197, 1.465972, Inferred, -0.004573254, -0.245147, 1.440092, Inferred, -0.3010433, -0.3384382, 1.391202, Tracked, -0.3173783, -0.6299353, 1.335463, Tracked, -0.3503719, -1.051992, 1.302979, Inferred, -0.3188039, -1.07101, 1.17477, Inferred, -0.1376819, -0.3278376, 1.427482, Tracked, -0.09396723, -0.611998, 1.276983, Tracked, -0.04001805, -0.9969465, 1.117962, Inferred, -0.006035294, -0.9875957, 0.9853977, Inferred, -0.245245, 0.2209271, 1.529138, Tracked, -0.4457573, -0.3422613, 1.120612, Tracked, -0.5195377, -0.308235, 1.183333, Tracked, 0.001382291, -0.320994, 1.380672, Tracked, 0.04868246, -0.2357614, 1.383333, Tracked,
Kinect 2: 8.6092018, -0.2254957, -0.3438137, 1.459962, Tracked, -0.239373, -0.01706636, 1.513578, Tracked, -0.2504811, 0.2936861, 1.550452, Tracked, -0.2619954, 0.4467056, 1.579158, Tracked, -0.4135514, 0.1582799, 1.467438, Tracked, -0.494474, -0.06451715, 1.390908, Tracked, -0.4714089, -0.2361406, 1.264652, Tracked, -0.4720306, -0.3100603, 1.197468, Tracked, -0.05942642, 0.1818891, 1.586133, Tracked, 0.02224736, -0.05006714, 1.622756, Inferred, 0.02674675, -0.2054984, 1.4742, Inferred, -0.006254174, -0.2435613, 1.457331, Inferred, -0.3011638, -0.3406024, 1.404442, Tracked, -0.318436, -0.6310444, 1.345427, Tracked, -0.3526068, -1.051177, 1.30825, Inferred, -0.3196451, -1.06963, 1.179234, Inferred, -0.1384328, -0.3295177, 1.441348, Tracked, -0.09152867, -0.6182781, 1.293538, Tracked, -0.03489388, -0.998697, 1.142069, Inferred, 0.0009860098, -0.9901102, 1.009207, Inferred, -0.2481188, 0.2180489, 1.543725, Tracked, -0.4669273, -0.3659874, 1.157765, Tracked, -0.5239197, -0.3392194, 1.202636, Tracked, 0.001386141, -0.3030382, 1.383962, Tracked, 0.02126808, -0.2624918, 1.3828, Tracked,
Kinect 2: 8.6420624, -0.2249477, -0.3448521, 1.472087, Tracked, -0.2399442, -0.01953269, 1.526374, Tracked, -0.252151, 0.2899294, 1.564069, Tracked, -0.2629412, 0.4436696, 1.593274, Tracked, -0.4156641, 0.1547753, 1.482267, Tracked, -0.4994076, -0.07501904, 1.401707, Tracked, -0.478949, -0.2529135, 1.284379, Tracked, -0.4785961, -0.3260643, 1.229283, Tracked, -0.06018341, 0.1785389, 1.601297, Tracked, 0.02598902, -0.04147993, 1.652486, Inferred, 0.02293243, -0.203912, 1.480397, Inferred, -0.007362387, -0.2430492, 1.47185, Inferred, -0.3005601, -0.3417116, 1.416563, Tracked, -0.3208179, -0.6313688, 1.355397, Tracked, -0.3590396, -1.049933, 1.315163, Inferred, -0.3265872, -1.068191, 1.185091, Inferred, -0.1380502, -0.3305994, 1.453459, Tracked, -0.08772187, -0.6248312, 1.311455, Tracked, -0.02811932, -1.002792, 1.17088, Inferred, 0.008391529, -0.9954735, 1.037492, Inferred, -0.2495178, 0.2145922, 1.557132, Tracked, -0.4825775, -0.3906198, 1.194319, Tracked, -0.5014259, -0.3183134, 1.195519, Tracked, 0.001353956, -0.2922548, 1.351715, Tracked, -0.01933926, -0.3096349, 1.458525, Tracked,
Kinect 2: 8.6769334, -0.2218419, -0.3483006, 1.485652, Tracked, -0.2386456, -0.02365359, 1.541019, Tracked, -0.2526495, 0.2853647, 1.5799, Tracked, -0.2621852, 0.4391434, 1.608359, Tracked, -0.4149689, 0.1507728, 1.497958, Tracked, -0.5031287, -0.08426276, 1.420654, Tracked, -0.4875124, -0.2754207, 1.307572, Tracked, -0.4914224, -0.3505282, 1.260445, Tracked, -0.05933838, 0.1736947, 1.619454, Tracked, 0.02491268, -0.04438767, 1.654044, Inferred, 0.01026094, -0.2277306, 1.484068, Inferred, -0.002237959, -0.2228552, 1.489132, Inferred, -0.2975667, -0.341815, 1.431653, Tracked, -0.323077, -0.6339463, 1.364665, Tracked, -0.3675887, -1.048051, 1.316806, Inferred, -0.335218, -1.065207, 1.185235, Inferred, -0.1349274, -0.3375162, 1.466225, Tracked, -0.0822252, -0.6292184, 1.33596, Tracked, -0.01775293, -1.015297, 1.207136, Inferred, 0.02027182, -1.009802, 1.073473, Inferred, -0.2495692, 0.2101061, 1.572665, Tracked, -0.4870912, -0.4141032, 1.230016, Tracked, -0.5353045, -0.3423489, 1.232625, Tracked, 0.00222036, -0.2643965, 1.4486, Tracked, -0.03042368, -0.2678288, 1.488211, Tracked,
Kinect 2: 8.7076795, -0.2200316, -0.3511921, 1.4987, Tracked, -0.2366422, -0.0274713, 1.554979, Tracked, -0.2504146, 0.2808812, 1.594644, Tracked, -0.2602856, 0.4350664, 1.622129, Tracked, -0.4140236, 0.1479748, 1.513413, Tracked, -0.5034827, -0.09223191, 1.437516, Tracked, -0.4963031, -0.2910776, 1.331073, Tracked, -0.506178, -0.3672644, 1.293966, Tracked, -0.05705718, 0.1702652, 1.63267, Tracked, 0.02487572, -0.04770758, 1.660583, Inferred, 0.008249832, -0.2110423, 1.506123, Inferred, -0.009432879, -0.2279316, 1.502654, Inferred, -0.2961108, -0.3433712, 1.444767, Tracked, -0.3250591, -0.6369574, 1.37151, Tracked, -0.3734103, -1.046907, 1.315491, Inferred, -0.3420982, -1.062352, 1.182476, Inferred, -0.1330602, -0.3416314, 1.478577, Tracked, -0.07922832, -0.6355103, 1.356716, Tracked, -0.01342001, -1.023415, 1.23932, Inferred, 0.02462693, -1.019748, 1.105244, Inferred, -0.247395, 0.2057554, 1.587232, Tracked, -0.5106717, -0.4400375, 1.273664, Tracked, -0.5470324, -0.364239, 1.268688, Tracked, -0.0361795, -0.3052309, 1.46158, Tracked, -0.02409007, -0.2738107, 1.521667, Tracked,
Kinect 2: 8.7434131, -0.215294, -0.3542891, 1.512119, Tracked, -0.2325363, -0.0314303, 1.569584, Tracked, -0.2469815, 0.2762544, 1.610551, Tracked, -0.2558062, 0.4303533, 1.636494, Tracked, -0.4111697, 0.1437399, 1.529557, Tracked, -0.5042135, -0.09758798, 1.461567, Tracked, -0.5104592, -0.3024434, 1.355642, Tracked, -0.5181575, -0.3782099, 1.325122, Tracked, -0.05263947, 0.1654929, 1.648961, Tracked, 0.02623318, -0.05147891, 1.672911, Inferred, 0.007264112, -0.205947, 1.516309, Inferred, -0.01318079, -0.2353106, 1.516744, Inferred, -0.291646, -0.3453639, 1.457871, Tracked, -0.3245001, -0.6430396, 1.378557, Tracked, -0.3763624, -1.046735, 1.315664, Inferred, -0.3456226, -1.060701, 1.181504, Inferred, -0.1283969, -0.3458798, 1.492254, Tracked, -0.07164825, -0.6504905, 1.385109, Tracked, -0.004855472, -1.035354, 1.290805, Inferred, 0.03420143, -1.035276, 1.157009, Inferred, -0.2437882, 0.2012678, 1.60281, Tracked, -0.5243025, -0.4499325, 1.306958, Tracked, -0.5575788, -0.3744794, 1.286, Tracked, -0.03530976, -0.3071796, 1.478944, Tracked, -0.04210649, -0.2380518, 1.523526, Tracked,
