Time,SpineBaseX,SpineBaseY,SpineBaseZ,SpineBaseTracked,SpineMidX,SpineMidY,SpineMidZ,SpineMidTracked,NeckX,NeckY,NeckZ,NeckTracked,HeadX,HeadY,HeadZ,HeadTracked,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderLeftTracked,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowLeftTracked,WristLeftX,WristLeftY,WristLeftZ,WristLeftTracked,HandLeftX,HandLeftY,HandLeftZ,HandLeftTracked,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ShoulderRightTracked,ElbowRightX,ElbowRightY,ElbowRightZ,ElbowRightTracked,WristRightX,WristRightY,WristRightZ,WristRightTracked,HandRightX,HandRightY,HandRightZ,HandRightTracked,HipLeftX,HipLeftY,HipLeftZ,HipLeftTracked,KneeLeftX,KneeLeftY,KneeLeftZ,KneeLeftTracked,AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleLeftTracked,FootLeftX,FootLeftY,FootLeftZ,FootLeftTracked,HipRightX,HipRightY,HipRightZ,HipRightTracked,KneeRightX,KneeRightY,KneeRightZ,KneeRightTracked,AnkleRightX,AnkleRightY,AnkleRightZ,AnkleRightTracked,FootRightX,FootRightY,FootRightZ,FootRightTracked,SpineShoulderX,SpineShoulderY,SpineShoulderZ,SpineShoulderTracked,HandTipLeftX,HandTipLeftY,HandTipLeftZ,HandTipLeftTracked,ThumbLeftX,ThumbLeftY,ThumbLeftZ,ThumbLeftTracked,HandTipRightX,HandTipRightY,HandTipRightZ,HandTipRightTracked,ThumbRightX,ThumbRightY,ThumbRightZ,ThumbRightTrackedKinect 2: 2.0540015, -0.1566553, -0.3703552, 1.476606, Tracked, -0.1557562, -0.0423377, 1.552687, Tracked, -0.1535229, 0.2694588, 1.611166, Tracked, -0.1116773, 0.4167359, 1.630134, Tracked, -0.320422, 0.1618575, 1.543092, Tracked, -0.4446765, -0.04635696, 1.50144, Tracked, -0.4159835, -0.2347052, 1.361762, Tracked, -0.3941187, -0.2807278, 1.325508, Tracked, 0.04094291, 0.1262749, 1.643028, Tracked, 0.09480833, -0.09037103, 1.626929, Tracked, 0.0800953, -0.2397482, 1.489684, Tracked, 0.05304301, -0.2600344, 1.466081, Tracked, -0.2364805, -0.3529077, 1.415224, Tracked, -0.2727701, -0.6254246, 1.319611, Tracked, -0.3295867, -1.007676, 1.233535, Inferred, -0.3061413, -1.006902, 1.123063, Inferred, -0.06890845, -0.3687776, 1.462147, Tracked, -0.0322135, -0.657086, 1.38286, Tracked, 0.01231487, -1.032504, 1.323532, Inferred, 0.04045206, -1.031759, 1.215386, Inferred, -0.1542885, 0.1935362, 1.599152, Tracked, -0.3625478, -0.3234975, 1.29359, Tracked, -0.3584518, -0.2529334, 1.323755, Tracked, 0.0402387, -0.3086451, 1.435549, Tracked, 0.02984974, -0.2468402, 1.425771, Tracked,
Kinect 2: 2.0859164, -0.1536656, -0.3769538, 1.487917, Tracked, -0.1514036, -0.04905843, 1.565294, Tracked, -0.147764, 0.2627999, 1.625201, Tracked, -0.109332, 0.4123854, 1.637913, Tracked, -0.3177198, 0.1559165, 1.562454, Tracked, -0.4394171, -0.05324581, 1.524957, Tracked, -0.4130549, -0.2390236, 1.377535, Tracked, -0.3829152, -0.2962387, 1.361622, Tracked, 0.04523458, 0.1237057, 1.649258, Tracked, 0.1027134, -0.09347928, 1.634904, Tracked, 0.07916469, -0.2473809, 1.504273, Tracked, 0.03081853, -0.304911, 1.453931, Tracked, -0.2338873, -0.3602418, 1.428416, Tracked, -0.2767251, -0.6566393, 1.316103, Tracked, -0.3476151, -1.104711, 1.199084, Inferred, -0.323228, -1.097872, 1.072005, Inferred, -0.06578217, -0.3745122, 1.471733, Tracked, -0.0277745, -0.6791934, 1.41861, Tracked, 0.02586482, -1.14016, 1.391032, Inferred, 0.057372, -1.145857, 1.268632, Inferred, -0.1488808, 0.1868371, 1.612826, Tracked, -0.3586007, -0.3461443, 1.329975, Tracked, -0.3404838, -0.287937, 1.410083, Tracked, 0.008461026, -0.3666381, 1.393004, Tracked, -0.01090321, -0.2542873, 1.419214, Tracked,
Kinect 2: 2.1198051, -0.1457571, -0.3836948, 1.513808, Tracked, -0.1399399, -0.06004908, 1.59035, Tracked, -0.1326856, 0.2477833, 1.649957, Tracked, -0.102615, 0.401261, 1.659558, Tracked, -0.3072682, 0.1444266, 1.594748, Tracked, -0.4269767, -0.07499591, 1.568915, Tracked, -0.392138, -0.2724353, 1.410604, Tracked, -0.3794615, -0.3062708, 1.385181, Tracked, 0.05841674, 0.1151021, 1.665048, Tracked, 0.1205382, -0.100741, 1.652096, Tracked, 0.09611298, -0.258747, 1.525301, Tracked, 0.05497432, -0.2922042, 1.497765, Tracked, -0.2263635, -0.3676386, 1.459501, Tracked, -0.2696997, -0.6397554, 1.333339, Tracked, -0.3435956, -1.067838, 1.190435, Inferred, -0.3240981, -1.062194, 1.056578, Inferred, -0.05810868, -0.3806065, 1.492972, Tracked, -0.02965123, -0.6872333, 1.460773, Tracked, 0.007200433, -1.115532, 1.463343, Inferred, 0.03546389, -1.138215, 1.338899, Inferred, -0.134707, 0.1727972, 1.637638, Tracked, -0.3630922, -0.3496787, 1.352134, Tracked, -0.3369457, -0.3329916, 1.416892, Tracked, 0.03513756, -0.354357, 1.445859, Tracked, 0.02027486, -0.2782983, 1.447311, Tracked,
Kinect 2: 2.1525326, -0.1372521, -0.3920769, 1.543659, Tracked, -0.1287732, -0.06915204, 1.614089, Tracked, -0.1198665, 0.2389385, 1.668183, Tracked, -0.09287732, 0.3929311, 1.679746, Tracked, -0.2981168, 0.132847, 1.620125, Tracked, -0.4133216, -0.08484483, 1.593754, Tracked, -0.3900204, -0.2718726, 1.423612, Tracked, -0.3798316, -0.308697, 1.405155, Tracked, 0.07285534, 0.1078795, 1.680659, Tracked, 0.1398547, -0.1106596, 1.665896, Tracked, 0.09976178, -0.2643619, 1.536672, Tracked, 0.06672374, -0.28471, 1.530808, Tracked, -0.2189095, -0.3769946, 1.490898, Tracked, -0.2613703, -0.6400245, 1.354532, Tracked, -0.3337569, -1.055885, 1.194996, Inferred, -0.3168296, -1.048066, 1.058498, Inferred, -0.04910802, -0.387987, 1.520938, Tracked, -0.02925481, -0.6973879, 1.49009, Tracked, -0.004798357, -1.111782, 1.493745, Inferred, 0.01871126, -1.136924, 1.366657, Inferred, -0.1222062, 0.1638002, 1.65719, Tracked, -0.3689775, -0.3531843, 1.375983, Tracked, -0.333862, -0.3198154, 1.430862, Tracked, 0.03993633, -0.3324785, 1.475104, Tracked, 0.02449548, -0.2279369, 1.513091, Tracked,
Kinect 2: 2.1870333, -0.1289502, -0.3972859, 1.571631, Tracked, -0.1171339, -0.07647233, 1.638652, Tracked, -0.1050175, 0.2301456, 1.68919, Tracked, -0.0805558, 0.3853268, 1.700648, Tracked, -0.2850304, 0.1241551, 1.646974, Tracked, -0.3923186, -0.09973671, 1.635852, Tracked, -0.383399, -0.2667663, 1.476024, Tracked, -0.3785172, -0.3097417, 1.432074, Tracked, 0.08493053, 0.1011843, 1.693688, Tracked, 0.1569475, -0.1174878, 1.68186, Tracked, 0.11128, -0.2742139, 1.557575, Tracked, 0.08325677, -0.2867111, 1.559843, Tracked, -0.2109703, -0.382582, 1.523377, Tracked, -0.2529876, -0.6440668, 1.375805, Tracked, -0.3223298, -1.046557, 1.202955, Inferred, -0.3086481, -1.036748, 1.06448, Inferred, -0.04088764, -0.3930052, 1.545157, Tracked, -0.02757892, -0.706147, 1.521783, Tracked, -0.01196633, -1.110269, 1.534346, Inferred, 0.006565059, -1.139836, 1.406492, Inferred, -0.1081364, 0.1553071, 1.679106, Tracked, -0.3713307, -0.3525679, 1.393365, Tracked, -0.3357348, -0.3627756, 1.446312, Tracked, 0.05161772, -0.3349667, 1.502203, Tracked, 0.04783665, -0.2560004, 1.569655, Tracked,
Kinect 2: 2.2191457, -0.119416, -0.4030627, 1.603483, Tracked, -0.1054665, -0.08403645, 1.664809, Tracked, -0.09155113, 0.2215159, 1.710126, Tracked, -0.06947678, 0.3775769, 1.717104, Tracked, -0.2739955, 0.1172007, 1.674767, Tracked, -0.3793758, -0.1071336, 1.665563, Tracked, -0.371747, -0.2722568, 1.50324, Tracked, -0.3693924, -0.3123878, 1.461988, Tracked, 0.09652075, 0.09372742, 1.707884, Tracked, 0.1754377, -0.1237066, 1.700423, Tracked, 0.1204613, -0.2808684, 1.579953, Tracked, 0.08675148, -0.3106604, 1.567748, Tracked, -0.2023577, -0.3879131, 1.556009, Tracked, -0.2440222, -0.6488159, 1.39995, Tracked, -0.3108912, -1.041571, 1.217853, Inferred, -0.3005244, -1.030976, 1.078045, Inferred, -0.0310333, -0.3993178, 1.575841, Tracked, -0.0237302, -0.7173433, 1.556376, Tracked, -0.01566501, -1.112991, 1.572778, Inferred, -0.002320186, -1.14487, 1.443936, Inferred, -0.09507487, 0.1468701, 1.70132, Tracked, -0.3660556, -0.3563004, 1.418027, Tracked, -0.3236691, -0.352409, 1.494353, Tracked, 0.0658972, -0.3752104, 1.534342, Tracked, 0.05231158, -0.3032399, 1.5228, Tracked,
Kinect 2: 2.2524385, -0.1112885, -0.4041343, 1.628342, Tracked, -0.09567694, -0.08735178, 1.685788, Tracked, -0.08026292, 0.2165061, 1.7272, Tracked, -0.05754685, 0.371692, 1.734799, Tracked, -0.2643726, 0.1125635, 1.698574, Tracked, -0.3630313, -0.1108562, 1.705383, Tracked, -0.3578495, -0.2720154, 1.549263, Tracked, -0.3609889, -0.3134784, 1.494578, Tracked, 0.1085962, 0.08756604, 1.722203, Tracked, 0.1890701, -0.1278416, 1.711349, Tracked, 0.1220071, -0.2829908, 1.5944, Tracked, 0.09740437, -0.3074134, 1.590391, Inferred, -0.1946412, -0.3888932, 1.58085, Tracked, -0.2381883, -0.6534961, 1.417796, Tracked, -0.3046426, -1.035488, 1.232404, Inferred, -0.2968038, -1.02469, 1.091835, Inferred, -0.02284371, -0.4008238, 1.601207, Tracked, -0.01826862, -0.7218338, 1.57567, Tracked, -0.0133756, -1.113655, 1.584033, Inferred, -0.003495026, -1.143445, 1.453052, Inferred, -0.08413729, 0.1422245, 1.719371, Tracked, -0.3661872, -0.3542356, 1.446063, Tracked, -0.3191701, -0.3657335, 1.509333, Tracked, 0.08012185, -0.344251, 1.564758, Tracked, 0.06864282, -0.2872081, 1.6124, Tracked,
Kinect 2: 2.2849454, -0.1071149, -0.4049392, 1.654099, Tracked, -0.08861375, -0.09022481, 1.70988, Tracked, -0.07033101, 0.2118258, 1.749467, Tracked, -0.0450165, 0.3669372, 1.75467, Tracked, -0.2551205, 0.1108856, 1.725195, Tracked, -0.3565158, -0.1142625, 1.73255, Tracked, -0.351549, -0.2854275, 1.556418, Tracked, -0.3528124, -0.318276, 1.526046, Tracked, 0.1195863, 0.08101943, 1.740009, Tracked, 0.2004119, -0.1316209, 1.724322, Tracked, 0.127356, -0.2886725, 1.614028, Tracked, 0.1085968, -0.3087703, 1.61368, Inferred, -0.1903845, -0.3888369, 1.609007, Tracked, -0.2306483, -0.6572831, 1.445238, Tracked, -0.290974, -1.036396, 1.262369, Inferred, -0.2849536, -1.026257, 1.121201, Inferred, -0.01904565, -0.4027097, 1.624768, Tracked, -0.01330988, -0.7260153, 1.593823, Tracked, -0.02094018, -1.109633, 1.643428, Inferred, -0.01574593, -1.154282, 1.519928, Inferred, -0.07490603, 0.1379564, 1.742129, Tracked, -0.3608994, -0.3593707, 1.482352, Tracked, -0.3097361, -0.3586304, 1.566177, Tracked, 0.08795252, -0.3534525, 1.592769, Tracked, 0.08499538, -0.2823701, 1.604715, Tracked,
Kinect 2: 2.3200249, -0.104872, -0.4065217, 1.672393, Tracked, -0.08389558, -0.09221523, 1.727426, Tracked, -0.0631616, 0.2095699, 1.766332, Tracked, -0.03572571, 0.3642387, 1.770731, Tracked, -0.2474203, 0.1105732, 1.744753, Tracked, -0.3483779, -0.1162073, 1.76442, Tracked, -0.3409497, -0.2986431, 1.579741, Tracked, -0.3373412, -0.3349977, 1.561269, Tracked, 0.1249601, 0.07861677, 1.752371, Tracked, 0.2083346, -0.1297178, 1.73491, Tracked, 0.1195599, -0.3233693, 1.639396, Tracked, 0.06281357, -0.3757763, 1.601136, Tracked, -0.1883319, -0.3900208, 1.627105, Tracked, -0.2282383, -0.660254, 1.459576, Tracked, -0.2868899, -1.035062, 1.274423, Inferred, -0.2825237, -1.024684, 1.132628, Inferred, -0.01677934, -0.4049228, 1.643345, Tracked, -0.01190474, -0.728367, 1.601299, Tracked, -0.02217659, -1.113868, 1.640197, Inferred, -0.01942953, -1.154724, 1.513556, Inferred, -0.06834178, 0.1357456, 1.759163, Tracked, -0.3218985, -0.3880557, 1.517763, Tracked, -0.2984218, -0.373135, 1.590948, Tracked, 0.0369992, -0.4385525, 1.564995, Tracked, 0.02437113, -0.3241415, 1.574, Tracked,
Kinect 2: 2.3520131, -0.1034669, -0.4098965, 1.688835, Tracked, -0.08045525, -0.09488612, 1.746451, Tracked, -0.05750004, 0.207854, 1.788019, Tracked, -0.02536926, 0.3622173, 1.792293, Tracked, -0.241997, 0.1112118, 1.772615, Tracked, -0.3449432, -0.1131496, 1.787627, Tracked, -0.3312105, -0.3112488, 1.606314, Tracked, -0.3239063, -0.3488127, 1.593016, Tracked, 0.1314816, 0.07565532, 1.772434, Tracked, 0.212132, -0.1281213, 1.748539, Tracked, 0.1194849, -0.3236486, 1.645543, Tracked, 0.06001636, -0.3819118, 1.616306, Tracked, -0.187035, -0.3914416, 1.645828, Tracked, -0.2251343, -0.663987, 1.476545, Tracked, -0.2804673, -1.03663, 1.29136, Inferred, -0.2777569, -1.025777, 1.148927, Inferred, -0.0153648, -0.4101943, 1.658018, Tracked, -0.01098429, -0.7319015, 1.609246, Tracked, -0.02280539, -1.120919, 1.635137, Inferred, -0.02226065, -1.15765, 1.505565, Inferred, -0.0632427, 0.1337576, 1.780186, Tracked, -0.3102976, -0.3996711, 1.526642, Tracked, -0.2979738, -0.3919287, 1.599389, Tracked, 0.02810036, -0.4407255, 1.573649, Tracked, 0.03060084, -0.319005, 1.591667, Tracked,
Kinect 2: 2.3860223, -0.1016007, -0.4125299, 1.705736, Tracked, -0.07717443, -0.09701189, 1.76614, Tracked, -0.05290985, 0.2063667, 1.810414, Tracked, -0.01956475, 0.3584743, 1.809892, Tracked, -0.2415812, 0.111185, 1.773528, Tracked, -0.3413919, -0.1142435, 1.813695, Tracked, -0.3209333, -0.3138694, 1.640543, Tracked, -0.3140716, -0.3480013, 1.625544, Tracked, 0.1332789, 0.07501217, 1.779467, Tracked, 0.2161646, -0.1259504, 1.76327, Tracked, 0.1205745, -0.3189511, 1.660313, Tracked, 0.05996369, -0.3757434, 1.631063, Tracked, -0.1852479, -0.3941614, 1.664767, Tracked, -0.224584, -0.6674857, 1.487059, Tracked, -0.2800961, -1.032329, 1.294762, Inferred, -0.2756877, -1.020048, 1.151626, Inferred, -0.01358108, -0.4128555, 1.672652, Tracked, -0.01086242, -0.7326125, 1.61716, Tracked, -0.01943297, -1.124896, 1.634435, Inferred, -0.01628117, -1.159157, 1.503064, Inferred, -0.05896188, 0.1320914, 1.801914, Tracked, -0.3138915, -0.3921498, 1.569273, Tracked, -0.26641, -0.3494174, 1.609967, Tracked, 0.02861114, -0.4370172, 1.589345, Tracked, 0.02530149, -0.3199749, 1.609077, Tracked,
Kinect 2: 2.419842, -0.1009508, -0.4127744, 1.722657, Tracked, -0.07546183, -0.09806513, 1.783306, Tracked, -0.05032152, 0.2045483, 1.827759, Tracked, -0.01378157, 0.3555327, 1.829568, Tracked, -0.2336268, 0.1093238, 1.823699, Tracked, -0.3401099, -0.1154657, 1.831045, Tracked, -0.3189523, -0.3181141, 1.656549, Tracked, -0.3131277, -0.3539896, 1.64724, Tracked, 0.1402826, 0.06912716, 1.809224, Tracked, 0.2154348, -0.1287596, 1.778549, Tracked, 0.1371597, -0.295218, 1.691239, Tracked, 0.08990416, -0.3237714, 1.673467, Tracked, -0.1846593, -0.394257, 1.681636, Tracked, -0.2257374, -0.6738317, 1.503236, Tracked, -0.2571882, -1.061216, 1.387026, Inferred, -0.2570463, -1.061199, 1.245329, Inferred, -0.01292308, -0.413485, 1.689548, Tracked, -0.01117341, -0.732416, 1.624204, Tracked, -0.01083686, -1.124097, 1.641244, Inferred, -0.01157801, -1.158347, 1.509937, Inferred, -0.05657447, 0.1304513, 1.819219, Tracked, -0.3105111, -0.4013393, 1.587596, Tracked, -0.3041977, -0.4067864, 1.630882, Tracked, 0.05837909, -0.3966776, 1.628108, Tracked, 0.05204712, -0.2820968, 1.6732, Tracked,
