Time,SpineBaseX,SpineBaseY,SpineBaseZ,SpineBaseTracked,SpineMidX,SpineMidY,SpineMidZ,SpineMidTracked,NeckX,NeckY,NeckZ,NeckTracked,HeadX,HeadY,HeadZ,HeadTracked,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderLeftTracked,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowLeftTracked,WristLeftX,WristLeftY,WristLeftZ,WristLeftTracked,HandLeftX,HandLeftY,HandLeftZ,HandLeftTracked,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ShoulderRightTracked,ElbowRightX,ElbowRightY,ElbowRightZ,ElbowRightTracked,WristRightX,WristRightY,WristRightZ,WristRightTracked,HandRightX,HandRightY,HandRightZ,HandRightTracked,HipLeftX,HipLeftY,HipLeftZ,HipLeftTracked,KneeLeftX,KneeLeftY,KneeLeftZ,KneeLeftTracked,AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleLeftTracked,FootLeftX,FootLeftY,FootLeftZ,FootLeftTracked,HipRightX,HipRightY,HipRightZ,HipRightTracked,KneeRightX,KneeRightY,KneeRightZ,KneeRightTracked,AnkleRightX,AnkleRightY,AnkleRightZ,AnkleRightTracked,FootRightX,FootRightY,FootRightZ,FootRightTracked,SpineShoulderX,SpineShoulderY,SpineShoulderZ,SpineShoulderTracked,HandTipLeftX,HandTipLeftY,HandTipLeftZ,HandTipLeftTracked,ThumbLeftX,ThumbLeftY,ThumbLeftZ,ThumbLeftTracked,HandTipRightX,HandTipRightY,HandTipRightZ,HandTipRightTracked,ThumbRightX,ThumbRightY,ThumbRightZ,ThumbRightTrackedKinect 2: 1.722739, 0.01462443, -0.3009231, 1.216752, Tracked, 0.03481846, 0.02320126, 1.275406, Tracked, 0.05340054, 0.3274978, 1.316127, Tracked, 0.09323096, 0.4809088, 1.315779, Tracked, -0.1331038, 0.220099, 1.300215, Tracked, -0.222672, -0.01321056, 1.29308, Tracked, -0.2265122, -0.166114, 1.160426, Tracked, -0.1761359, -0.2116812, 1.14615, Tracked, 0.2432571, 0.1835254, 1.292956, Tracked, 0.318102, -0.02054043, 1.294502, Tracked, 0.257288, -0.1766298, 1.181359, Tracked, 0.1765713, -0.2323912, 1.141839, Tracked, -0.07357757, -0.2834758, 1.173281, Tracked, -0.1580577, -0.662785, 0.9429527, Inferred, -0.2379236, -1.020502, 0.7508207, Inferred, -0.2409147, -1.004776, 0.5817782, Inferred, 0.1018316, -0.3001485, 1.186579, Tracked, 0.1135505, -0.7266025, 1.116427, Inferred, 0.1268104, -1.130198, 1.078683, Inferred, 0.128171, -1.15489, 0.9139972, Inferred, 0.04896131, 0.2539028, 1.30837, Tracked, -0.1707981, -0.3003283, 1.090453, Tracked, -0.1278329, -0.2106498, 1.0927, Tracked, 0.1421532, -0.3256257, 1.088362, Tracked, 0.1245394, -0.1585651, 1.115952, Tracked,
Kinect 2: 1.7544703, 0.01667838, -0.3008342, 1.219483, Tracked, 0.0370162, 0.02261418, 1.279061, Tracked, 0.0557389, 0.3261707, 1.32097, Tracked, 0.095841, 0.47929, 1.322509, Tracked, -0.1317773, 0.2190804, 1.303736, Tracked, -0.2230351, -0.01179491, 1.295319, Tracked, -0.1923797, -0.2095742, 1.16624, Tracked, -0.1619929, -0.2657613, 1.128657, Tracked, 0.2437208, 0.1831219, 1.294268, Tracked, 0.3193345, -0.02198059, 1.299112, Tracked, 0.2581231, -0.1790105, 1.187671, Tracked, 0.1760615, -0.2382313, 1.148714, Tracked, -0.07149784, -0.2834805, 1.176254, Tracked, -0.1521118, -0.6664125, 0.9524189, Inferred, -0.2283661, -1.027579, 0.7665543, Inferred, -0.2319656, -1.012513, 0.6005329, Inferred, 0.1037415, -0.3000233, 1.189105, Tracked, 0.1140427, -0.7263003, 1.118355, Inferred, 0.1260198, -1.129735, 1.080001, Inferred, 0.1262508, -1.153177, 0.918159, Inferred, 0.05126692, 0.2527603, 1.312895, Tracked, -0.1503982, -0.3404029, 1.069156, Tracked, -0.1236661, -0.2291064, 1.09508, Tracked, 0.14854, -0.3211611, 1.099977, Tracked, 0.1338982, -0.1775352, 1.12316, Tracked,
Kinect 2: 1.7879618, 0.02139445, -0.3045204, 1.229397, Tracked, 0.04184479, 0.01923112, 1.291406, Tracked, 0.06059427, 0.323449, 1.335898, Tracked, 0.1015805, 0.4757286, 1.344061, Tracked, -0.1286528, 0.2162026, 1.31411, Tracked, -0.2211713, -0.01156783, 1.302976, Tracked, -0.1913121, -0.2113031, 1.170418, Tracked, -0.1605711, -0.2723369, 1.14321, Tracked, 0.2490021, 0.1773413, 1.315888, Tracked, 0.3213327, -0.02248865, 1.312476, Tracked, 0.2623989, -0.1775674, 1.199276, Tracked, 0.1957839, -0.2260152, 1.174282, Tracked, -0.06723368, -0.2866489, 1.184396, Tracked, -0.1353805, -0.6715646, 0.9878243, Inferred, -0.2000506, -1.035021, 0.8282496, Inferred, -0.1995422, -1.024042, 0.668918, Inferred, 0.1086101, -0.3041717, 1.200913, Tracked, 0.1169122, -0.7195829, 1.125445, Inferred, 0.1271003, -1.11305, 1.08244, Inferred, 0.1309822, -1.132336, 0.9270147, Inferred, 0.05612541, 0.2498284, 1.327175, Tracked, -0.1510823, -0.3452877, 1.08775, Tracked, -0.1256998, -0.2367883, 1.109714, Tracked, 0.1631371, -0.3031661, 1.121547, Tracked, 0.1517651, -0.1706635, 1.151143, Tracked,
Kinect 2: 1.8207388, 0.02588499, -0.3085347, 1.239739, Tracked, 0.04526737, 0.01585492, 1.30415, Tracked, 0.06285679, 0.3209142, 1.351207, Tracked, 0.1041058, 0.4729433, 1.360811, Tracked, -0.1250924, 0.2136831, 1.325797, Tracked, -0.2206094, -0.01189409, 1.311408, Tracked, -0.2007943, -0.1823786, 1.210402, Tracked, -0.1633277, -0.2279584, 1.184465, Tracked, 0.2517199, 0.1738963, 1.331095, Tracked, 0.3209965, -0.02563501, 1.323608, Tracked, 0.2656674, -0.1807184, 1.210208, Tracked, 0.2041305, -0.22227, 1.189145, Tracked, -0.06290359, -0.2902806, 1.193569, Tracked, -0.1264472, -0.6757091, 1.014135, Inferred, -0.1868009, -1.039967, 0.8710932, Inferred, -0.1852051, -1.031057, 0.718181, Inferred, 0.1129465, -0.3084265, 1.212231, Tracked, 0.1209431, -0.7177908, 1.135118, Inferred, 0.1309174, -1.105785, 1.090487, Inferred, 0.1356831, -1.122242, 0.9411675, Inferred, 0.05868685, 0.2470537, 1.34184, Tracked, -0.1514734, -0.2964287, 1.13042, Tracked, -0.1178774, -0.2126396, 1.137887, Tracked, 0.1700503, -0.2893535, 1.135704, Tracked, 0.1627554, -0.1790481, 1.169135, Tracked,
Kinect 2: 1.8549557, 0.02930934, -0.3133061, 1.249001, Tracked, 0.04717224, 0.0119146, 1.315592, Tracked, 0.06322423, 0.3179216, 1.364925, Tracked, 0.1043447, 0.4691723, 1.377335, Tracked, -0.1240669, 0.2112595, 1.337232, Tracked, -0.221088, -0.01368934, 1.319576, Tracked, -0.2009622, -0.1800135, 1.212628, Tracked, -0.1608367, -0.2293862, 1.194125, Tracked, 0.2520071, 0.1706739, 1.345618, Tracked, 0.322609, -0.02627289, 1.340172, Tracked, 0.2701733, -0.1812436, 1.226451, Tracked, 0.202745, -0.2209866, 1.197811, Tracked, -0.05938615, -0.2948743, 1.202623, Tracked, -0.1099453, -0.6939794, 1.052478, Inferred, -0.1582081, -1.071346, 0.937785, Inferred, -0.1553709, -1.069859, 0.7800624, Inferred, 0.1160911, -0.3131901, 1.221541, Tracked, 0.1247476, -0.7256141, 1.144627, Inferred, 0.1353959, -1.116603, 1.100249, Inferred, 0.1417533, -1.134738, 0.946121, Inferred, 0.05943974, 0.2438035, 1.354992, Tracked, -0.143173, -0.2978019, 1.137741, Tracked, -0.1166427, -0.2089892, 1.157667, Tracked, 0.1866718, -0.2883821, 1.145019, Tracked, 0.164829, -0.2044805, 1.163417, Tracked,
Kinect 2: 1.8869225, 0.03143318, -0.3204031, 1.259693, Tracked, 0.04740391, 0.006626321, 1.329361, Tracked, 0.06152938, 0.3146161, 1.382102, Tracked, 0.1012312, 0.4658757, 1.398766, Tracked, -0.1241559, 0.2095458, 1.344815, Tracked, -0.2217523, -0.01796491, 1.329741, Tracked, -0.2007405, -0.1823654, 1.219884, Tracked, -0.1590346, -0.2313351, 1.20639, Tracked, 0.2504774, 0.1690651, 1.362458, Tracked, 0.3200249, -0.03158258, 1.356645, Tracked, 0.2715075, -0.1838544, 1.23746, Tracked, 0.2030451, -0.2347329, 1.20575, Tracked, -0.05719629, -0.3018269, 1.212474, Tracked, -0.1030302, -0.7072036, 1.081622, Inferred, -0.1468894, -1.090784, 0.9856041, Inferred, -0.1410089, -1.094884, 0.8249747, Inferred, 0.1180405, -0.3201404, 1.23297, Tracked, 0.1277727, -0.7337366, 1.153069, Inferred, 0.1394442, -1.126, 1.105892, Inferred, 0.1494608, -1.144154, 0.9484579, Inferred, 0.05822839, 0.2399688, 1.371297, Tracked, -0.1412667, -0.3030059, 1.152418, Tracked, -0.1154199, -0.1982381, 1.186471, Tracked, 0.1830489, -0.3101542, 1.159902, Tracked, 0.1698371, -0.2103872, 1.17416, Tracked,
Kinect 2: 1.9208912, 0.03148153, -0.3279148, 1.272272, Tracked, 0.04486103, 0.001091046, 1.343076, Tracked, 0.05670349, 0.3110503, 1.396415, Tracked, 0.09596614, 0.4625723, 1.415094, Tracked, -0.126983, 0.203916, 1.362985, Tracked, -0.2219695, -0.02224941, 1.338898, Tracked, -0.2009996, -0.1856331, 1.227445, Tracked, -0.1605128, -0.2312191, 1.219123, Tracked, 0.2460548, 0.1665178, 1.379795, Tracked, 0.3154205, -0.03668546, 1.373682, Tracked, 0.2720926, -0.1860659, 1.248721, Tracked, 0.2040498, -0.2384313, 1.21745, Tracked, -0.05700389, -0.3099871, 1.225421, Tracked, -0.09457745, -0.7210553, 1.118895, Inferred, -0.1307883, -1.110404, 1.046351, Inferred, -0.1250633, -1.12038, 0.889532, Inferred, 0.117982, -0.3267495, 1.245016, Tracked, 0.1312698, -0.7409301, 1.161735, Inferred, 0.1462288, -1.13391, 1.111388, Inferred, 0.1558869, -1.149993, 0.9563919, Inferred, 0.05393586, 0.2359148, 1.38552, Tracked, -0.1405924, -0.3085354, 1.166915, Tracked, -0.1334836, -0.2318368, 1.15675, Tracked, 0.1841799, -0.3139202, 1.170757, Tracked, 0.1704151, -0.2094169, 1.190429, Tracked,
Kinect 2: 1.9538779, 0.03135037, -0.3344023, 1.284444, Tracked, 0.04211937, -0.004144117, 1.35674, Tracked, 0.05143363, 0.3071848, 1.411445, Tracked, 0.0870229, 0.4593459, 1.43376, Tracked, -0.1319281, 0.1990519, 1.375187, Tracked, -0.224306, -0.02620809, 1.347238, Tracked, -0.2021933, -0.1929005, 1.241524, Tracked, -0.1633445, -0.2365824, 1.232558, Tracked, 0.240767, 0.1640287, 1.395721, Tracked, 0.3108848, -0.04102051, 1.388256, Tracked, 0.2714579, -0.1899341, 1.261404, Tracked, 0.1982845, -0.2460486, 1.225948, Tracked, -0.05700874, -0.3167775, 1.236633, Tracked, -0.09163197, -0.7311061, 1.157074, Inferred, -0.1251381, -1.123939, 1.110498, Inferred, -0.1186697, -1.141339, 0.9575583, Inferred, 0.1177412, -0.3326778, 1.258044, Tracked, 0.133437, -0.746776, 1.169523, Inferred, 0.150605, -1.139819, 1.114206, Inferred, 0.1613202, -1.153519, 0.9609994, Inferred, 0.04928482, 0.2316944, 1.400228, Tracked, -0.1412745, -0.3122406, 1.1846, Tracked, -0.1243725, -0.2201335, 1.194174, Tracked, 0.1932501, -0.2945933, 1.199454, Tracked, 0.168623, -0.2036938, 1.208143, Tracked,
Kinect 2: 1.9879897, 0.03014141, -0.3409389, 1.298711, Tracked, 0.0370907, -0.009294238, 1.371278, Tracked, 0.04271288, 0.3034512, 1.426354, Tracked, 0.077793, 0.4555972, 1.448649, Tracked, -0.1397457, 0.1935726, 1.387997, Tracked, -0.2288734, -0.03282078, 1.357849, Tracked, -0.2026311, -0.1972658, 1.249033, Tracked, -0.1630895, -0.2429775, 1.243834, Tracked, 0.2332182, 0.161153, 1.412231, Tracked, 0.3042332, -0.04703481, 1.404868, Tracked, 0.2698827, -0.1979374, 1.278815, Tracked, 0.2064566, -0.2361333, 1.251805, Tracked, -0.05801074, -0.3237563, 1.249755, Tracked, -0.07709711, -0.7377471, 1.188559, Inferred, -0.09617843, -1.130645, 1.159618, Inferred, -0.08674198, -1.153569, 1.009393, Inferred, 0.1164045, -0.3385484, 1.27333, Tracked, 0.1341301, -0.7497501, 1.177394, Inferred, 0.153122, -1.140225, 1.114982, Inferred, 0.1647743, -1.151373, 0.9622882, Inferred, 0.04147689, 0.2275984, 1.41505, Tracked, -0.1412298, -0.3166355, 1.197965, Tracked, -0.1381898, -0.2306048, 1.1845, Tracked, 0.181173, -0.3035266, 1.197506, Tracked, 0.1681587, -0.2066068, 1.22217, Tracked,
Kinect 2: 2.0209539, 0.02614596, -0.343922, 1.318679, Tracked, 0.03037078, -0.01298353, 1.389321, Tracked, 0.03401619, 0.2995084, 1.44212, Tracked, 0.06638214, 0.4525753, 1.464291, Tracked, -0.144041, 0.1911336, 1.394675, Tracked, -0.2335937, -0.0393352, 1.367167, Tracked, -0.2047811, -0.2047749, 1.259898, Tracked, -0.1644993, -0.2484474, 1.25391, Tracked, 0.2235936, 0.1592843, 1.429581, Tracked, 0.2949093, -0.05238178, 1.42422, Tracked, 0.2664757, -0.1967701, 1.288239, Tracked, 0.2059202, -0.2377885, 1.270619, Tracked, -0.06099577, -0.3281628, 1.2688, Tracked, -0.09147947, -0.7266746, 1.228842, Inferred, -0.1222793, -1.118275, 1.220213, Inferred, -0.1117546, -1.148732, 1.073875, Inferred, 0.1116169, -0.3401766, 1.294105, Tracked, 0.1348662, -0.7351647, 1.187639, Inferred, 0.1596833, -1.123232, 1.112925, Inferred, 0.1751285, -1.130624, 0.9611619, Inferred, 0.03319032, 0.2236846, 1.431423, Tracked, -0.1439128, -0.3215877, 1.217573, Tracked, -0.1300544, -0.242677, 1.209509, Tracked, 0.181116, -0.3015427, 1.215658, Tracked, 0.1709981, -0.2131166, 1.239405, Tracked,
Kinect 2: 2.0541466, 0.02315191, -0.3457539, 1.331974, Tracked, 0.02377855, -0.01506174, 1.401708, Tracked, 0.02351286, 0.2972905, 1.454051, Tracked, 0.05771974, 0.4511901, 1.47335, Tracked, -0.1594299, 0.1847134, 1.413644, Tracked, -0.2436541, -0.04287418, 1.376309, Tracked, -0.2046509, -0.2086578, 1.272475, Tracked, -0.1627053, -0.2534564, 1.265419, Tracked, 0.2147995, 0.1589026, 1.444128, Tracked, 0.2859746, -0.0553915, 1.438584, Tracked, 0.2385255, -0.2081812, 1.309278, Tracked, 0.1894849, -0.2401907, 1.281834, Tracked, -0.06367864, -0.3311908, 1.281836, Tracked, -0.08753698, -0.732798, 1.24229, Inferred, -0.1119321, -1.126237, 1.23408, Inferred, -0.1025807, -1.155745, 1.089218, Inferred, 0.1085134, -0.3409052, 1.307511, Tracked, 0.1341117, -0.7370101, 1.191094, Inferred, 0.1610012, -1.124895, 1.106757, Inferred, 0.174021, -1.12939, 0.95596, Inferred, 0.02370222, 0.2214911, 1.443455, Tracked, -0.1381439, -0.3308092, 1.224924, Tracked, -0.1185346, -0.2393159, 1.226557, Tracked, 0.1843617, -0.2818321, 1.251661, Tracked, 0.1546756, -0.1894962, 1.274, Tracked,
Kinect 2: 2.0869091, 0.01930328, -0.348422, 1.34976, Tracked, 0.01600187, -0.01653462, 1.415901, Tracked, 0.01236835, 0.2971256, 1.465283, Tracked, 0.04821861, 0.4495675, 1.486375, Tracked, -0.1654284, 0.1815999, 1.420553, Tracked, -0.2507942, -0.04777617, 1.385242, Tracked, -0.2772717, -0.03015559, 1.348254, Tracked, -0.3039798, 0.002045435, 1.363496, Tracked, 0.2060837, 0.1586107, 1.461768, Tracked, 0.2760281, -0.05693253, 1.461888, Tracked, 0.2362311, -0.2072021, 1.320566, Tracked, 0.1864149, -0.2565016, 1.296555, Tracked, -0.06720196, -0.3350677, 1.298625, Tracked, -0.08798315, -0.7380805, 1.272088, Inferred, -0.1094538, -1.132079, 1.27668, Inferred, -0.09662257, -1.164907, 1.136748, Inferred, 0.1045761, -0.3424145, 1.326188, Tracked, 0.1293174, -0.7384293, 1.197685, Inferred, 0.1551849, -1.125221, 1.101593, Inferred, 0.1703752, -1.12655, 0.9537398, Inferred, 0.01335915, 0.2209863, 1.455391, Tracked, -0.3150988, -0.01784622, 1.273652, Tracked, -0.2881653, 0.06581613, 1.3482, Tracked, 0.1680788, -0.3179061, 1.245295, Tracked, 0.1486215, -0.2114183, 1.2729, Tracked,
