Time,SpineBaseX,SpineBaseY,SpineBaseZ,SpineBaseTracked,SpineMidX,SpineMidY,SpineMidZ,SpineMidTracked,NeckX,NeckY,NeckZ,NeckTracked,HeadX,HeadY,HeadZ,HeadTracked,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderLeftTracked,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowLeftTracked,WristLeftX,WristLeftY,WristLeftZ,WristLeftTracked,HandLeftX,HandLeftY,HandLeftZ,HandLeftTracked,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ShoulderRightTracked,ElbowRightX,ElbowRightY,ElbowRightZ,ElbowRightTracked,WristRightX,WristRightY,WristRightZ,WristRightTracked,HandRightX,HandRightY,HandRightZ,HandRightTracked,HipLeftX,HipLeftY,HipLeftZ,HipLeftTracked,KneeLeftX,KneeLeftY,KneeLeftZ,KneeLeftTracked,AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleLeftTracked,FootLeftX,FootLeftY,FootLeftZ,FootLeftTracked,HipRightX,HipRightY,HipRightZ,HipRightTracked,KneeRightX,KneeRightY,KneeRightZ,KneeRightTracked,AnkleRightX,AnkleRightY,AnkleRightZ,AnkleRightTracked,FootRightX,FootRightY,FootRightZ,FootRightTracked,SpineShoulderX,SpineShoulderY,SpineShoulderZ,SpineShoulderTracked,HandTipLeftX,HandTipLeftY,HandTipLeftZ,HandTipLeftTracked,ThumbLeftX,ThumbLeftY,ThumbLeftZ,ThumbLeftTracked,HandTipRightX,HandTipRightY,HandTipRightZ,HandTipRightTracked,ThumbRightX,ThumbRightY,ThumbRightZ,ThumbRightTrackedKinect 2: 0.0210027, 0.5405817, -0.7195603, 1.714746, Tracked, 0.5388405, -0.4686139, 1.726845, Tracked, 0.5339748, -0.221221, 1.727516, Tracked, 0.5738816, -0.07774635, 1.717746, Tracked, 0.3833997, -0.2885577, 1.691623, Tracked, 0.3070357, -0.5043906, 1.596277, Tracked, 0.4774841, -0.5653563, 1.525708, Tracked, 0.5357155, -0.599118, 1.534825, Tracked, 0.7393133, -0.3219935, 1.721463, Tracked, 0.8204806, -0.5198873, 1.73025, Tracked, 0.7161257, -0.5720276, 1.544987, Tracked, 0.6696484, -0.5996944, 1.529025, Tracked, 0.4483027, -0.7006993, 1.680887, Tracked, 0.4384533, -0.6739246, 1.329581, Tracked, 0.4330339, -0.648042, 0.8282497, Inferred, 0.4312669, -0.6195093, 0.6931204, Inferred, 0.6166858, -0.7164413, 1.696382, Tracked, 0.6630021, -0.7143979, 1.233597, Inferred, 0.70622, -0.7182527, 0.8626525, Inferred, 0.7031568, -0.6921079, 0.7298988, Inferred, 0.5357448, -0.2826284, 1.7293, Tracked, 0.6067618, -0.625808, 1.518444, Tracked, 0.4694426, -0.6482408, 1.497296, Tracked, 0.6424944, -0.6460392, 1.493127, Tracked, 0.6105626, -0.5408337, 1.536492, Tracked,
Kinect 2: 0.0557406, 0.5405716, -0.7195538, 1.714906, Tracked, 0.5389706, -0.468658, 1.726924, Tracked, 0.5343719, -0.221371, 1.727494, Tracked, 0.5739317, -0.07776672, 1.717699, Tracked, 0.383534, -0.2884999, 1.692296, Tracked, 0.3071494, -0.5044271, 1.597861, Tracked, 0.4769242, -0.5663373, 1.526365, Tracked, 0.5337829, -0.6000571, 1.537277, Tracked, 0.7394402, -0.3220452, 1.721287, Tracked, 0.8243159, -0.5204866, 1.726755, Tracked, 0.6684254, -0.565249, 1.515558, Tracked, 0.6216051, -0.6095916, 1.523507, Tracked, 0.4481304, -0.7005066, 1.681745, Tracked, 0.432579, -0.6743555, 1.330548, Tracked, 0.4184486, -0.6494496, 0.8294616, Inferred, 0.4163961, -0.6208991, 0.6941772, Inferred, 0.6167026, -0.7164811, 1.696351, Tracked, 0.6628804, -0.7142533, 1.233549, Inferred, 0.7059785, -0.717955, 0.8626325, Inferred, 0.7026918, -0.6918362, 0.7298505, Inferred, 0.5360634, -0.2827453, 1.729319, Tracked, 0.6038787, -0.6248289, 1.519822, Tracked, 0.4696365, -0.6485875, 1.500173, Tracked, 0.5702518, -0.6382219, 1.515745, Tracked, 0.5748564, -0.5485305, 1.531793, Tracked,
Kinect 2: 0.0889769, 0.5404272, -0.7195488, 1.71514, Tracked, 0.5390132, -0.4686881, 1.726965, Tracked, 0.5346784, -0.221505, 1.727397, Tracked, 0.5738463, -0.07789851, 1.717633, Tracked, 0.383927, -0.2883036, 1.693118, Tracked, 0.3068141, -0.504744, 1.600417, Tracked, 0.4758239, -0.5667936, 1.52695, Tracked, 0.5338069, -0.6005837, 1.537247, Tracked, 0.7395065, -0.3222899, 1.720661, Tracked, 0.8257563, -0.5199326, 1.723886, Tracked, 0.7198262, -0.5623686, 1.558989, Tracked, 0.6607534, -0.6015208, 1.525737, Tracked, 0.4476379, -0.7002952, 1.682777, Tracked, 0.4284307, -0.6742169, 1.331719, Tracked, 0.4087079, -0.6494363, 0.8309234, Inferred, 0.4062637, -0.6209099, 0.6955042, Inferred, 0.6166662, -0.7165371, 1.696305, Tracked, 0.6621696, -0.7138041, 1.233425, Inferred, 0.7047061, -0.717089, 0.862482, Inferred, 0.7010391, -0.6910052, 0.7296419, Inferred, 0.5362794, -0.2828436, 1.72928, Tracked, 0.6017885, -0.6297961, 1.518041, Tracked, 0.4689902, -0.6485217, 1.500278, Tracked, 0.625879, -0.6295441, 1.51005, Tracked, 0.6120225, -0.5357519, 1.539833, Tracked,
Kinect 2: 0.1214879, 0.5400378, -0.71952, 1.71539, Tracked, 0.5390019, -0.4687141, 1.726989, Tracked, 0.5348614, -0.2216465, 1.727321, Tracked, 0.573472, -0.07802255, 1.717393, Tracked, 0.383786, -0.2885669, 1.693823, Tracked, 0.304938, -0.5056716, 1.605592, Tracked, 0.4728561, -0.5673839, 1.528916, Tracked, 0.530297, -0.6014739, 1.539112, Tracked, 0.7396029, -0.322353, 1.719874, Tracked, 0.8261379, -0.5188777, 1.719681, Tracked, 0.6801978, -0.5508713, 1.536121, Tracked, 0.6508536, -0.5835268, 1.521333, Tracked, 0.4468294, -0.7001234, 1.683651, Tracked, 0.4213644, -0.6741695, 1.332927, Tracked, 0.3920698, -0.649608, 0.8327215, Inferred, 0.3891648, -0.6210719, 0.6971127, Inferred, 0.616469, -0.7165915, 1.696194, Tracked, 0.6594076, -0.7115341, 1.233028, Inferred, 0.6998246, -0.712903, 0.861877, Inferred, 0.6956649, -0.6867825, 0.7289303, Inferred, 0.5363861, -0.28294, 1.729249, Tracked, 0.5978044, -0.6306982, 1.517909, Tracked, 0.466168, -0.6510083, 1.503161, Tracked, 0.6315325, -0.6210388, 1.507376, Tracked, 0.6249903, -0.5442809, 1.522536, Tracked,
Kinect 2: 0.1557309, 0.5396722, -0.7196123, 1.715428, Tracked, 0.5388975, -0.4687712, 1.726985, Tracked, 0.5348451, -0.2216804, 1.72729, Tracked, 0.5717076, -0.07835882, 1.716239, Tracked, 0.3834082, -0.2890145, 1.694681, Tracked, 0.3029054, -0.5061753, 1.608674, Tracked, 0.4705144, -0.5676753, 1.530976, Tracked, 0.5300664, -0.6004888, 1.538553, Tracked, 0.7394747, -0.3225046, 1.718611, Tracked, 0.8277797, -0.5168733, 1.71466, Tracked, 0.7184743, -0.6390277, 1.545509, Tracked, 0.667504, -0.6199149, 1.515667, Tracked, 0.4462627, -0.7002706, 1.68421, Tracked, 0.4128055, -0.6745908, 1.334077, Tracked, 0.3712923, -0.6504891, 0.8348558, Inferred, 0.3677453, -0.6218749, 0.6990346, Inferred, 0.6159874, -0.7167578, 1.695555, Tracked, 0.6575103, -0.7116165, 1.232241, Inferred, 0.6967503, -0.7129219, 0.8610027, Inferred, 0.6919942, -0.6867741, 0.7279869, Inferred, 0.5363604, -0.2829762, 1.729224, Tracked, 0.5995496, -0.6352301, 1.515675, Tracked, 0.4600703, -0.6487442, 1.505278, Tracked, 0.6150069, -0.6493813, 1.490778, Tracked, 0.6215851, -0.5432425, 1.520724, Tracked,
Kinect 2: 0.1898078, 0.5371878, -0.7199765, 1.715147, Tracked, 0.538201, -0.4689597, 1.726849, Tracked, 0.5348137, -0.2217349, 1.727229, Tracked, 0.5696935, -0.07879163, 1.715737, Tracked, 0.3828899, -0.2896819, 1.695769, Tracked, 0.2994043, -0.5056512, 1.614651, Tracked, 0.4666044, -0.5673412, 1.536061, Tracked, 0.5279449, -0.6026412, 1.540355, Tracked, 0.7390242, -0.3223987, 1.716902, Tracked, 0.8278968, -0.5149584, 1.708739, Tracked, 0.7185462, -0.6392815, 1.54558, Tracked, 0.6654116, -0.6232563, 1.513611, Tracked, 0.4437862, -0.7006336, 1.685143, Tracked, 0.4056096, -0.6751562, 1.335446, Tracked, 0.3568345, -0.6513923, 0.8369669, Inferred, 0.3525516, -0.6227024, 0.7009963, Inferred, 0.613063, -0.7172484, 1.693393, Tracked, 0.6434351, -0.7153787, 1.229084, Inferred, 0.6734272, -0.719431, 0.857039, Inferred, 0.6677237, -0.6931477, 0.7238263, Inferred, 0.5362576, -0.2830525, 1.729149, Tracked, 0.5965477, -0.6391968, 1.517094, Tracked, 0.4557837, -0.6493598, 1.508743, Tracked, 0.6100131, -0.6515049, 1.490041, Tracked, 0.6166471, -0.5436355, 1.51544, Tracked,
Kinect 2: 0.2211468, 0.5330497, -0.7202568, 1.714211, Tracked, 0.5363687, -0.4691817, 1.726491, Tracked, 0.5344844, -0.2218294, 1.727157, Tracked, 0.5663674, -0.07938036, 1.715751, Tracked, 0.3820786, -0.2905146, 1.697061, Tracked, 0.2961358, -0.5076407, 1.620665, Tracked, 0.4618014, -0.5719849, 1.54084, Tracked, 0.5221153, -0.6053734, 1.541612, Tracked, 0.7382074, -0.322262, 1.715174, Tracked, 0.8295259, -0.5137957, 1.701487, Tracked, 0.7185836, -0.639624, 1.545846, Tracked, 0.6609154, -0.6232317, 1.511592, Tracked, 0.4397908, -0.7007495, 1.685875, Tracked, 0.3960835, -0.6762719, 1.336731, Tracked, 0.3387728, -0.6540604, 0.8391751, Inferred, 0.333736, -0.6251865, 0.7030689, Inferred, 0.6087041, -0.7177392, 1.690141, Tracked, 0.6321098, -0.7146346, 1.225332, Inferred, 0.6563176, -0.7176996, 0.8528889, Inferred, 0.6496825, -0.6910893, 0.7195234, Inferred, 0.5356715, -0.2831829, 1.729025, Tracked, 0.5875012, -0.6380981, 1.515696, Tracked, 0.4505884, -0.6484375, 1.5128, Tracked, 0.6049446, -0.6500395, 1.489261, Tracked, 0.6136588, -0.5418926, 1.516099, Tracked,
Kinect 2: 0.2561076, 0.5321524, -0.7204543, 1.715378, Tracked, 0.5356153, -0.4693292, 1.726853, Tracked, 0.5339908, -0.2219227, 1.727027, Tracked, 0.5619631, -0.07978829, 1.71492, Tracked, 0.3810505, -0.2912932, 1.698443, Tracked, 0.2911631, -0.5097888, 1.625104, Tracked, 0.4532294, -0.5822999, 1.545012, Tracked, 0.5098753, -0.6123227, 1.540552, Tracked, 0.7369942, -0.3220232, 1.712889, Tracked, 0.8317238, -0.511852, 1.696646, Tracked, 0.6629631, -0.5632471, 1.527333, Tracked, 0.6266803, -0.5895531, 1.511333, Tracked, 0.4381825, -0.7013716, 1.689315, Tracked, 0.3857155, -0.6770188, 1.341324, Tracked, 0.3149713, -0.6550196, 0.8456241, Inferred, 0.308908, -0.6263161, 0.7092611, Inferred, 0.6084774, -0.7177439, 1.690219, Tracked, 0.6317806, -0.7142072, 1.225402, Inferred, 0.6559004, -0.7169145, 0.8529881, Inferred, 0.6482604, -0.6905063, 0.7195318, Inferred, 0.5351256, -0.28329, 1.728996, Tracked, 0.5737722, -0.6466519, 1.511123, Tracked, 0.4344777, -0.6535171, 1.509107, Tracked, 0.6036244, -0.6313899, 1.497824, Tracked, 0.6024221, -0.5478719, 1.507613, Tracked,
Kinect 2: 0.2880076, 0.5277576, -0.7208506, 1.715734, Tracked, 0.5327711, -0.4695978, 1.727028, Tracked, 0.5328393, -0.2220385, 1.727005, Tracked, 0.5572885, -0.08029479, 1.714639, Tracked, 0.3797468, -0.2918985, 1.700179, Tracked, 0.2881167, -0.5096254, 1.633001, Tracked, 0.4472669, -0.5835004, 1.547817, Tracked, 0.5011278, -0.6150079, 1.540834, Tracked, 0.7301068, -0.3206592, 1.701217, Tracked, 0.8322738, -0.5100222, 1.689646, Tracked, 0.7005217, -0.5673152, 1.550338, Tracked, 0.633332, -0.5980594, 1.516743, Tracked, 0.4339816, -0.7017463, 1.691267, Tracked, 0.3774745, -0.6787314, 1.343817, Tracked, 0.3004598, -0.6587813, 0.849019, Inferred, 0.2909487, -0.6300421, 0.7125732, Inferred, 0.604062, -0.7180954, 1.688573, Tracked, 0.6150466, -0.7178088, 1.223185, Inferred, 0.6289397, -0.72325, 0.8503211, Inferred, 0.617585, -0.6966693, 0.7165624, Inferred, 0.5335841, -0.2834471, 1.729009, Tracked, 0.5641007, -0.6461465, 1.508128, Tracked, 0.4294785, -0.6567059, 1.510258, Tracked, 0.5975257, -0.64003, 1.484014, Tracked, 0.5772159, -0.5391802, 1.538811, Tracked,
Kinect 2: 0.321917, 0.5239841, -0.7212887, 1.716121, Tracked, 0.5300832, -0.4698652, 1.727224, Tracked, 0.5315037, -0.2221344, 1.726987, Tracked, 0.552211, -0.08065429, 1.714458, Tracked, 0.3782866, -0.2928082, 1.70193, Tracked, 0.2855372, -0.5101543, 1.64225, Tracked, 0.4432825, -0.5803521, 1.550719, Tracked, 0.4975603, -0.6126573, 1.542204, Tracked, 0.7253214, -0.3197299, 1.696123, Tracked, 0.8312449, -0.5072945, 1.681779, Tracked, 0.6531019, -0.5657254, 1.52736, Tracked, 0.6116566, -0.5968477, 1.515833, Tracked, 0.4299682, -0.7022117, 1.693398, Tracked, 0.3678417, -0.6812675, 1.346786, Tracked, 0.2821429, -0.6644799, 0.8533418, Inferred, 0.2708262, -0.6357724, 0.7168679, Inferred, 0.6005622, -0.7184787, 1.687138, Tracked, 0.5968892, -0.7173748, 1.221487, Inferred, 0.5986339, -0.7221935, 0.8484225, Inferred, 0.5851288, -0.6953821, 0.7144311, Inferred, 0.5319046, -0.2835873, 1.729034, Tracked, 0.5600757, -0.6444988, 1.508029, Tracked, 0.4250529, -0.6558629, 1.514808, Tracked, 0.5742047, -0.6224181, 1.50414, Tracked, 0.5617226, -0.5393683, 1.545139, Tracked,
Kinect 2: 0.3550175, 0.5187981, -0.7211444, 1.723993, Tracked, 0.5275305, -0.4699369, 1.729406, Tracked, 0.5305392, -0.2222218, 1.726768, Tracked, 0.5466329, -0.08127835, 1.713706, Tracked, 0.3772279, -0.2932347, 1.703696, Tracked, 0.2816384, -0.5114204, 1.646705, Tracked, 0.4393691, -0.5790851, 1.552936, Tracked, 0.4927276, -0.6144174, 1.54248, Tracked, 0.7252632, -0.3196717, 1.696342, Tracked, 0.8296657, -0.5033184, 1.674838, Tracked, 0.6496518, -0.5643509, 1.526003, Tracked, 0.6204022, -0.5857666, 1.519898, Tracked, 0.4240955, -0.7018685, 1.706383, Tracked, 0.3592413, -0.6840945, 1.360127, Tracked, 0.2691981, -0.6720382, 0.8673645, Inferred, 0.2575406, -0.6450515, 0.7306361, Inferred, 0.5970235, -0.718457, 1.690653, Tracked, 0.5867983, -0.7176241, 1.225042, Inferred, 0.583089, -0.7226838, 0.852057, Inferred, 0.5689977, -0.6973225, 0.7177895, Inferred, 0.5307065, -0.2836778, 1.729184, Tracked, 0.5560387, -0.644374, 1.508655, Tracked, 0.4230261, -0.658376, 1.516514, Tracked, 0.5800394, -0.6356928, 1.487243, Tracked, 0.5658948, -0.526203, 1.540529, Tracked,
Kinect 2: 0.3887146, 0.5158193, -0.7210337, 1.720685, Tracked, 0.5257571, -0.4700622, 1.728534, Tracked, 0.5297999, -0.2224365, 1.7266, Tracked, 0.5400618, -0.08136364, 1.714069, Tracked, 0.3757411, -0.2938746, 1.705536, Tracked, 0.2799253, -0.5122215, 1.650147, Tracked, 0.438705, -0.5793914, 1.55302, Tracked, 0.4930976, -0.6159042, 1.540276, Inferred, 0.724234, -0.3189155, 1.696437, Tracked, 0.8566161, -0.5138768, 1.638526, Tracked, 0.6480641, -0.5650336, 1.524899, Tracked, 0.6034938, -0.5927042, 1.513274, Tracked, 0.4224478, -0.7019662, 1.704741, Tracked, 0.3481954, -0.6866099, 1.360282, Tracked, 0.2437579, -0.6782548, 0.8702997, Inferred, 0.2316107, -0.6506346, 0.7335963, Inferred, 0.5923772, -0.7179, 1.68412, Tracked, 0.5786116, -0.7207298, 1.218603, Inferred, 0.5719398, -0.7288405, 0.845718, Inferred, 0.5573987, -0.7028065, 0.7115477, Inferred, 0.5296924, -0.2838928, 1.728913, Tracked, 0.5542372, -0.6463683, 1.503585, Tracked, 0.4198263, -0.6596128, 1.516483, Tracked, 0.5565526, -0.6392377, 1.486788, Tracked, 0.5463281, -0.5383863, 1.545064, Tracked,
