Time,SpineBaseX,SpineBaseY,SpineBaseZ,SpineBaseTracked,SpineMidX,SpineMidY,SpineMidZ,SpineMidTracked,NeckX,NeckY,NeckZ,NeckTracked,HeadX,HeadY,HeadZ,HeadTracked,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderLeftTracked,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowLeftTracked,WristLeftX,WristLeftY,WristLeftZ,WristLeftTracked,HandLeftX,HandLeftY,HandLeftZ,HandLeftTracked,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ShoulderRightTracked,ElbowRightX,ElbowRightY,ElbowRightZ,ElbowRightTracked,WristRightX,WristRightY,WristRightZ,WristRightTracked,HandRightX,HandRightY,HandRightZ,HandRightTracked,HipLeftX,HipLeftY,HipLeftZ,HipLeftTracked,KneeLeftX,KneeLeftY,KneeLeftZ,KneeLeftTracked,AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleLeftTracked,FootLeftX,FootLeftY,FootLeftZ,FootLeftTracked,HipRightX,HipRightY,HipRightZ,HipRightTracked,KneeRightX,KneeRightY,KneeRightZ,KneeRightTracked,AnkleRightX,AnkleRightY,AnkleRightZ,AnkleRightTracked,FootRightX,FootRightY,FootRightZ,FootRightTracked,SpineShoulderX,SpineShoulderY,SpineShoulderZ,SpineShoulderTracked,HandTipLeftX,HandTipLeftY,HandTipLeftZ,HandTipLeftTracked,ThumbLeftX,ThumbLeftY,ThumbLeftZ,ThumbLeftTracked,HandTipRightX,HandTipRightY,HandTipRightZ,HandTipRightTracked,ThumbRightX,ThumbRightY,ThumbRightZ,ThumbRightTrackedKinect 2: 0.0220077, 0.01452649, -0.3898243, 1.756569, Tracked, 0.01147113, -0.08529988, 1.836222, Tracked, 0.009579133, 0.2096628, 1.902208, Tracked, 0.04055112, 0.3455602, 1.931257, Tracked, -0.1605067, 0.0833151, 1.839704, Tracked, -0.2510912, -0.1691963, 1.787767, Tracked, -0.2554711, -0.3733541, 1.647594, Tracked, -0.2607357, -0.4357934, 1.621037, Tracked, 0.2016282, 0.08772007, 1.915228, Tracked, 0.2664064, -0.1303383, 1.907677, Tracked, 0.2527565, -0.2800629, 1.757025, Tracked, 0.2084553, -0.3130891, 1.718772, Inferred, -0.06358472, -0.3800969, 1.712254, Tracked, -0.1342543, -0.7397768, 1.663562, Tracked, -0.1673981, -1.05389, 1.659393, Inferred, -0.1549729, -1.095963, 1.52864, Inferred, 0.09381227, -0.3858185, 1.734787, Tracked, 0.1126486, -0.7516216, 1.679717, Tracked, 0.1510364, -1.064024, 1.637338, Inferred, 0.1769514, -1.08838, 1.503529, Inferred, 0.009999741, 0.1371812, 1.887947, Tracked, -0.2604975, -0.5050711, 1.593031, Tracked, -0.2985926, -0.4294739, 1.602241, Tracked, 0.1973771, -0.3807438, 1.667665, Tracked, 0.1751342, -0.2876617, 1.6865, Tracked,
Kinect 2: 0.0560586, 0.0174036, -0.3910502, 1.755973, Tracked, 0.01592131, -0.08571754, 1.835459, Tracked, 0.01539734, 0.2099899, 1.901169, Tracked, 0.04898999, 0.3438175, 1.932667, Tracked, -0.1537147, 0.0869853, 1.837162, Tracked, -0.2502308, -0.1674038, 1.788302, Tracked, -0.2560444, -0.3751079, 1.650509, Tracked, -0.2587651, -0.4377322, 1.628717, Tracked, 0.2072787, 0.08366271, 1.918236, Tracked, 0.2656332, -0.1307802, 1.905902, Tracked, 0.2596831, -0.2810317, 1.755251, Tracked, 0.2116462, -0.3096504, 1.721284, Inferred, -0.05990056, -0.3798339, 1.708866, Tracked, -0.133557, -0.7389802, 1.663331, Tracked, -0.1642251, -1.053314, 1.6602, Inferred, -0.1491601, -1.09612, 1.530131, Inferred, 0.09646973, -0.3884961, 1.736344, Tracked, 0.113425, -0.7542558, 1.679121, Tracked, 0.1513184, -1.066861, 1.638688, Inferred, 0.1795679, -1.091345, 1.505209, Inferred, 0.01549278, 0.1373292, 1.886986, Tracked, -0.2602514, -0.5051108, 1.596247, Tracked, -0.2981687, -0.4277535, 1.612487, Tracked, 0.204608, -0.3823833, 1.672824, Tracked, 0.1791166, -0.2989494, 1.679222, Tracked,
Kinect 2: 0.0884849, 0.01884911, -0.3917505, 1.755514, Tracked, 0.01935665, -0.08623087, 1.834886, Tracked, 0.02115603, 0.2095733, 1.900522, Tracked, 0.05630582, 0.3430085, 1.934253, Tracked, -0.1502691, 0.08914898, 1.835508, Tracked, -0.2493852, -0.1657487, 1.788162, Tracked, -0.254775, -0.3763072, 1.654788, Tracked, -0.2549568, -0.4381742, 1.635273, Tracked, 0.2102217, 0.08092347, 1.920285, Tracked, 0.264268, -0.1312896, 1.90474, Tracked, 0.2570757, -0.2821473, 1.754717, Tracked, 0.2119207, -0.314437, 1.718185, Inferred, -0.05789623, -0.3792159, 1.705933, Tracked, -0.1329243, -0.7381151, 1.662929, Tracked, -0.1647329, -1.052393, 1.660676, Inferred, -0.1485197, -1.095826, 1.531175, Inferred, 0.09778983, -0.3904693, 1.737602, Tracked, 0.1140104, -0.7561449, 1.678598, Tracked, 0.1526501, -1.068848, 1.639637, Inferred, 0.182677, -1.093341, 1.50646, Inferred, 0.02064909, 0.1369006, 1.886355, Tracked, -0.2517309, -0.5086267, 1.609013, Tracked, -0.2965297, -0.433744, 1.610826, Tracked, 0.2030438, -0.3865159, 1.668467, Tracked, 0.1793703, -0.2975998, 1.678666, Tracked,
Kinect 2: 0.1240876, 0.02026021, -0.3920791, 1.755357, Tracked, 0.02200849, -0.08598558, 1.834558, Tracked, 0.02472279, 0.2103702, 1.899957, Tracked, 0.06424057, 0.3429343, 1.936697, Tracked, -0.1470939, 0.09151597, 1.833151, Tracked, -0.2485826, -0.163942, 1.787448, Tracked, -0.2533549, -0.3771932, 1.657534, Tracked, -0.2512914, -0.4395887, 1.637768, Tracked, 0.2130604, 0.07712585, 1.9212, Tracked, 0.2627158, -0.1323157, 1.904188, Tracked, 0.2628704, -0.2852885, 1.756292, Tracked, 0.2156237, -0.3125088, 1.72194, Inferred, -0.05531277, -0.3773949, 1.701456, Tracked, -0.1320506, -0.7359692, 1.662518, Tracked, -0.1647032, -1.050103, 1.661651, Inferred, -0.1475852, -1.094433, 1.532782, Inferred, 0.09951027, -0.3928659, 1.741057, Tracked, 0.1141983, -0.758391, 1.678647, Tracked, 0.1552883, -1.070775, 1.640025, Inferred, 0.1871229, -1.094846, 1.507072, Inferred, 0.02402058, 0.1375675, 1.885856, Tracked, -0.2541886, -0.502375, 1.607495, Tracked, -0.2912354, -0.4287817, 1.626143, Tracked, 0.2067971, -0.3879798, 1.675197, Tracked, 0.1833415, -0.304726, 1.6768, Tracked,
Kinect 2: 0.1557599, 0.02127832, -0.3935124, 1.754677, Tracked, 0.02489391, -0.08687454, 1.833976, Tracked, 0.03031904, 0.21005, 1.899457, Tracked, 0.07083616, 0.3420342, 1.937934, Tracked, -0.1402913, 0.09453655, 1.82981, Tracked, -0.2474503, -0.1618438, 1.78585, Tracked, -0.2509329, -0.3783636, 1.659991, Tracked, -0.2475316, -0.4401889, 1.63907, Tracked, 0.2162716, 0.07032424, 1.922768, Tracked, 0.2604304, -0.1335939, 1.903673, Tracked, 0.264255, -0.286347, 1.755617, Tracked, 0.2185201, -0.3117781, 1.721821, Inferred, -0.05458739, -0.3777398, 1.699832, Tracked, -0.1320286, -0.7361453, 1.661895, Tracked, -0.1642671, -1.050223, 1.662425, Inferred, -0.1444222, -1.095359, 1.534467, Inferred, 0.1000259, -0.3956693, 1.741683, Tracked, 0.1142442, -0.7610916, 1.678197, Tracked, 0.1561653, -1.073385, 1.640536, Inferred, 0.1908251, -1.097286, 1.508301, Inferred, 0.02887354, 0.137084, 1.885326, Tracked, -0.242627, -0.5083547, 1.618435, Tracked, -0.2881291, -0.4263376, 1.628341, Tracked, 0.2098782, -0.3888395, 1.67968, Tracked, 0.1875287, -0.3121786, 1.670556, Tracked,
Kinect 2: 0.1892054, 0.0224713, -0.3949649, 1.753307, Tracked, 0.02717806, -0.08727473, 1.833009, Tracked, 0.0335679, 0.2105347, 1.898739, Tracked, 0.07653651, 0.342155, 1.938083, Tracked, -0.1370553, 0.09528642, 1.826926, Tracked, -0.2461618, -0.1595355, 1.78346, Tracked, -0.2493494, -0.3781418, 1.660521, Tracked, -0.2423725, -0.4382576, 1.635183, Tracked, 0.2184675, 0.06689275, 1.923517, Tracked, 0.2597281, -0.1368796, 1.903692, Tracked, 0.2650736, -0.2876836, 1.753635, Tracked, 0.2188826, -0.3109061, 1.719488, Tracked, -0.05352895, -0.3780303, 1.696782, Tracked, -0.131537, -0.736248, 1.662085, Tracked, -0.1645057, -1.050317, 1.66069, Inferred, -0.1433352, -1.095065, 1.532902, Inferred, 0.1006591, -0.3979375, 1.741719, Tracked, 0.1147376, -0.7633053, 1.678066, Tracked, 0.1579053, -1.083745, 1.640079, Inferred, 0.1938434, -1.099169, 1.508907, Inferred, 0.03190264, 0.1373497, 1.884546, Tracked, -0.2278215, -0.5042421, 1.595042, Tracked, -0.2838921, -0.4486156, 1.625286, Tracked, 0.2119193, -0.3917126, 1.682588, Tracked, 0.1872826, -0.3136296, 1.6693, Tracked,
Kinect 2: 0.2220289, 0.02335431, -0.3958699, 1.752658, Tracked, 0.02977749, -0.08746516, 1.83211, Tracked, 0.03809883, 0.2113112, 1.897517, Tracked, 0.08476577, 0.3415002, 1.937263, Tracked, -0.1342239, 0.09668241, 1.824109, Tracked, -0.2445197, -0.1534529, 1.780288, Tracked, -0.2458288, -0.3760692, 1.65951, Tracked, -0.2372201, -0.4349165, 1.629881, Tracked, 0.2203915, 0.06381352, 1.925153, Tracked, 0.2596827, -0.1402497, 1.904392, Tracked, 0.2689824, -0.2884001, 1.751887, Tracked, 0.220977, -0.309892, 1.718319, Tracked, -0.05253538, -0.3780893, 1.69481, Tracked, -0.130982, -0.736158, 1.662186, Tracked, -0.1652584, -1.050065, 1.66065, Inferred, -0.1426844, -1.095013, 1.533314, Inferred, 0.1011152, -0.3995896, 1.742172, Tracked, 0.1148454, -0.7648981, 1.677858, Tracked, 0.1581593, -1.08529, 1.64003, Inferred, 0.1956139, -1.100604, 1.509384, Inferred, 0.03595819, 0.1378711, 1.88341, Tracked, -0.2255501, -0.4972656, 1.60312, Tracked, -0.2826458, -0.4414698, 1.6306, Tracked, 0.2095244, -0.3442306, 1.688114, Tracked, 0.1996001, -0.2852917, 1.717714, Tracked,
Kinect 2: 0.2569575, 0.02478546, -0.3964718, 1.752208, Tracked, 0.03268548, -0.08767256, 1.831487, Tracked, 0.04179752, 0.211386, 1.896795, Tracked, 0.08911349, 0.3415591, 1.937415, Tracked, -0.1299689, 0.09765667, 1.820917, Tracked, -0.2416625, -0.1511584, 1.776745, Tracked, -0.2423214, -0.3722621, 1.657029, Tracked, -0.2322088, -0.4298384, 1.623111, Tracked, 0.2227373, 0.06165237, 1.926812, Tracked, 0.259312, -0.1428209, 1.905402, Tracked, 0.2610717, -0.2932775, 1.755078, Tracked, 0.2180088, -0.3164353, 1.715842, Tracked, -0.04980795, -0.3772495, 1.690748, Tracked, -0.1303672, -0.7347506, 1.661935, Tracked, -0.1654361, -1.048652, 1.661027, Inferred, -0.141621, -1.09426, 1.534497, Inferred, 0.1021561, -0.4015341, 1.744236, Tracked, 0.1149071, -0.7666953, 1.67758, Tracked, 0.1580181, -1.087192, 1.639289, Inferred, 0.1969379, -1.102206, 1.509179, Inferred, 0.0395194, 0.1378995, 1.882717, Tracked, -0.2162805, -0.4915661, 1.596536, Tracked, -0.2753477, -0.4272366, 1.619425, Tracked, 0.2107298, -0.3958236, 1.678014, Tracked, 0.1872269, -0.317864, 1.667654, Tracked,
Kinect 2: 0.2890935, 0.02551505, -0.3968864, 1.751844, Tracked, 0.03485205, -0.08782599, 1.830803, Tracked, 0.04538636, 0.2114445, 1.895763, Tracked, 0.09615304, 0.3394524, 1.93666, Tracked, -0.1271825, 0.09851946, 1.818963, Tracked, -0.2403038, -0.1480642, 1.773165, Tracked, -0.2375355, -0.3652256, 1.650779, Tracked, -0.2262936, -0.4190342, 1.612862, Tracked, 0.224889, 0.05949935, 1.927996, Tracked, 0.2583062, -0.145427, 1.906384, Tracked, 0.2611, -0.2937864, 1.754015, Tracked, 0.2175113, -0.3159331, 1.715296, Tracked, -0.04880268, -0.3766037, 1.688432, Tracked, -0.1299882, -0.7339102, 1.661292, Tracked, -0.1657521, -1.047747, 1.661549, Inferred, -0.1410334, -1.093945, 1.535647, Inferred, 0.102579, -0.402927, 1.745392, Tracked, 0.1147914, -0.7680023, 1.677562, Tracked, 0.159908, -1.088298, 1.638994, Inferred, 0.2000625, -1.102924, 1.509334, Inferred, 0.04275928, 0.1379195, 1.881782, Tracked, -0.2126318, -0.48467, 1.577396, Tracked, -0.2686734, -0.414955, 1.6128, Tracked, 0.212846, -0.391614, 1.684291, Tracked, 0.1870885, -0.3180688, 1.667446, Tracked,
Kinect 2: 0.322935, 0.02637127, -0.3976097, 1.751039, Tracked, 0.03649276, -0.08774082, 1.830037, Tracked, 0.0476949, 0.2123079, 1.894946, Tracked, 0.1011786, 0.3388497, 1.935242, Tracked, -0.1232545, 0.1001025, 1.816348, Tracked, -0.2381619, -0.1441766, 1.769123, Tracked, -0.2330673, -0.3555333, 1.643021, Tracked, -0.2214238, -0.413209, 1.602613, Tracked, 0.2252557, 0.05883966, 1.92818, Tracked, 0.2573301, -0.1462418, 1.907449, Tracked, 0.2605922, -0.2933992, 1.753974, Tracked, 0.2173612, -0.3146118, 1.714964, Tracked, -0.04764339, -0.3755854, 1.685592, Tracked, -0.1296469, -0.7326263, 1.660665, Tracked, -0.1661321, -1.046626, 1.661196, Inferred, -0.1404912, -1.093241, 1.535813, Inferred, 0.1029474, -0.4054655, 1.746218, Tracked, 0.1146899, -0.7698565, 1.677141, Tracked, 0.1604725, -1.090943, 1.639028, Inferred, 0.201851, -1.105494, 1.509859, Inferred, 0.04490927, 0.138587, 1.880982, Tracked, -0.2061507, -0.4776909, 1.578292, Tracked, -0.2636181, -0.4255187, 1.602333, Tracked, 0.2013141, -0.3473545, 1.681277, Tracked, 0.1897777, -0.2890623, 1.702417, Tracked,
Kinect 2: 0.3559887, 0.02715363, -0.3983504, 1.749794, Tracked, 0.03865724, -0.08808899, 1.828778, Tracked, 0.05131136, 0.2121907, 1.893644, Tracked, 0.1046479, 0.3386228, 1.935028, Tracked, -0.1197467, 0.1015816, 1.814435, Tracked, -0.2360612, -0.1388109, 1.765213, Tracked, -0.22783, -0.3476492, 1.63501, Tracked, -0.2158642, -0.4063386, 1.593194, Tracked, 0.2291673, 0.05468827, 1.929662, Tracked, 0.257333, -0.1508259, 1.908196, Tracked, 0.2601162, -0.2947636, 1.751681, Tracked, 0.2165667, -0.3169097, 1.714389, Inferred, -0.04717612, -0.3755845, 1.684417, Tracked, -0.1297424, -0.7325295, 1.658841, Tracked, -0.1661894, -1.04661, 1.661273, Inferred, -0.1391795, -1.093962, 1.536584, Inferred, 0.1032115, -0.406478, 1.745763, Tracked, 0.1139156, -0.7677972, 1.676764, Tracked, 0.1610882, -1.092069, 1.63932, Inferred, 0.2038455, -1.106631, 1.510765, Inferred, 0.0481556, 0.1384266, 1.879689, Tracked, -0.2048946, -0.4745423, 1.55911, Tracked, -0.2638982, -0.4155593, 1.595833, Tracked, 0.1996326, -0.3491277, 1.680288, Tracked, 0.1932941, -0.2911984, 1.70226, Tracked,
Kinect 2: 0.3902258, 0.02818302, -0.3993199, 1.748528, Tracked, 0.04061086, -0.08846611, 1.827668, Tracked, 0.05390998, 0.2122402, 1.892641, Tracked, 0.1104611, 0.3381922, 1.934494, Tracked, -0.1166947, 0.1024985, 1.812039, Tracked, -0.2326068, -0.1304094, 1.760994, Tracked, -0.2239679, -0.340106, 1.627467, Tracked, -0.2103051, -0.3944669, 1.582605, Tracked, 0.2324757, 0.05132354, 1.931195, Tracked, 0.2573047, -0.1544301, 1.908897, Tracked, 0.2600739, -0.295496, 1.749871, Tracked, 0.2169643, -0.3179398, 1.713927, Inferred, -0.04621578, -0.3757686, 1.682769, Tracked, -0.1298073, -0.732493, 1.656826, Tracked, -0.1674809, -1.046472, 1.659883, Inferred, -0.1392876, -1.094232, 1.535748, Inferred, 0.1036502, -0.4078474, 1.745358, Tracked, 0.1137782, -0.7676294, 1.676777, Tracked, 0.1620799, -1.093303, 1.637852, Inferred, 0.2060792, -1.107347, 1.509755, Inferred, 0.05061308, 0.1383819, 1.878664, Tracked, -0.1934285, -0.4574539, 1.548916, Tracked, -0.2514269, -0.3970742, 1.575781, Tracked, 0.1994004, -0.3499697, 1.67913, Tracked, 0.190812, -0.2909366, 1.701355, Tracked,
