Time,SpineBaseX,SpineBaseY,SpineBaseZ,SpineBaseTracked,SpineMidX,SpineMidY,SpineMidZ,SpineMidTracked,NeckX,NeckY,NeckZ,NeckTracked,HeadX,HeadY,HeadZ,HeadTracked,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderLeftTracked,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowLeftTracked,WristLeftX,WristLeftY,WristLeftZ,WristLeftTracked,HandLeftX,HandLeftY,HandLeftZ,HandLeftTracked,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ShoulderRightTracked,ElbowRightX,ElbowRightY,ElbowRightZ,ElbowRightTracked,WristRightX,WristRightY,WristRightZ,WristRightTracked,HandRightX,HandRightY,HandRightZ,HandRightTracked,HipLeftX,HipLeftY,HipLeftZ,HipLeftTracked,KneeLeftX,KneeLeftY,KneeLeftZ,KneeLeftTracked,AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleLeftTracked,FootLeftX,FootLeftY,FootLeftZ,FootLeftTracked,HipRightX,HipRightY,HipRightZ,HipRightTracked,KneeRightX,KneeRightY,KneeRightZ,KneeRightTracked,AnkleRightX,AnkleRightY,AnkleRightZ,AnkleRightTracked,FootRightX,FootRightY,FootRightZ,FootRightTracked,SpineShoulderX,SpineShoulderY,SpineShoulderZ,SpineShoulderTracked,HandTipLeftX,HandTipLeftY,HandTipLeftZ,HandTipLeftTracked,ThumbLeftX,ThumbLeftY,ThumbLeftZ,ThumbLeftTracked,HandTipRightX,HandTipRightY,HandTipRightZ,HandTipRightTracked,ThumbRightX,ThumbRightY,ThumbRightZ,ThumbRightTrackedKinect 2: 2.1986459, -0.1704372, -0.3949115, 1.709704, Tracked, -0.1634593, -0.08138192, 1.771771, Tracked, -0.1555413, 0.2199293, 1.818015, Tracked, -0.1186954, 0.3633359, 1.845029, Tracked, -0.3293928, 0.1074682, 1.76482, Tracked, -0.434595, -0.1402964, 1.746354, Tracked, -0.434502, -0.3577524, 1.652841, Tracked, -0.4340234, -0.4250152, 1.627906, Tracked, 0.03535819, 0.0939949, 1.835103, Tracked, 0.09940339, -0.1217006, 1.820652, Tracked, 0.06703128, -0.2784682, 1.676955, Tracked, 0.01578246, -0.3225, 1.636805, Tracked, -0.2508526, -0.3835181, 1.65519, Tracked, -0.2563515, -0.7140684, 1.593849, Tracked, -0.2379271, -1.113147, 1.557183, Inferred, -0.2089288, -1.132063, 1.418874, Inferred, -0.08279984, -0.3894445, 1.69122, Tracked, -0.02115369, -0.688485, 1.528849, Tracked, 0.05197505, -1.05978, 1.367059, Inferred, 0.07922128, -1.050856, 1.223925, Inferred, -0.1576855, 0.1461637, 1.80897, Tracked, -0.4203774, -0.5019785, 1.604836, Tracked, -0.3738722, -0.4015688, 1.606667, Tracked, 0.004840519, -0.3862278, 1.576548, Tracked, -0.01975195, -0.2895298, 1.609825, Tracked,
Kinect 2: 2.2326597, -0.1667683, -0.3956278, 1.712875, Tracked, -0.1608458, -0.08192113, 1.774518, Tracked, -0.153797, 0.2195552, 1.820388, Tracked, -0.1156375, 0.362885, 1.848201, Tracked, -0.3275009, 0.1074316, 1.767603, Tracked, -0.4337219, -0.1400664, 1.747796, Tracked, -0.4342899, -0.3575827, 1.653095, Tracked, -0.4315474, -0.419076, 1.632208, Tracked, 0.03829624, 0.09202455, 1.838044, Tracked, 0.1017111, -0.1222487, 1.822571, Tracked, 0.07018687, -0.2807683, 1.681204, Tracked, 0.03069849, -0.3239739, 1.655499, Tracked, -0.2474497, -0.3837827, 1.657917, Tracked, -0.2560215, -0.7139156, 1.594852, Tracked, -0.2375705, -1.11344, 1.557988, Inferred, -0.2084312, -1.13234, 1.419625, Inferred, -0.07900397, -0.3906632, 1.694872, Tracked, -0.01513853, -0.6950701, 1.547817, Tracked, 0.1013881, -1.08115, 1.564639, Inferred, 0.1441319, -1.104654, 1.434122, Inferred, -0.1557402, 0.1457492, 1.811432, Tracked, -0.4283683, -0.4871991, 1.606397, Tracked, -0.3789744, -0.3856379, 1.623584, Tracked, 0.02926856, -0.3866476, 1.60768, Tracked, 0.0008849686, -0.3030171, 1.616533, Tracked,
Kinect 2: 2.2649183, -0.1585103, -0.3990237, 1.721196, Tracked, -0.1532346, -0.08433438, 1.783294, Tracked, -0.1469054, 0.2181399, 1.829607, Tracked, -0.1075207, 0.3606784, 1.858049, Tracked, -0.3205057, 0.1061289, 1.774709, Tracked, -0.4311768, -0.1394511, 1.751092, Tracked, -0.4337187, -0.357004, 1.65399, Tracked, -0.4338182, -0.4212702, 1.633201, Tracked, 0.04674526, 0.08818325, 1.84829, Tracked, 0.1064244, -0.1224372, 1.831288, Tracked, 0.08337207, -0.2858771, 1.695452, Tracked, 0.03109366, -0.3416335, 1.656849, Tracked, -0.239494, -0.3865837, 1.665477, Tracked, -0.2547758, -0.7127538, 1.598041, Tracked, -0.2375565, -1.116166, 1.558683, Inferred, -0.2075737, -1.134607, 1.420027, Inferred, -0.07085752, -0.3945649, 1.703841, Tracked, -0.005958087, -0.707495, 1.582328, Tracked, 0.06169926, -1.099974, 1.631494, Inferred, 0.1001185, -1.139436, 1.506467, Inferred, -0.1486591, 0.1440812, 1.820544, Tracked, -0.4274386, -0.4920921, 1.612124, Tracked, -0.3880643, -0.415938, 1.626386, Tracked, 0.02846923, -0.4066451, 1.607971, Tracked, 0.00140415, -0.318132, 1.62015, Tracked,
Kinect 2: 2.2979728, -0.1481209, -0.4069896, 1.730337, Tracked, -0.1426935, -0.08936863, 1.793018, Tracked, -0.1360558, 0.2158508, 1.840052, Tracked, -0.09349734, 0.3569161, 1.87127, Tracked, -0.3099181, 0.1052341, 1.784181, Tracked, -0.4260441, -0.1386675, 1.755597, Tracked, -0.4318292, -0.354418, 1.656193, Tracked, -0.4331461, -0.4172694, 1.629828, Tracked, 0.05547423, 0.08440357, 1.859117, Tracked, 0.1162688, -0.1269574, 1.842219, Tracked, 0.08330262, -0.2941369, 1.713905, Tracked, 0.04590749, -0.3073714, 1.691279, Tracked, -0.2294278, -0.3935209, 1.67389, Tracked, -0.2516796, -0.7138626, 1.602661, Tracked, -0.2377359, -1.119753, 1.56022, Inferred, -0.2076232, -1.137486, 1.421655, Inferred, -0.06062331, -0.4032744, 1.71351, Tracked, 0.0001065693, -0.7167949, 1.607123, Tracked, 0.05777585, -1.112408, 1.650836, Inferred, 0.09441005, -1.151199, 1.524965, Inferred, -0.1378962, 0.141112, 1.830796, Tracked, -0.4253591, -0.4921088, 1.613535, Tracked, -0.3852645, -0.4059203, 1.621622, Tracked, 0.03422935, -0.3618209, 1.639822, Tracked, 0.01303696, -0.3000087, 1.648513, Tracked,
Kinect 2: 2.3314512, -0.1355778, -0.4132075, 1.739431, Tracked, -0.1294485, -0.0939761, 1.803877, Tracked, -0.1224361, 0.2130855, 1.852509, Tracked, -0.08035233, 0.3538027, 1.883363, Tracked, -0.2988366, 0.104404, 1.793502, Tracked, -0.4195105, -0.136414, 1.760877, Tracked, -0.4276454, -0.3475007, 1.657749, Tracked, -0.4323398, -0.4100147, 1.626407, Tracked, 0.06867368, 0.07892404, 1.871549, Tracked, 0.1240416, -0.1329177, 1.85204, Tracked, 0.09024169, -0.2955027, 1.718057, Tracked, 0.05747512, -0.3181373, 1.703276, Inferred, -0.2167523, -0.3988602, 1.683181, Tracked, -0.2481108, -0.7141215, 1.607609, Tracked, -0.1724196, -1.115101, 1.617943, Inferred, -0.129437, -1.141266, 1.486752, Inferred, -0.04872978, -0.4101123, 1.722175, Tracked, 0.005393782, -0.7302941, 1.632711, Tracked, 0.04810583, -1.121046, 1.6894, Inferred, 0.08371665, -1.165796, 1.566992, Inferred, -0.1243283, 0.1378709, 1.842878, Tracked, -0.430348, -0.4818755, 1.605005, Tracked, -0.3887396, -0.3920208, 1.63945, Tracked, 0.04606571, -0.3528468, 1.669923, Tracked, 0.02513948, -0.3202759, 1.650345, Tracked,
Kinect 2: 2.3665509, -0.1264203, -0.4180232, 1.748152, Tracked, -0.1183868, -0.09827118, 1.813866, Tracked, -0.1095652, 0.2094422, 1.86365, Tracked, -0.06826226, 0.3505374, 1.893714, Tracked, -0.2916473, 0.1033398, 1.798397, Tracked, -0.4126218, -0.1373708, 1.765085, Tracked, -0.4246233, -0.3431348, 1.656274, Tracked, -0.4298071, -0.4021265, 1.619195, Tracked, 0.07990661, 0.07480956, 1.882086, Tracked, 0.1369128, -0.1360815, 1.866867, Tracked, 0.09647155, -0.2933582, 1.72833, Tracked, 0.05744712, -0.3328152, 1.705894, Tracked, -0.2074697, -0.4031355, 1.692261, Tracked, -0.2441493, -0.7153068, 1.61182, Tracked, -0.2162717, -1.12432, 1.596926, Inferred, -0.1806214, -1.148149, 1.462121, Inferred, -0.04009673, -0.4152832, 1.730347, Tracked, 0.009079151, -0.734827, 1.653222, Tracked, 0.0320393, -1.130898, 1.699425, Inferred, 0.06449692, -1.17432, 1.574732, Inferred, -0.1118915, 0.1340539, 1.853747, Tracked, -0.431958, -0.4728215, 1.593313, Tracked, -0.3783256, -0.3862251, 1.617, Tracked, 0.03798502, -0.3924613, 1.653817, Tracked, 0.01253366, -0.2815996, 1.680357, Tracked,
Kinect 2: 2.3979377, -0.1177176, -0.421566, 1.757407, Tracked, -0.1073233, -0.102035, 1.82343, Tracked, -0.09618456, 0.2054576, 1.873377, Tracked, -0.05303482, 0.344929, 1.905614, Tracked, -0.2648441, 0.09649456, 1.812602, Tracked, -0.3968922, -0.1371847, 1.774144, Tracked, -0.4181235, -0.3374702, 1.654214, Tracked, -0.4273274, -0.3980372, 1.613095, Tracked, 0.09118769, 0.07029622, 1.891508, Tracked, 0.1487753, -0.1426663, 1.878502, Tracked, 0.1115086, -0.3042783, 1.744531, Tracked, 0.06382909, -0.3463486, 1.714316, Tracked, -0.1989612, -0.40653, 1.701916, Tracked, -0.2387123, -0.7167535, 1.61686, Tracked, -0.2280169, -1.127236, 1.586455, Inferred, -0.1959516, -1.148289, 1.449284, Inferred, -0.03159738, -0.4188784, 1.73905, Tracked, 0.01281388, -0.737178, 1.672402, Tracked, 0.03703963, -1.134038, 1.728089, Inferred, 0.06962364, -1.181055, 1.605399, Inferred, -0.09907628, 0.1301227, 1.863454, Tracked, -0.4313841, -0.4672523, 1.588197, Tracked, -0.389964, -0.4037924, 1.594346, Tracked, 0.0355725, -0.4057371, 1.661987, Tracked, 0.01962897, -0.2832341, 1.690063, Tracked,
Kinect 2: 2.430896, -0.1076062, -0.426656, 1.767713, Tracked, -0.09402639, -0.1073018, 1.833987, Tracked, -0.07971197, 0.2000949, 1.884106, Tracked, -0.0360265, 0.3392553, 1.916547, Tracked, -0.2530998, 0.09317545, 1.819397, Tracked, -0.385052, -0.1382052, 1.780341, Tracked, -0.4107766, -0.3286489, 1.657115, Tracked, -0.41967, -0.3896292, 1.611897, Tracked, 0.111686, 0.06290804, 1.90702, Tracked, 0.1677955, -0.1496452, 1.892967, Tracked, 0.1274188, -0.3112487, 1.760224, Tracked, 0.08351622, -0.3567231, 1.733059, Tracked, -0.1885341, -0.4114161, 1.713217, Tracked, -0.2332603, -0.7194865, 1.622494, Tracked, -0.2368505, -1.128184, 1.577585, Inferred, -0.2052095, -1.14633, 1.439537, Inferred, -0.02222294, -0.4240274, 1.748311, Tracked, 0.01588873, -0.7419508, 1.693621, Tracked, 0.0318155, -1.140051, 1.743307, Inferred, 0.06446138, -1.185339, 1.619618, Inferred, -0.08338166, 0.1247714, 1.874154, Tracked, -0.4270049, -0.4589415, 1.580489, Tracked, -0.3805353, -0.3968249, 1.635167, Tracked, 0.06426731, -0.4230244, 1.686894, Tracked, 0.04199594, -0.3158008, 1.699866, Tracked,
Kinect 2: 2.4648106, -0.09679036, -0.4305218, 1.77848, Tracked, -0.0808721, -0.1113317, 1.844253, Tracked, -0.06459896, 0.1960014, 1.89378, Tracked, -0.01912405, 0.3342693, 1.926337, Tracked, -0.2342042, 0.08830357, 1.82856, Tracked, -0.3673542, -0.1412591, 1.787634, Tracked, -0.4062404, -0.3259241, 1.657187, Tracked, -0.4135976, -0.3852636, 1.60589, Tracked, 0.1236518, 0.05861558, 1.914405, Tracked, 0.1749744, -0.1528627, 1.901583, Tracked, 0.1389108, -0.3173617, 1.771871, Tracked, 0.09014988, -0.3591241, 1.743743, Tracked, -0.1780776, -0.4148805, 1.724038, Tracked, -0.2270072, -0.7214991, 1.627421, Tracked, -0.2426353, -1.127374, 1.571087, Inferred, -0.2130684, -1.143297, 1.432018, Inferred, -0.01154801, -0.4282277, 1.758893, Tracked, 0.01944227, -0.7464898, 1.709658, Tracked, 0.03154824, -1.141062, 1.772985, Inferred, 0.06357158, -1.191699, 1.653058, Inferred, -0.06871179, 0.1206817, 1.883988, Tracked, -0.4205454, -0.4514181, 1.572263, Tracked, -0.3743414, -0.3801773, 1.625818, Tracked, 0.05998353, -0.4187305, 1.693024, Tracked, 0.04806461, -0.2967905, 1.71525, Tracked,
Kinect 2: 2.49895, -0.08132489, -0.4335293, 1.792978, Tracked, -0.06383727, -0.1143795, 1.85744, Tracked, -0.04636261, 0.1930231, 1.90574, Tracked, -0.001596146, 0.3320489, 1.936542, Tracked, -0.2196266, 0.08636592, 1.838436, Tracked, -0.3513215, -0.1398071, 1.794964, Tracked, -0.3854688, -0.3198829, 1.661185, Tracked, -0.4027587, -0.3836673, 1.604607, Tracked, 0.1421349, 0.05325839, 1.928042, Tracked, 0.1856997, -0.1564396, 1.916915, Tracked, 0.1536745, -0.3210274, 1.787087, Tracked, 0.1060833, -0.3598936, 1.758486, Tracked, -0.1614737, -0.4134793, 1.74014, Tracked, -0.219073, -0.7219247, 1.633798, Tracked, -0.2567409, -1.118695, 1.560937, Inferred, -0.2295954, -1.131709, 1.420457, Inferred, 0.002791264, -0.4355729, 1.772355, Tracked, 0.0228014, -0.7509837, 1.726315, Tracked, 0.02530088, -1.149933, 1.781361, Inferred, 0.05587354, -1.198163, 1.659231, Inferred, -0.05073571, 0.1176741, 1.89625, Tracked, -0.4119747, -0.4421147, 1.56638, Tracked, -0.4004412, -0.4446352, 1.606, Tracked, 0.08017259, -0.4236321, 1.710665, Tracked, 0.06252029, -0.2985783, 1.725688, Tracked,
Kinect 2: 2.5309183, -0.06957774, -0.4346113, 1.803803, Tracked, -0.04866578, -0.1160913, 1.867719, Tracked, -0.02749001, 0.1906944, 1.915494, Tracked, 0.02118177, 0.3287544, 1.946201, Tracked, -0.2022398, 0.08649368, 1.848287, Tracked, -0.3347006, -0.1399424, 1.802128, Tracked, -0.3724199, -0.3184972, 1.665886, Tracked, -0.3889215, -0.382079, 1.608979, Tracked, 0.157567, 0.0495454, 1.939227, Tracked, 0.1984269, -0.1546354, 1.929676, Tracked, 0.1573449, -0.314547, 1.797216, Tracked, 0.1179366, -0.354295, 1.769548, Tracked, -0.1504513, -0.4128741, 1.750853, Tracked, -0.207397, -0.7206212, 1.640985, Tracked, -0.2660267, -1.111938, 1.553673, Inferred, -0.241061, -1.122518, 1.412208, Inferred, 0.01415301, -0.4384245, 1.782641, Tracked, 0.02661587, -0.7597665, 1.742183, Tracked, 0.02544436, -1.154304, 1.785287, Inferred, 0.05581366, -1.198242, 1.660286, Inferred, -0.03280038, 0.1154954, 1.906143, Tracked, -0.3982476, -0.4367518, 1.570859, Tracked, -0.3984003, -0.4222841, 1.617313, Tracked, 0.0929588, -0.4176698, 1.722472, Tracked, 0.07289317, -0.293062, 1.733714, Tracked,
Kinect 2: 2.56653, -0.05911044, -0.4360345, 1.813475, Tracked, -0.03470509, -0.1180708, 1.876982, Tracked, -0.01024891, 0.1882583, 1.92423, Tracked, 0.03781679, 0.324804, 1.953804, Tracked, -0.1889657, 0.08680555, 1.855818, Tracked, -0.3153821, -0.1371876, 1.810347, Tracked, -0.3412186, -0.3198683, 1.675647, Tracked, -0.364895, -0.3813526, 1.615145, Tracked, 0.175344, 0.04504429, 1.952256, Tracked, 0.2176072, -0.1557615, 1.94704, Tracked, 0.196327, -0.3250227, 1.824323, Tracked, 0.1324126, -0.3718627, 1.775798, Tracked, -0.1401303, -0.4129528, 1.759742, Tracked, -0.198009, -0.71957, 1.64686, Tracked, -0.2677186, -1.107122, 1.55099, Inferred, -0.2428279, -1.116475, 1.409278, Inferred, 0.02433966, -0.4413187, 1.793113, Tracked, 0.03128378, -0.7614344, 1.752034, Tracked, 0.02616672, -1.157763, 1.787031, Inferred, 0.05698745, -1.198998, 1.660607, Inferred, -0.0163349, 0.1131589, 1.915025, Tracked, -0.3717628, -0.4380306, 1.575864, Tracked, -0.3022672, -0.3811238, 1.623667, Tracked, 0.1117135, -0.4422675, 1.734241, Tracked, 0.09518444, -0.332021, 1.74577, Tracked,
