Time,SpineBaseX,SpineBaseY,SpineBaseZ,SpineBaseTracked,SpineMidX,SpineMidY,SpineMidZ,SpineMidTracked,NeckX,NeckY,NeckZ,NeckTracked,HeadX,HeadY,HeadZ,HeadTracked,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderLeftTracked,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowLeftTracked,WristLeftX,WristLeftY,WristLeftZ,WristLeftTracked,HandLeftX,HandLeftY,HandLeftZ,HandLeftTracked,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ShoulderRightTracked,ElbowRightX,ElbowRightY,ElbowRightZ,ElbowRightTracked,WristRightX,WristRightY,WristRightZ,WristRightTracked,HandRightX,HandRightY,HandRightZ,HandRightTracked,HipLeftX,HipLeftY,HipLeftZ,HipLeftTracked,KneeLeftX,KneeLeftY,KneeLeftZ,KneeLeftTracked,AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleLeftTracked,FootLeftX,FootLeftY,FootLeftZ,FootLeftTracked,HipRightX,HipRightY,HipRightZ,HipRightTracked,KneeRightX,KneeRightY,KneeRightZ,KneeRightTracked,AnkleRightX,AnkleRightY,AnkleRightZ,AnkleRightTracked,FootRightX,FootRightY,FootRightZ,FootRightTracked,SpineShoulderX,SpineShoulderY,SpineShoulderZ,SpineShoulderTracked,HandTipLeftX,HandTipLeftY,HandTipLeftZ,HandTipLeftTracked,ThumbLeftX,ThumbLeftY,ThumbLeftZ,ThumbLeftTracked,HandTipRightX,HandTipRightY,HandTipRightZ,HandTipRightTracked,ThumbRightX,ThumbRightY,ThumbRightZ,ThumbRightTrackedKinect 2: 1.7439115, 0.02444498, -0.3708614, 1.360275, Tracked, 0.05359698, -0.03926712, 1.445768, Tracked, 0.08058089, 0.2739113, 1.5125, Tracked, 0.1498058, 0.3976327, 1.551957, Tracked, -0.1003692, 0.1806518, 1.445215, Tracked, -0.2308979, -0.01495416, 1.414398, Tracked, -0.1960513, -0.2246625, 1.308833, Tracked, -0.1554982, -0.2844831, 1.285915, Tracked, 0.2598303, 0.09588371, 1.550363, Tracked, 0.2801946, -0.07642314, 1.530222, Tracked, 0.3125921, -0.1934915, 1.399164, Inferred, 0.2635875, -0.2007692, 1.373644, Inferred, -0.0602119, -0.3414364, 1.291323, Tracked, -0.09372488, -0.6205233, 1.2522, Tracked, -0.1343493, -0.9540616, 1.245379, Inferred, -0.1115016, -0.9684812, 1.145502, Inferred, 0.1073935, -0.3792705, 1.352296, Tracked, 0.1217199, -0.5962307, 1.224937, Tracked, 0.1488213, -0.9575296, 1.074891, Inferred, 0.1718258, -0.9424217, 0.9701425, Inferred, 0.0741144, 0.1978743, 1.498466, Tracked, -0.1414534, -0.3506443, 1.251883, Tracked, -0.1154649, -0.2489377, 1.249657, Tracked, 0.2480993, -0.2240156, 1.310575, Tracked, 0.2575183, -0.2037028, 1.295, Tracked,
Kinect 2: 1.7756322, 0.02432173, -0.3751259, 1.373228, Tracked, 0.05052398, -0.04298417, 1.456414, Tracked, 0.07489018, 0.2707217, 1.521717, Tracked, 0.1434086, 0.393331, 1.563018, Tracked, -0.1032178, 0.1769114, 1.451277, Tracked, -0.2338703, -0.01700527, 1.417824, Tracked, -0.2176906, -0.179377, 1.343462, Tracked, -0.18555, -0.2184642, 1.333053, Tracked, 0.2540749, 0.09028627, 1.56406, Tracked, 0.2753792, -0.08098333, 1.544106, Tracked, 0.2633149, -0.1968799, 1.408845, Tracked, 0.1979212, -0.2443085, 1.33775, Tracked, -0.05993197, -0.3452235, 1.301534, Tracked, -0.09059992, -0.6373082, 1.29238, Tracked, -0.1246695, -0.9557109, 1.31777, Inferred, -0.1004219, -0.9795175, 1.224668, Inferred, 0.106792, -0.3839978, 1.368403, Tracked, 0.1212079, -0.5979646, 1.231367, Tracked, 0.1483794, -0.9547535, 1.065366, Inferred, 0.1721243, -0.9380437, 0.9619333, Inferred, 0.069075, 0.1945547, 1.507977, Tracked, -0.1669018, -0.3033912, 1.303837, Tracked, -0.1354766, -0.2185426, 1.2885, Tracked, 0.1729825, -0.3035089, 1.272376, Tracked, 0.2150053, -0.3005511, 1.300923, Tracked,
Kinect 2: 1.8119505, 0.02152874, -0.3813756, 1.404532, Tracked, 0.04247153, -0.04949156, 1.482264, Tracked, 0.06242306, 0.2646812, 1.542731, Tracked, 0.130834, 0.3889833, 1.583933, Tracked, -0.1149945, 0.1693004, 1.467582, Tracked, -0.2435646, -0.02395719, 1.426305, Tracked, -0.2182229, -0.1824031, 1.347443, Tracked, -0.1903924, -0.2165246, 1.352829, Tracked, 0.2397137, 0.08338805, 1.592179, Tracked, 0.2581607, -0.08773239, 1.57608, Tracked, 0.2556287, -0.1995657, 1.421843, Tracked, 0.1856735, -0.2527124, 1.360864, Tracked, -0.06166362, -0.3519153, 1.329003, Tracked, -0.0920532, -0.6520613, 1.328549, Tracked, -0.1244671, -0.9657466, 1.361447, Inferred, -0.09537367, -0.9971094, 1.263874, Inferred, 0.1031217, -0.389828, 1.403382, Tracked, 0.1183763, -0.6044567, 1.248045, Tracked, 0.145471, -0.9479683, 1.059318, Inferred, 0.1738472, -0.9303033, 0.9480035, Inferred, 0.05762834, 0.188344, 1.530148, Tracked, -0.1626542, -0.2849372, 1.319404, Tracked, -0.133918, -0.2076947, 1.331595, Tracked, 0.1633819, -0.3140255, 1.293558, Tracked, 0.2146922, -0.2796328, 1.337788, Tracked,
Kinect 2: 1.8433817, 0.01635362, -0.3819744, 1.428642, Tracked, 0.03448288, -0.05208232, 1.501516, Tracked, 0.05194121, 0.2609999, 1.557315, Tracked, 0.117897, 0.386017, 1.601209, Tracked, -0.1238948, 0.1649403, 1.480858, Tracked, -0.2523525, -0.02963915, 1.440688, Tracked, -0.2210312, -0.1923188, 1.360924, Tracked, -0.1906752, -0.2294347, 1.364526, Tracked, 0.2293782, 0.08193155, 1.608582, Tracked, 0.2476908, -0.0904784, 1.596763, Tracked, 0.2389849, -0.2156059, 1.436594, Tracked, 0.176067, -0.256568, 1.390569, Tracked, -0.06676973, -0.3536179, 1.357819, Tracked, -0.09179784, -0.6593134, 1.355582, Tracked, -0.1184232, -0.9734675, 1.385829, Inferred, -0.08613417, -1.005419, 1.284072, Inferred, 0.09831658, -0.389913, 1.423296, Tracked, 0.1112163, -0.6099726, 1.267245, Tracked, 0.1339519, -0.9540024, 1.08115, Inferred, 0.1643186, -0.9379182, 0.9657705, Inferred, 0.04772138, 0.1848571, 1.545885, Tracked, -0.1577461, -0.3005911, 1.333306, Tracked, -0.1414048, -0.2159051, 1.378841, Tracked, 0.1500365, -0.3143035, 1.3239, Tracked, 0.1991822, -0.3070381, 1.35132, Tracked,
Kinect 2: 1.8787311, 0.007782158, -0.3818764, 1.458286, Tracked, 0.02356359, -0.05337563, 1.525242, Tracked, 0.03898197, 0.2589513, 1.575277, Tracked, 0.1033028, 0.3856846, 1.617586, Tracked, -0.1343016, 0.1594966, 1.497636, Tracked, -0.2621236, -0.0375545, 1.455041, Tracked, -0.22283, -0.1969109, 1.37357, Tracked, -0.1885798, -0.2367745, 1.380114, Tracked, 0.2159434, 0.086861, 1.63161, Tracked, 0.2346341, -0.09751188, 1.625601, Tracked, 0.227784, -0.2193431, 1.461473, Tracked, 0.1700944, -0.2816106, 1.408849, Tracked, -0.07437245, -0.3560466, 1.38536, Tracked, -0.09887824, -0.6663057, 1.377742, Tracked, -0.1248705, -0.9819415, 1.401999, Inferred, -0.09046449, -1.012877, 1.29659, Inferred, 0.08925769, -0.3875379, 1.45481, Tracked, 0.1028435, -0.6113842, 1.288858, Tracked, 0.1253034, -0.9473073, 1.094721, Inferred, 0.1573825, -0.931509, 0.9766734, Inferred, 0.03521832, 0.1829322, 1.565285, Tracked, -0.1577393, -0.3207819, 1.351598, Tracked, -0.1456019, -0.2411597, 1.337567, Tracked, 0.1631954, -0.3190055, 1.368769, Tracked, 0.1931837, -0.3353815, 1.373357, Tracked,
Kinect 2: 1.9098465, 0.001399338, -0.3765155, 1.480222, Tracked, 0.0151052, -0.05218748, 1.543374, Tracked, 0.02836885, 0.2568535, 1.589991, Tracked, 0.09115594, 0.3845836, 1.630426, Tracked, -0.1423963, 0.1562476, 1.512055, Tracked, -0.2732264, -0.0418043, 1.469673, Tracked, -0.2268254, -0.1961105, 1.390462, Tracked, -0.1945229, -0.2325989, 1.39839, Tracked, 0.2039307, 0.09153819, 1.649143, Tracked, 0.2255295, -0.1028953, 1.649732, Tracked, 0.2162593, -0.2380487, 1.480612, Tracked, 0.1678403, -0.2808965, 1.441092, Tracked, -0.080735, -0.3524328, 1.409993, Tracked, -0.1028018, -0.6679886, 1.390471, Tracked, -0.1261845, -0.984808, 1.402204, Inferred, -0.0900524, -1.012116, 1.293063, Inferred, 0.08318325, -0.3812734, 1.474485, Tracked, 0.09797902, -0.612204, 1.309367, Tracked, 0.1212549, -0.9480491, 1.121514, Inferred, 0.1546996, -0.9337455, 1.002069, Inferred, 0.02514897, 0.1815753, 1.58084, Tracked, -0.1593463, -0.3166165, 1.372424, Tracked, -0.1534203, -0.2321457, 1.357792, Tracked, 0.155006, -0.338351, 1.38124, Tracked, 0.1951337, -0.3274562, 1.412333, Tracked,
Kinect 2: 1.9448304, -0.003450431, -0.3755213, 1.499327, Tracked, 0.007620137, -0.05176923, 1.561275, Tracked, 0.0183497, 0.2567047, 1.606045, Tracked, 0.07701504, 0.385393, 1.644364, Tracked, -0.1524781, 0.1523825, 1.529084, Tracked, -0.2811894, -0.04506762, 1.482338, Tracked, -0.2288137, -0.2022815, 1.410118, Tracked, -0.191013, -0.2419289, 1.418309, Inferred, 0.1954112, 0.0967812, 1.664642, Tracked, 0.2193035, -0.1043927, 1.67558, Tracked, 0.2125253, -0.2343609, 1.536435, Tracked, 0.1694164, -0.2892536, 1.46783, Tracked, -0.08557732, -0.3537458, 1.431663, Tracked, -0.107399, -0.6688678, 1.40705, Tracked, -0.1309839, -0.9901981, 1.413805, Inferred, -0.09529822, -1.016643, 1.30214, Inferred, 0.07861034, -0.378524, 1.491274, Tracked, 0.09529247, -0.6163685, 1.325316, Tracked, 0.1201947, -0.9504056, 1.141912, Inferred, 0.1535481, -0.9367481, 1.020796, Inferred, 0.01572752, 0.1815485, 1.597431, Tracked, -0.1562736, -0.3233275, 1.388134, Tracked, -0.1667496, -0.2291604, 1.376292, Tracked, 0.1633998, -0.3546033, 1.409796, Tracked, 0.1894758, -0.3484541, 1.432071, Tracked,
Kinect 2: 1.9759412, -0.004764333, -0.37331, 1.517607, Tracked, 0.002641789, -0.05102729, 1.577023, Tracked, 0.009792961, 0.2562887, 1.620109, Tracked, 0.06601457, 0.38708, 1.657249, Tracked, -0.158598, 0.1495991, 1.543225, Tracked, -0.2896259, -0.04577404, 1.499303, Tracked, -0.2309477, -0.201859, 1.425895, Tracked, -0.1911282, -0.2415895, 1.435432, Tracked, 0.1882745, 0.1006857, 1.681443, Tracked, 0.2138286, -0.1025515, 1.695512, Tracked, 0.212111, -0.2350339, 1.537753, Tracked, 0.158703, -0.2761027, 1.492733, Tracked, -0.086435, -0.3532282, 1.449244, Tracked, -0.108633, -0.6681036, 1.418049, Tracked, -0.1329375, -0.9938311, 1.418133, Inferred, -0.09667348, -1.018871, 1.304464, Inferred, 0.07690582, -0.3747745, 1.510209, Tracked, 0.09474013, -0.621339, 1.345276, Tracked, 0.1201522, -0.9543419, 1.169395, Inferred, 0.1544188, -0.9419307, 1.047277, Inferred, 0.008076712, 0.1813921, 1.611856, Tracked, -0.1556578, -0.322789, 1.40412, Tracked, -0.2108611, -0.2655679, 1.3452, Tracked, 0.143255, -0.333745, 1.426015, Tracked, 0.1872272, -0.329602, 1.456684, Tracked,
Kinect 2: 2.0109261, -0.006631184, -0.3726853, 1.534708, Tracked, -0.002083702, -0.05118464, 1.593858, Tracked, 0.002320882, 0.255504, 1.636147, Tracked, 0.05560816, 0.3881756, 1.672115, Tracked, -0.1646163, 0.1474233, 1.55858, Tracked, -0.2941124, -0.04784341, 1.515772, Tracked, -0.232134, -0.2040117, 1.442388, Tracked, -0.2119951, -0.2361951, 1.451466, Tracked, 0.1821044, 0.1034677, 1.698519, Tracked, 0.2119559, -0.1025608, 1.715395, Tracked, 0.2089522, -0.2353082, 1.55465, Tracked, 0.1660008, -0.279695, 1.518956, Tracked, -0.08793958, -0.3538151, 1.466064, Tracked, -0.1086434, -0.6680802, 1.430565, Tracked, -0.1317717, -0.9977452, 1.42618, Inferred, -0.09488241, -1.0218, 1.311156, Inferred, 0.07477415, -0.3731688, 1.527727, Tracked, 0.09453101, -0.6254709, 1.362171, Tracked, 0.1216249, -0.9567152, 1.189774, Inferred, 0.1565413, -0.9447721, 1.066862, Inferred, 0.001250769, 0.180735, 1.628147, Tracked, -0.2158229, -0.3400918, 1.43542, Tracked, -0.2296016, -0.2370629, 1.3645, Tracked, 0.1630968, -0.3377709, 1.457988, Tracked, 0.1890261, -0.3101589, 1.500091, Tracked,
Kinect 2: 2.0429061, -0.006401192, -0.37867, 1.549302, Tracked, -0.004976077, -0.05388742, 1.607812, Tracked, -0.003692505, 0.255861, 1.650292, Tracked, 0.04809194, 0.3882996, 1.685762, Tracked, -0.1688204, 0.1461907, 1.572598, Tracked, -0.2952673, -0.05003116, 1.527787, Tracked, -0.230013, -0.2054056, 1.452881, Tracked, -0.2035426, -0.236822, 1.45954, Tracked, 0.1761205, 0.1053357, 1.714892, Tracked, 0.211102, -0.1021923, 1.729127, Tracked, 0.2037179, -0.2406197, 1.578031, Tracked, 0.1645252, -0.2821696, 1.534072, Tracked, -0.08808352, -0.3596289, 1.479854, Tracked, -0.1083016, -0.6677577, 1.442313, Tracked, -0.1319315, -1.005476, 1.435905, Inferred, -0.0943183, -1.02928, 1.320176, Inferred, 0.07539116, -0.379232, 1.543237, Tracked, 0.09507908, -0.6318904, 1.377239, Tracked, 0.1221158, -0.9640706, 1.204044, Inferred, 0.1577577, -0.9522933, 1.080593, Inferred, -0.003961346, 0.1803114, 1.64217, Tracked, -0.222777, -0.336806, 1.417637, Tracked, -0.2268149, -0.2460558, 1.37, Tracked, 0.158268, -0.3389839, 1.473421, Tracked, 0.1883415, -0.3296952, 1.504562, Tracked,
Kinect 2: 2.0778668, -0.005766079, -0.3821262, 1.564692, Tracked, -0.00703468, -0.0560164, 1.622941, Tracked, -0.008137553, 0.2552795, 1.664484, Tracked, 0.0411182, 0.3882838, 1.701638, Tracked, -0.1722256, 0.144601, 1.585135, Tracked, -0.2955915, -0.05466422, 1.540933, Tracked, -0.2262884, -0.20912, 1.465411, Tracked, -0.1899572, -0.2454189, 1.474051, Tracked, 0.1708551, 0.1069529, 1.730258, Tracked, 0.2105759, -0.1019242, 1.744874, Tracked, 0.2017523, -0.2413118, 1.588526, Tracked, 0.1616496, -0.2851601, 1.549018, Tracked, -0.08728456, -0.3630713, 1.494244, Tracked, -0.1096344, -0.6698881, 1.456253, Tracked, -0.1358192, -1.010222, 1.449365, Inferred, -0.09781355, -1.034529, 1.333222, Inferred, 0.07580652, -0.3827271, 1.559681, Tracked, 0.09701412, -0.6394745, 1.395319, Tracked, 0.1255492, -0.9718612, 1.22662, Inferred, 0.162165, -0.960804, 1.102882, Inferred, -0.007867207, 0.1793417, 1.656657, Tracked, -0.1622653, -0.3279381, 1.450445, Tracked, -0.1531775, -0.2414405, 1.431974, Tracked, 0.154852, -0.3396614, 1.49184, Tracked, 0.1878215, -0.3226369, 1.527053, Tracked,
Kinect 2: 2.1103944, -0.006014005, -0.3850399, 1.580197, Tracked, -0.009478105, -0.05822422, 1.63706, Tracked, -0.01252862, 0.2539356, 1.677237, Tracked, 0.03521138, 0.3874727, 1.714613, Tracked, -0.1750941, 0.1422213, 1.596009, Tracked, -0.2947619, -0.06003381, 1.554798, Tracked, -0.2232115, -0.2140588, 1.478279, Tracked, -0.1848375, -0.2536148, 1.484222, Tracked, 0.1672386, 0.1062803, 1.742519, Tracked, 0.2084015, -0.1049822, 1.757851, Tracked, 0.2009103, -0.2447924, 1.600455, Tracked, 0.1633847, -0.292367, 1.562222, Tracked, -0.08741929, -0.3665644, 1.510816, Tracked, -0.1114861, -0.6707534, 1.468887, Tracked, -0.1400768, -1.015017, 1.457601, Inferred, -0.1019818, -1.038575, 1.340425, Inferred, 0.07547228, -0.3851464, 1.574152, Tracked, 0.09937764, -0.6451917, 1.409364, Tracked, 0.1307428, -0.9760633, 1.242755, Inferred, 0.1680017, -0.9653722, 1.118698, Inferred, -0.01180344, 0.1777726, 1.669754, Tracked, -0.160555, -0.3351448, 1.462761, Tracked, -0.1546364, -0.2406318, 1.442705, Tracked, 0.1564748, -0.3468349, 1.505339, Tracked, 0.1874177, -0.3256666, 1.5454, Tracked,
