Time,SpineBaseX,SpineBaseY,SpineBaseZ,SpineBaseTracked,SpineMidX,SpineMidY,SpineMidZ,SpineMidTracked,NeckX,NeckY,NeckZ,NeckTracked,HeadX,HeadY,HeadZ,HeadTracked,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderLeftTracked,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowLeftTracked,WristLeftX,WristLeftY,WristLeftZ,WristLeftTracked,HandLeftX,HandLeftY,HandLeftZ,HandLeftTracked,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ShoulderRightTracked,ElbowRightX,ElbowRightY,ElbowRightZ,ElbowRightTracked,WristRightX,WristRightY,WristRightZ,WristRightTracked,HandRightX,HandRightY,HandRightZ,HandRightTracked,HipLeftX,HipLeftY,HipLeftZ,HipLeftTracked,KneeLeftX,KneeLeftY,KneeLeftZ,KneeLeftTracked,AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleLeftTracked,FootLeftX,FootLeftY,FootLeftZ,FootLeftTracked,HipRightX,HipRightY,HipRightZ,HipRightTracked,KneeRightX,KneeRightY,KneeRightZ,KneeRightTracked,AnkleRightX,AnkleRightY,AnkleRightZ,AnkleRightTracked,FootRightX,FootRightY,FootRightZ,FootRightTracked,SpineShoulderX,SpineShoulderY,SpineShoulderZ,SpineShoulderTracked,HandTipLeftX,HandTipLeftY,HandTipLeftZ,HandTipLeftTracked,ThumbLeftX,ThumbLeftY,ThumbLeftZ,ThumbLeftTracked,HandTipRightX,HandTipRightY,HandTipRightZ,HandTipRightTracked,ThumbRightX,ThumbRightY,ThumbRightZ,ThumbRightTrackedKinect 2: 0.0174838, 0.5530818, -0.3797321, 1.487664, Tracked, 0.5838199, -0.05401182, 1.566309, Tracked, 0.606629, 0.257989, 1.630832, Tracked, 0.6743047, 0.3829238, 1.65152, Tracked, 0.4285871, 0.1557622, 1.593815, Tracked, 0.3103326, -0.04795666, 1.565302, Tracked, 0.344829, -0.2188386, 1.445849, Tracked, 0.377567, -0.2742362, 1.41628, Tracked, 0.7771036, 0.08987335, 1.615735, Tracked, 0.8031374, -0.1078814, 1.592859, Tracked, 0.767714, -0.2423623, 1.459419, Tracked, 0.7337528, -0.2782429, 1.424002, Tracked, 0.4565221, -0.3547678, 1.446741, Tracked, 0.382432, -0.6422519, 1.375581, Tracked, 0.3043988, -0.9980121, 1.325756, Inferred, 0.297395, -1.009199, 1.193835, Inferred, 0.6232157, -0.3866787, 1.457968, Tracked, 0.6274992, -0.6540368, 1.412852, Tracked, 0.6521891, -1.042317, 1.392926, Inferred, 0.6577855, -1.061076, 1.26647, Inferred, 0.6019231, 0.1817404, 1.616967, Tracked, 0.3921165, -0.3251134, 1.348541, Tracked, 0.3395323, -0.3148659, 1.45732, Tracked, 0.7091899, -0.3372537, 1.381151, Tracked, 0.6779296, -0.256281, 1.388333, Tracked,
Kinect 2: 0.0499372, 0.5497822, -0.3792996, 1.485478, Tracked, 0.5785443, -0.05314753, 1.565755, Tracked, 0.5996815, 0.2589164, 1.631769, Tracked, 0.663711, 0.3853054, 1.656036, Tracked, 0.4159315, 0.1563823, 1.590694, Tracked, 0.3029695, -0.04673104, 1.561739, Tracked, 0.3435077, -0.2187592, 1.445854, Tracked, 0.373211, -0.2733704, 1.412754, Tracked, 0.7677042, 0.09147571, 1.616048, Tracked, 0.7969047, -0.1064118, 1.593692, Tracked, 0.7693576, -0.2415371, 1.459321, Tracked, 0.733295, -0.2737054, 1.426793, Tracked, 0.4530582, -0.3543331, 1.443512, Tracked, 0.3794014, -0.6407092, 1.373552, Tracked, 0.3013085, -0.9977365, 1.324953, Inferred, 0.2950407, -1.009412, 1.193192, Inferred, 0.6201448, -0.3862361, 1.456676, Tracked, 0.6255869, -0.6542235, 1.411468, Tracked, 0.6517057, -1.04155, 1.391494, Inferred, 0.6584116, -1.060166, 1.265204, Inferred, 0.5953573, 0.1826909, 1.617549, Tracked, 0.3881286, -0.3229656, 1.341636, Tracked, 0.3349304, -0.3071632, 1.463649, Tracked, 0.7085248, -0.3307386, 1.38104, Tracked, 0.6784565, -0.2532781, 1.390364, Tracked,
Kinect 2: 0.0834344, 0.54592, -0.378967, 1.483178, Tracked, 0.5723174, -0.05185905, 1.565005, Tracked, 0.5913391, 0.2610146, 1.632454, Tracked, 0.6536145, 0.3866382, 1.659075, Tracked, 0.40817, 0.155881, 1.589128, Tracked, 0.2938342, -0.04413328, 1.559456, Tracked, 0.30961, -0.1972351, 1.445046, Tracked, 0.3509704, -0.2392197, 1.432224, Tracked, 0.7577081, 0.09346174, 1.615847, Tracked, 0.7910298, -0.1042761, 1.594239, Tracked, 0.7602713, -0.2393221, 1.460509, Tracked, 0.7256868, -0.2744331, 1.423593, Tracked, 0.4494903, -0.3542978, 1.441179, Tracked, 0.3765753, -0.6394935, 1.371315, Tracked, 0.2987499, -0.9978755, 1.322568, Inferred, 0.2928345, -1.009565, 1.190838, Inferred, 0.6161676, -0.3855781, 1.454497, Tracked, 0.6234195, -0.6536064, 1.410602, Tracked, 0.6519817, -1.04055, 1.392562, Inferred, 0.6595323, -1.059579, 1.266589, Inferred, 0.5875171, 0.1846032, 1.617891, Tracked, 0.3610293, -0.3025634, 1.371946, Tracked, 0.3336664, -0.274696, 1.468375, Tracked, 0.7014551, -0.3355055, 1.377781, Tracked, 0.6676115, -0.2529231, 1.38396, Tracked,
Kinect 2: 0.1164142, 0.5419071, -0.3787022, 1.480996, Tracked, 0.5661724, -0.05091795, 1.564738, Tracked, 0.5831981, 0.262444, 1.634075, Tracked, 0.6437736, 0.3883137, 1.663538, Tracked, 0.398213, 0.1557102, 1.588099, Tracked, 0.288306, -0.0465157, 1.557013, Tracked, 0.3113161, -0.1991531, 1.443523, Tracked, 0.3501588, -0.2445665, 1.427063, Tracked, 0.7512299, 0.09475979, 1.616842, Tracked, 0.7856675, -0.1033078, 1.594908, Tracked, 0.7600062, -0.2392216, 1.461233, Tracked, 0.7212119, -0.2731205, 1.423807, Tracked, 0.4453047, -0.3544634, 1.438326, Tracked, 0.3732469, -0.6381359, 1.369044, Tracked, 0.2956595, -0.998305, 1.320678, Inferred, 0.2901385, -1.010181, 1.189035, Inferred, 0.6124198, -0.3849053, 1.452929, Tracked, 0.6217579, -0.6542155, 1.40908, Tracked, 0.6528552, -1.039464, 1.391233, Inferred, 0.6612993, -1.058393, 1.265424, Inferred, 0.5798571, 0.185927, 1.61904, Tracked, 0.3639826, -0.3032524, 1.359983, Tracked, 0.3255776, -0.2721009, 1.470696, Tracked, 0.6946046, -0.3285359, 1.376346, Tracked, 0.6654838, -0.2488911, 1.387409, Tracked,
Kinect 2: 0.1514547, 0.5372563, -0.3786497, 1.479344, Tracked, 0.5591812, -0.05048013, 1.56454, Tracked, 0.5744947, 0.2630095, 1.635106, Tracked, 0.6313732, 0.3909593, 1.66732, Tracked, 0.3909066, 0.1547655, 1.586877, Tracked, 0.2835922, -0.04823235, 1.554946, Tracked, 0.311821, -0.2002993, 1.4421, Tracked, 0.3479437, -0.2452487, 1.421095, Tracked, 0.7419433, 0.09689824, 1.617654, Tracked, 0.7804995, -0.1024643, 1.595999, Tracked, 0.7501905, -0.2360156, 1.460739, Tracked, 0.7002519, -0.2852389, 1.407391, Inferred, 0.4411825, -0.3545664, 1.43574, Tracked, 0.3702408, -0.6387026, 1.367603, Tracked, 0.2940468, -0.9990874, 1.320758, Inferred, 0.2890591, -1.011469, 1.1893, Inferred, 0.6072414, -0.3846487, 1.452195, Tracked, 0.6201549, -0.6540567, 1.40749, Tracked, 0.6559837, -1.038351, 1.388543, Inferred, 0.6656228, -1.056646, 1.262796, Inferred, 0.5715305, 0.1864813, 1.619797, Tracked, 0.3624667, -0.30119, 1.353317, Tracked, 0.3219873, -0.291602, 1.457177, Tracked, 0.6709507, -0.3415667, 1.35982, Tracked, 0.6477358, -0.2484729, 1.379211, Tracked,
Kinect 2: 0.1834379, 0.5326474, -0.378201, 1.477575, Tracked, 0.5523986, -0.04939332, 1.564433, Tracked, 0.5657005, 0.2646185, 1.636574, Tracked, 0.6203678, 0.3923891, 1.67034, Tracked, 0.3875135, 0.1543852, 1.586493, Tracked, 0.2787501, -0.04990246, 1.552906, Tracked, 0.3098087, -0.2010783, 1.439697, Tracked, 0.3450671, -0.2485804, 1.417643, Tracked, 0.7360308, 0.09734607, 1.618713, Tracked, 0.7743288, -0.1010331, 1.597535, Tracked, 0.7454307, -0.2380586, 1.458875, Tracked, 0.6965567, -0.2871923, 1.405308, Inferred, 0.4369315, -0.3544296, 1.43341, Tracked, 0.3670911, -0.6409301, 1.367255, Tracked, 0.2930441, -0.9999263, 1.323349, Inferred, 0.2886745, -1.013239, 1.192202, Inferred, 0.6024978, -0.3838663, 1.450991, Tracked, 0.6187283, -0.6547596, 1.406072, Tracked, 0.6585546, -1.036754, 1.387004, Inferred, 0.6694185, -1.054702, 1.261434, Inferred, 0.5632256, 0.1879679, 1.620878, Tracked, 0.3602197, -0.3034557, 1.348767, Tracked, 0.3167423, -0.2891451, 1.457862, Tracked, 0.6697478, -0.3438427, 1.357575, Tracked, 0.6469334, -0.2504363, 1.377586, Tracked,
Kinect 2: 0.2165154, 0.5284142, -0.3777549, 1.476327, Tracked, 0.5454203, -0.04801359, 1.564696, Tracked, 0.5560682, 0.2669464, 1.638376, Tracked, 0.6103301, 0.3940583, 1.673745, Tracked, 0.3776108, 0.1538819, 1.584529, Tracked, 0.2744793, -0.05135018, 1.54996, Tracked, 0.3113762, -0.2129228, 1.436204, Tracked, 0.3456904, -0.2625103, 1.408203, Tracked, 0.7293313, 0.09950559, 1.620234, Tracked, 0.7347918, -0.09864299, 1.553259, Tracked, 0.7091351, -0.24752, 1.435515, Tracked, 0.6669603, -0.3057227, 1.38283, Tracked, 0.4329292, -0.354126, 1.431427, Tracked, 0.364304, -0.6422496, 1.367517, Tracked, 0.2922168, -1.000458, 1.326682, Inferred, 0.2885946, -1.014823, 1.195932, Inferred, 0.5981784, -0.3832634, 1.450433, Tracked, 0.6272418, -0.6263696, 1.400942, Tracked, 0.4634468, -0.9955296, 1.421247, Inferred, 0.4268118, -1.02635, 1.300961, Inferred, 0.5542384, 0.1900603, 1.622301, Tracked, 0.3603488, -0.3152806, 1.337526, Tracked, 0.3107843, -0.2920184, 1.45925, Tracked, 0.6468648, -0.3654931, 1.346291, Tracked, 0.6082935, -0.2616504, 1.355652, Tracked,
Kinect 2: 0.2503142, 0.5234882, -0.3774862, 1.47484, Tracked, 0.5393749, -0.04736602, 1.564911, Tracked, 0.5493904, 0.2677471, 1.639952, Tracked, 0.5989279, 0.3955418, 1.678487, Tracked, 0.3700234, 0.1543663, 1.584352, Tracked, 0.2695833, -0.05263309, 1.546487, Tracked, 0.3109474, -0.2131399, 1.435599, Tracked, 0.3428222, -0.2621794, 1.405674, Tracked, 0.7185974, 0.1016521, 1.619662, Tracked, 0.728568, -0.09748048, 1.553309, Tracked, 0.6916447, -0.2548658, 1.421543, Tracked, 0.6550497, -0.3172816, 1.373686, Tracked, 0.4284031, -0.353956, 1.428929, Tracked, 0.3615308, -0.6433598, 1.368196, Tracked, 0.291827, -1.001438, 1.331462, Inferred, 0.2883196, -1.01711, 1.201153, Inferred, 0.5929556, -0.3828675, 1.449895, Tracked, 0.6274802, -0.6249231, 1.39989, Tracked, 0.4595524, -0.9907737, 1.424917, Inferred, 0.4202598, -1.022873, 1.306096, Inferred, 0.547679, 0.1908385, 1.623561, Tracked, 0.3591373, -0.313917, 1.335049, Tracked, 0.3059434, -0.2941775, 1.45861, Tracked, 0.6371966, -0.3768914, 1.345585, Tracked, 0.5949864, -0.2687109, 1.347159, Tracked,
Kinect 2: 0.285758, 0.5191858, -0.3774989, 1.473783, Tracked, 0.5332743, -0.0467719, 1.565181, Tracked, 0.5416816, 0.2688892, 1.641437, Tracked, 0.5907015, 0.3967778, 1.681837, Tracked, 0.3635627, 0.1548223, 1.584267, Tracked, 0.2640583, -0.05361148, 1.544256, Tracked, 0.3106359, -0.2131771, 1.433519, Tracked, 0.3419496, -0.2624231, 1.402603, Tracked, 0.7079979, 0.1034778, 1.618053, Tracked, 0.7582454, -0.09799786, 1.598845, Tracked, 0.7083871, -0.2741992, 1.417616, Tracked, 0.6563604, -0.332362, 1.368784, Inferred, 0.4242036, -0.3541672, 1.427423, Tracked, 0.3571387, -0.6471454, 1.370265, Tracked, 0.2885032, -1.002154, 1.338409, Inferred, 0.2845426, -1.019343, 1.208587, Inferred, 0.5888279, -0.3826646, 1.449263, Tracked, 0.6277019, -0.6238136, 1.399638, Tracked, 0.4573449, -0.9880058, 1.423644, Inferred, 0.4169485, -1.019099, 1.304579, Inferred, 0.5403546, 0.1918479, 1.624752, Tracked, 0.3604236, -0.3138374, 1.332924, Tracked, 0.3026874, -0.2927764, 1.457163, Tracked, 0.6361466, -0.390244, 1.34493, Tracked, 0.604037, -0.2779157, 1.347263, Tracked,
Kinect 2: 0.3162124, 0.515604, -0.3779265, 1.472288, Tracked, 0.527781, -0.04617064, 1.564913, Tracked, 0.5340366, 0.2706754, 1.642364, Tracked, 0.5788338, 0.3983456, 1.685973, Tracked, 0.3587648, 0.1545369, 1.583323, Tracked, 0.2595877, -0.05429789, 1.542334, Tracked, 0.3088346, -0.2136349, 1.431687, Tracked, 0.3389607, -0.2604614, 1.399494, Tracked, 0.7006865, 0.1056443, 1.617352, Tracked, 0.7169698, -0.09516681, 1.552508, Tracked, 0.6934149, -0.2467288, 1.438141, Tracked, 0.6572996, -0.3059854, 1.37704, Tracked, 0.4207947, -0.3551464, 1.426152, Tracked, 0.3539567, -0.6502, 1.371731, Tracked, 0.286307, -1.003497, 1.343414, Inferred, 0.2822674, -1.021894, 1.214029, Inferred, 0.5852033, -0.3824733, 1.447506, Tracked, 0.6269479, -0.6230007, 1.399132, Tracked, 0.4538377, -0.9853332, 1.423582, Inferred, 0.4123306, -1.016081, 1.304676, Inferred, 0.5332574, 0.193322, 1.625375, Tracked, 0.3587601, -0.3096309, 1.330918, Tracked, 0.2990113, -0.3057321, 1.443556, Tracked, 0.6407389, -0.3640026, 1.342037, Tracked, 0.599831, -0.2598546, 1.349551, Tracked,
Kinect 2: 0.3504023, 0.5116901, -0.3779852, 1.470865, Tracked, 0.5223626, -0.0455289, 1.564891, Tracked, 0.5273892, 0.2718741, 1.643627, Tracked, 0.5703231, 0.3993478, 1.689051, Tracked, 0.3514923, 0.1531883, 1.58217, Tracked, 0.2545477, -0.05509581, 1.538793, Tracked, 0.3044312, -0.2141431, 1.428721, Tracked, 0.3348594, -0.2602965, 1.398574, Tracked, 0.692691, 0.1082834, 1.616135, Tracked, 0.7159935, -0.09635444, 1.556736, Tracked, 0.6988149, -0.2511197, 1.446128, Tracked, 0.6649481, -0.3037093, 1.38233, Tracked, 0.4170356, -0.355978, 1.425035, Tracked, 0.3532218, -0.6496597, 1.37208, Tracked, 0.2883602, -1.005363, 1.345381, Inferred, 0.2844479, -1.024364, 1.216251, Inferred, 0.5812203, -0.3816855, 1.445696, Tracked, 0.6260898, -0.6215019, 1.398117, Tracked, 0.4548135, -0.9847104, 1.420667, Inferred, 0.4135363, -1.014755, 1.301286, Inferred, 0.5268825, 0.1943973, 1.626326, Tracked, 0.3553795, -0.3082846, 1.331466, Tracked, 0.2944382, -0.3026089, 1.446428, Tracked, 0.6630807, -0.3692147, 1.345077, Tracked, 0.6106084, -0.272151, 1.352706, Tracked,
Kinect 2: 0.3833726, 0.5079153, -0.3777875, 1.469649, Tracked, 0.517401, -0.04501538, 1.564767, Tracked, 0.5216215, 0.2724957, 1.644387, Tracked, 0.5613733, 0.4004439, 1.691999, Tracked, 0.3440237, 0.1531724, 1.582221, Tracked, 0.2509204, -0.05465302, 1.537235, Tracked, 0.3005737, -0.2143751, 1.424727, Tracked, 0.3311271, -0.2604898, 1.396658, Tracked, 0.6890381, 0.1086527, 1.615931, Tracked, 0.7055206, -0.09254982, 1.549621, Tracked, 0.683732, -0.2437321, 1.434305, Tracked, 0.6469179, -0.3047461, 1.374091, Tracked, 0.4134535, -0.356129, 1.423847, Tracked, 0.3517541, -0.6488703, 1.372305, Tracked, 0.288876, -1.006222, 1.347238, Inferred, 0.285057, -1.02584, 1.218361, Inferred, 0.5774991, -0.381132, 1.444454, Tracked, 0.6237696, -0.6206349, 1.397613, Tracked, 0.4549687, -0.9849373, 1.420686, Inferred, 0.413783, -1.015438, 1.301536, Inferred, 0.521286, 0.1950098, 1.626883, Tracked, 0.3517123, -0.3086038, 1.329826, Tracked, 0.2896821, -0.2995675, 1.446595, Tracked, 0.628089, -0.3592449, 1.339082, Tracked, 0.5889413, -0.2537179, 1.343621, Tracked,
